Aromanian	Aromanian	probability
ˈə	-	1.0
ˈu_p_r	ˈy	1.0
ˈu_n	ˈɔ̃	1.0
ˈo_s	ˈoː	1.0
ˈo_k	w_ˈe	1.0
ˈo_j_#>	ˈo_#>	1.0
ˈi_r	ˈi	1.0
ˈi_m	ˈɛ̃	1.0
ˈa_t	ˈaː_ð	1.0
ˈa_r	ˈa	1.0
ˈa_l	ˈoː	1.0
ʦ_i	ʃ	1.0
ʤ	-	1.0
ə_#>	#>	1.0
ŋ	-	1.0
ç	f	1.0
u_#>	#>	1.0
t_ˈi	ˈɑː	1.0
r_t	ˈoː_ʁ	1.0
r_i	ˈe	1.0
r_#>	l_#>	1.0
k_ə	ʃ	1.0
k_r	k_ʁ	1.0
i_r	ʁ	1.0
i_#>	#>	1.0
f	f	1.0
e	-	1.0
d_ə	a	1.0
a	-	1.0
<#_ʤ	<#_ð	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_a	<#	1.0
m	m	0.818
l	l	0.818
v	v	0.75
ʎ	ʎ	0.733
j	v	0.727
b	b	0.727
n	n	0.714
ˈɨ_n	ˈɑ̃	0.667
ɨ	-	0.667
ə	a	0.667
w	f	0.667
ʣ	d	0.625
o̯ˈa	-	0.625
ɲ	m	0.6
s	s	0.588
d	d	0.583
ˈi_n	ˈɛ̃	0.571
ʃ	s	0.556
ɡ	ɡ	0.556
r	ʁ	0.542
t	-	0.536
ˈɨ	ˈa	0.5
ˈɨ	-	0.5
u	o	0.5
p	p	0.5
k_#>	ˈa_#>	0.5
k_#>	#>	0.5
i	ə	0.5
#>	ˈɛ_#>	0.5
#>	l_#>	0.5
ʦ	s	0.471
ʃ	-	0.444
ɡ	-	0.444
ˈi_n	ˈĩ	0.429
p	-	0.417
d	-	0.417
ɲ	ɲ	0.4
t	t	0.393
ˈo	ˈo	0.385
e̯ˈa	ˈɛː	0.381
ʣ	-	0.375
o̯ˈa	ˈu	0.375
ˈɨ_n	ˈɛ̃	0.333
ˈe	ˈe	0.333
ɨ	ɑ̃	0.333
w	-	0.333
<#	<#_ð	0.333
<#	<#_l	0.333
<#	<#_a	0.333
ˈo	w	0.308
ˈi	-	0.308
i	-	0.306
k	k	0.297
n	-	0.286
e̯ˈa	ˈɛ	0.286
j	-	0.273
b	-	0.273
k	ʃ	0.27
ˈa	ˈa	0.267
ʎ	-	0.267
ˈe	ˈɛː	0.25
ˈe	j	0.25
v	-	0.25
ə	ə	0.242
ʦ	-	0.235
s	e	0.235
ˈi	ˈɛ	0.231
ˈi	ˈi	0.231
ˈi	ˈe	0.231
r	ð	0.229
k	-	0.216
u	ʁ	0.214
ˈa	j	0.2
e̯ˈa	-	0.19
m	-	0.182
l	-	0.182
s	-	0.176
ˈe	-	0.167
ˈo	ˈoː	0.154
ˈo	w_ˈe	0.154
ˈu	ˈɔ̃	0.143
ˈu	ˈø	0.143
ˈu	ˈu	0.143
ˈu	ˈo	0.143
ˈu	-	0.143
u	ʁ_o	0.143
u	-	0.143
e̯ˈa	ˈi	0.143
ˈa	ˈɛː	0.133
ˈa	ˈaː	0.133
ʦ	z	0.118
ʦ	t	0.118
k	p	0.108
r	l	0.104
ˈa	ˈɑː	0.1
ˈa	-	0.1
ˈu	ˈɔ	0.095
ˈu	w_ˈɛː	0.095
ˈu	w	0.095
ə	-	0.091
p	ˈe_v	0.083
i	ˈe	0.083
t	ð	0.071
ˈa	ˈe	0.067
r	ɔ	0.062
r	-	0.062
ʦ	ʦ	0.059
i	ˈɛː	0.056
i	i	0.056
k	ʁ	0.054
k	j	0.054
