American English	American English	probability
ˈʌ_ð	ˈuə̯	1.0
ˈɛə̯_n	n	1.0
ˈɛə̯	ˈɔː	1.0
ˈɛ_d_#>	ˈɪə̯_#>	1.0
ˈɔ	ˈoə̯	1.0
ˈɑ_ɹ	ˈɛː	1.0
ˈæ_f	ˈɪə̯_l	1.0
ˈoʊ̯_#>	ˈɪə̯_n_#>	1.0
ˈi_#>	ˈi_#>	1.0
ʤ	ɣ	1.0
ʃ	s_k	1.0
ɾ	-	1.0
ɹ_n	n	1.0
ɫ_d	d̥	1.0
ɪ	-	1.0
ə	ə	1.0
ŋ	ŋ	1.0
ð_ɚ	r	1.0
ð	-	1.0
w_ˈɔ	v	1.0
s_ˈɪ	s	1.0
s_#>	s_#>	1.0
pʰ	p	1.0
p	p	1.0
oʊ̯	-	1.0
n_d	n	1.0
m	m	1.0
l	l	1.0
h	h	1.0
f_ɹ	f_r	1.0
f	f	1.0
b	b	1.0
<#_θ	<#_t	1.0
<#_ɹ	<#_r	1.0
<#_tʰ	<#_t	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_kʰ	<#_k	1.0
<#_j	<#_j	1.0
s	s	0.946
#>	ə_#>	0.945
n	n	0.931
ɫ	l	0.917
ʔ	t	0.885
t	t	0.867
ɡ	ɡ	0.846
k	k	0.75
ɹ	r	0.731
v	v	0.714
w	ʋ	0.7
ʧ	k	0.667
ˈu	-	0.625
ɚ	r	0.615
ˈɝ	-	0.6
i	ə_χ	0.6
d	d	0.568
ˈɪ	ˈɪ	0.56
ˈaʊ̯	ˈuː	0.538
ˈʊ	ˈɔ	0.5
ˈʊ	ˈuə̯	0.5
ˈoʊ̯	-	0.5
z	z	0.5
z	-	0.5
ˈɛ	-	0.433
ˈæ	ˈa	0.429
ˈɝ	ˈɛ	0.4
i	ɪ	0.4
ɚ	ə_r	0.385
ˈu	ˈuə̯	0.375
ˈaɪ̯	ˈiː	0.375
ˈoʊ̯	ˈiə̯	0.357
ˈʌɪ̯	ˈiː	0.333
ʧ	ʦ	0.333
ˈɑ	ˈɔ	0.308
ˈɑ	-	0.308
ˈeɪ̯	ˈɛi̯	0.308
ˈeɪ̯	ˈa	0.308
θ	d̥	0.3
θ	d	0.3
ˈi	ˈiə̯	0.297
ˈʌ	ˈɔ	0.286
ˈæ	ˈɛː	0.286
ˈæ	ˈaː	0.286
v	-	0.286
d	d̥	0.27
ɹ	-	0.269
ˈaɪ̯	ˈuː	0.25
ˈɑ	ˈɛ	0.231
ˈeɪ̯	-	0.231
ˈʌɪ̯	ˈɪ_χ	0.222
ˈʌɪ̯	ˈa_χ	0.222
ˈʌɪ̯	j_ˈɔ	0.222
ˈi	ˈɪə̯	0.216
θ	ʦ_j	0.2
θ	ə	0.2
w	v	0.2
ˈʌ	ˈu	0.19
ˈʌ	-	0.19
ˈaɪ̯	ˈi	0.188
ˈaɪ̯	-	0.188
ˈɛ	ˈɪə̯	0.167
ˈɪ	ˈi	0.16
ˈɑ	ˈa	0.154
ˈeɪ̯	ˈaː	0.154
ˈaʊ̯	ˈoː	0.154
ˈaʊ̯	ɣ	0.154
ˈaʊ̯	-	0.154
ɡ	ə	0.154
ˈʌ	ˈoə̯	0.143
ˈoʊ̯	ˈoə̯	0.143
ˈɛ	ˈɛ	0.133
ˈɛ	ˈaː	0.133
t	t_j	0.133
k	ˈiː_k	0.125
k	-	0.125
ˈɪ	ˈɔ	0.12
ʔ	χ_t	0.115
d	-	0.108
ˈɛ	ˈiə̯	0.1
w	-	0.1
ˈʌ	ˈyː	0.095
ˈʌ	ˈy	0.095
ɫ	ə_l	0.083
ˈi	ˈɛ_j	0.081
ˈi	ˈi	0.081
ˈi	j_ˈɪ	0.081
ˈɪ	ˈeː	0.08
ˈɪ	-	0.08
n	ə	0.069
#>	s_#>	0.055
ˈi	ˈiː	0.054
ˈi	ˈeː	0.054
ˈi	j	0.054
ˈi	-	0.054
s	ɕ	0.054
d	n	0.054
