Romanian	Romanian	probability
ˈɨ	ˈɐ̃	1.0
ˈə	-	1.0
ˈu_n	ˈo	1.0
ˈe_ʤ	ˈe	1.0
ˈau̯	ˈo_w	1.0
ʧ_e	j_ʃ	1.0
ʦʲ	d_u	1.0
ʦ_#>	s_u_#>	1.0
ʤ	ʒ	1.0
ʒ	ʒ	1.0
ʃ_t	s	1.0
ɨ	-	1.0
ɡ	ɡ	1.0
ə_#>	#>	1.0
ŋ	-	1.0
z_b	v	1.0
w_#>	#>	1.0
v_e	v	1.0
v	v	1.0
u_m	ˈɛ_l	1.0
t_ˈa	d_ˈa	1.0
s_t	ʃ_t	1.0
r_ˈe	ɾ_ˈe	1.0
r_ə	ɾ_ɐ	1.0
r_e	h	1.0
r_#>	#>	1.0
p_r	b_ɾ	1.0
o̯ˈa_m	ˈõ	1.0
o	o	1.0
nʲ	ʃ	1.0
n_e	j̃	1.0
n_#>	#>	1.0
m_e	m_i	1.0
kʲ	ʎ_u	1.0
j_ˈa	ˈɛ	1.0
j_n	w̃	1.0
j_e	ɐ	1.0
j_#>	j_ʃ_#>	1.0
f_r	b	1.0
f_l	ʃ	1.0
f	f	1.0
e_r	ˈe	1.0
e_#>	#>	1.0
d_ˈe	ˈe	1.0
b_u	ũ	1.0
a_#>	#>	1.0
a	a	1.0
<#_ˈo	<#_ˈo	1.0
<#_ʧ	<#_s	1.0
<#_ʦ	<#_t	1.0
<#_ɡ	<#_ɡ	1.0
<#_t	<#_t	1.0
<#_r	<#_h	1.0
<#_p_l	<#_ʃ	1.0
<#_n	<#_n	1.0
<#_m	<#_m	1.0
<#_j	<#	1.0
<#_d	<#_d	1.0
<#_l	<#_l	0.867
p	p	0.862
#>	u_#>	0.81
j	j̃	0.8
j_ˈe	ˈɛ	0.75
ə	ɐ	0.723
m	m	0.692
ˈe	ˈe	0.688
ˈa	ˈa	0.688
ˈo	ˈo	0.667
b	b	0.667
k	k	0.651
s	s	0.625
ʧ	z	0.6
z	ʤ	0.6
n_ə	ɐ	0.6
ʃ	s	0.571
u	o	0.533
o̯ˈa	ˈɔ	0.5
n_t	ʧ	0.5
n_t	t	0.5
d	d	0.5
d	-	0.5
ʃ	-	0.429
i	-	0.429
e̯ˈa	ˈe	0.429
ˈi	ˈi	0.405
ʧ	s	0.4
z	d	0.4
u	u	0.4
n_ə	j_ɐ	0.4
t	d	0.387
l	l	0.385
r	ɾ	0.367
e	i	0.364
n	n	0.345
n	-	0.345
p_t	t	0.333
p_t	j_ʧ	0.333
p_t	j_t	0.333
b	v	0.333
t	t	0.323
m	-	0.308
l	w	0.308
l	-	0.308
i	ẽ	0.286
i	e	0.286
e̯ˈa	ˈɛ	0.286
e̯ˈa	l_ɐ	0.286
k	ɡ	0.279
w	w	0.25
w	v_u	0.25
w	u	0.25
w	-	0.25
o̯ˈa	ˈo	0.25
o̯ˈa	-	0.25
j_ˈe	ˈe_j	0.25
ˈu	ˈu	0.242
n	j̃	0.241
ˈi	ˈe	0.216
ˈu	ˈũ	0.212
ˈu	ˈõ	0.212
ˈu	ˈo	0.212
r	h	0.204
j	ĩ	0.2
ˈo	ˈɔ	0.19
ˈe	ˈɛ	0.188
r	ɦ	0.184
ˈi	ˈĩ	0.162
ˈi	ˈẽ	0.162
t	-	0.161
s	e_ʃ	0.156
ˈo	ˈu	0.143
e	ɐ	0.136
e	-	0.136
<#_l	<#	0.133
ˈe	-	0.125
s	ʃ	0.125
ˈu	-	0.121
e	h	0.114
ˈa	-	0.104
r	w	0.102
#>	ʃ_#>	0.095
#>	ɐ_#>	0.095
s	-	0.094
ə	u	0.085
ə	i	0.085
ˈa	a	0.083
k	ʎ	0.07
p	b	0.069
p	-	0.069
n	w̃	0.069
e	ˈe	0.068
e	ʤ_i	0.068
e	u	0.068
u	õ	0.067
t	ʧ	0.065
t	t_ɾ	0.065
ə	e	0.064
ˈa	ˈɛ	0.062
ˈa	ˈɐ̃	0.062
r	u	0.061
ˈi	-	0.054
