Yiddish	Yiddish	probability
χ_t	x_t	1.0
χ_#>	k_#>	1.0
ˈʊ_n	ˈʊ_n	1.0
ˈɛ_ʀ	ˈɛɪ̯	1.0
ˈɔ_ɡ	ˈaːi̯	1.0
ˈaɪ̯_ʦ	i	1.0
ˈaɪ̯_t	ˈiː_d	1.0
ˈaɪ̯_#>	ˈɛɪ̯_#>	1.0
ˈa_n	ˈoːu̯_n	1.0
ʧ	s_k	1.0
ʦ	t	1.0
ʃ_#>	s_k_#>	1.0
ʀ_ʦ	t	1.0
ʀ_ɛ	r	1.0
ʀ	r	1.0
ɫ_#>	l_#>	1.0
ɫ	l	1.0
ɪ	ɪ	1.0
ɡ_ə	ə	1.0
ɛ	-	1.0
ə_ʀ	r	1.0
ə_n	ə	1.0
ŋ	ŋ	1.0
v	v	1.0
p	p	1.0
n_#>	#>	1.0
m	m	1.0
h	h	1.0
f_n	p_ə	1.0
d_ə	ˈuː	1.0
a	-	1.0
<#_ˈɔɪ̯	<#_ˈoː	1.0
<#_ʀ	<#_r	1.0
<#_ɫ	<#_l	1.0
<#_ɡ	<#	1.0
<#_n	<#_n	1.0
<#_k	<#_k	1.0
<#_j	<#_j	1.0
<#_d	<#_t	1.0
#>	x_#>	1.0
f	f	0.923
d	d	0.875
<#_t	<#_d	0.867
z	s	0.833
f_#>	p_#>	0.714
ˈɛɪ̯	ˈeː	0.692
ʃ	s	0.652
s	t	0.652
b	b	0.625
ə	ə	0.619
n	n	0.6
ˈɔɪ̯	ˈoː	0.55
t	d	0.545
k	k	0.538
ɡ	ɣ	0.517
χ	x	0.5
χ	k_ə	0.5
ˈɔ_ʀ	ˈoːu̯_d	0.5
ˈɔ_ʀ	ˈiː_r	0.5
ˈɔɪ̯	ˈuː	0.4
t	t	0.394
ˈa	ˈɔː	0.393
ˈaɪ̯	ˈi	0.385
ˈʊ	ˈuː	0.36
ʃ	s_k	0.348
ˈaɪ̯	j	0.308
k	x	0.308
n	ə	0.291
f_#>	#>	0.286
ˈʊ	ˈoːu̯	0.28
ɡ	-	0.276
ˈɪ	ˈɪ	0.275
s	s	0.261
ə	-	0.238
ˈɛ	ˈeː	0.208
ˈʊ	ˈʊ	0.2
ˈa	ˈoː	0.179
ˈɔ	ˈɔː	0.174
ˈɔ	ˈoːu̯	0.174
ˈɛ	-	0.167
z	z	0.167
ˈɛɪ̯	ˈoː	0.154
ˈɛɪ̯	ˈaː	0.154
ˈaɪ̯	ˈyː	0.154
ˈaɪ̯	-	0.154
k	s	0.154
ˈɪ	ˈiː	0.15
ˈa	ˈaː	0.143
ə	ˈuː	0.143
ɡ	ə	0.138
<#_t	<#	0.133
ˈɔ	ˈʊ	0.13
ˈɔ	ˈɛɪ̯	0.13
ˈɔ	ˈɛ	0.13
ˈɔ	ˈɔ	0.13
ˈɔ	ˈoː	0.13
ˈɪ	j	0.125
ˈɛ	ˈɛ	0.125
ˈɛ	ˈa	0.125
d	d_ə	0.125
b	v	0.125
n	j_ə	0.109
ˈa	ˈɛː	0.107
ˈa	ˈɔ	0.107
ˈɪ	ˈɛː	0.1
ˈɪ	ˈɛɪ̯	0.1
ˈɪ	j_ˈoː	0.1
s	t_ə	0.087
ˈɛ	ˈɔː	0.083
ˈɛ	ˈiː	0.083
ˈɛ	ˈaːi̯	0.083
b	ə	0.083
b	v_ə	0.083
b	-	0.083
ˈʊ	ˈɔː	0.08
ˈʊ	-	0.08
f	p	0.077
ˈɪ	ˈi	0.075
ˈɪ	-	0.075
ˈa	ˈa	0.071
ɡ	j	0.069
t	-	0.061
