Danish	Danish	probability
ˈʌˀ	-	1.0
ˈɛː	ˈɛːa̯	1.0
ˈɔː	ˈɔ̯aː	1.0
ˈɔˀ	ˈɔ̯aː	1.0
ˈɒː	-	1.0
ˈɒˀ	ˈɔ̯aː_ɹ	1.0
ˈɑː	ˈɛːa̯	1.0
ˈɑ_j_#>	ˈeː_#>	1.0
ˈœː	ˈøː	1.0
ˈœ	-	1.0
ˈæˀ	ˈɛːa̯	1.0
ˈæ_ð̞ˠ_#>	ˈɛːa̯_#>	1.0
ˈy	-	1.0
ˈu	ˈʊ	1.0
ˈoː	-	1.0
ˈi	ˈɪ	1.0
ˈeː	ˈeː	1.0
ə_#>	ʊ_#>	1.0
ɕ	s_ˈɔ̯aː	1.0
ɐˀ_n	t͡n̥	1.0
ɐˀ	ɹ	1.0
ɐ_n	t͡n̥	1.0
ŋˀ	ŋ_ɡ̊	1.0
s_ɡ̊	ʃ	1.0
s_#>	s_#>	1.0
pʰ	pʰ	1.0
nˀ_#>	nː_#>	1.0
mˀ	-	1.0
m	m	1.0
kʰ	kʰ	1.0
jˀ	ɡ̊	1.0
j_#>	ʊ_ɹ_#>	1.0
h	h	1.0
f	f	1.0
e	ŋ	1.0
d̥_ʁ	d̥_ɹ	1.0
<#_ˈu	<#_ˈʊ	1.0
<#_ˈeˀ	<#_ˈɛ	1.0
<#_ʋ	<#_v	1.0
<#_ʁ	<#_ɹ	1.0
<#_ɡ̊	<#_ɡ̊	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_kʰ	<#_ʧʰ	1.0
<#_d̥	<#_d̥	1.0
s	s	0.886
ʦʰ	tʰ	0.864
ə	a	0.831
ʁ	ɹ	0.8
l	l	0.783
ʋ	v	0.75
ˈø	ˈɪ	0.714
nˀ	n_d̥	0.7
n	n	0.697
ˈiˀ	ˈʊ̯iː	0.692
b̥	b̥	0.69
ˈuˀ	ˈʉːu̯	0.667
ˈo	ˈɔ	0.667
ˈiː	ˈʊ̯iː	0.667
ˈøː	-	0.6
ˈøˀ	ˈɛːi̯	0.6
ʁ_ˈœ	ɹ_ˈɪ	0.6
<#_j	<#_j	0.6
#>	ʊ_ɹ_#>	0.596
d̥	t	0.55
ˈʌ	-	0.5
ˈɔ	ˈʊ	0.5
ˈɔ	-	0.5
ˈɑˀ	ˈa_ɹ	0.5
ˈɑˀ	ˈa	0.5
ˈɑ	ˈa	0.5
ˈœˀ	ˈɛːi̯	0.5
ˈœˀ	-	0.5
ˈyː	ˈɔːu̯	0.5
ˈyː	ɡ̊	0.5
ˈuː	ɡ̊	0.5
ˈuː	-	0.5
ˈe	ˈɪ	0.5
ŋ	ŋ_ɡ̊	0.5
ð̞ˠ_#>	ʰt_#>	0.5
ð̞ˠ_#>	#>	0.5
ˈæ	ˈa	0.467
ˈoˀ	ˈɔːu̯	0.462
d̥	ʰt	0.45
ˈyˀ	ˈʊ̯iː	0.429
w	v	0.429
lˀ	t͡l̥	0.417
ˈøː	ˈɔːi̯	0.4
ˈøˀ	ˈøː	0.4
ʁ_ˈœ	ɹ	0.4
j	j	0.4
j	-	0.4
<#_j	<#	0.4
ˈeˀ	ˈai̯	0.385
ˈɛ	-	0.357
ˈɛˀ	ˈɛːa̯	0.333
ˈɛˀ	ˈeː	0.333
ˈɛˀ	-	0.333
ˈɑ	ˈɛ	0.333
ˈo	ˈoː	0.333
ˈiː	ˈiː	0.333
ŋ	ɡ̊	0.333
ð̞ˠ	t	0.321
#>	ɹ_#>	0.315
ɐ	ɹ	0.312
ɡ̊	k	0.3
ˈɛ	ˈɛ	0.286
ˈø	-	0.286
ˈyˀ	ˈʉːu̯	0.286
ˈyˀ	ˈɔːu̯	0.286
ˈæ	ˈɔ	0.267
ˈʌ	ˈɔ	0.25
ˈʌ	ˈœ	0.25
ʋ	kʰ_v	0.25
lˀ	l_v	0.25
ˈoˀ	-	0.231
ˈeˀ	ˈaːi̯	0.231
ˈeˀ	-	0.231
ˈe	ˈɛ	0.222
ˈɛ	ˈœ	0.214
ð̞ˠ	t_ʊ	0.214
w	v̥	0.214
w	-	0.214
ʁ	-	0.2
nˀ	-	0.2
j	k_ʊ	0.2
ɐ	ʊ	0.188
ɐ	ɹ_ʊ	0.188
ɐ	ɪ_ɹ	0.188
n	nː	0.182
b̥	p	0.172
ˈɑ	-	0.167
ˈuˀ	l_ʊ	0.167
ˈuˀ	-	0.167
ˈe	-	0.167
ŋ	ɲ	0.167
lˀ	l_d̥	0.167
lˀ	l	0.167
ˈoˀ	ˈɪ_ɡ̊	0.154
ˈoˀ	ˈɛ_ɡ̊	0.154
ˈiˀ	ˈʊ_ʤ̊ː	0.154
ˈiˀ	-	0.154
ˈeˀ	ˈɛːa̯	0.154
ɡ̊	ʰk	0.15
ɡ̊	ʤ̊ː	0.15
ɡ̊	ɡ̊ː	0.15
ˈɛ	ˈa	0.143
ð̞ˠ	ʰt	0.143
ð̞ˠ	j	0.143
w	ˈiː	0.143
b̥	ʰp	0.138
ʦʰ	ʧʰ	0.136
ˈæ	ˈɛːa̯	0.133
ˈæ	ˈœ	0.133
l	-	0.13
ɐ	ɹ_a	0.125
ə	ɪ	0.123
ˈe	ˈeː	0.111
ð̞ˠ	w	0.107
ɡ̊	ʤ̊	0.1
ɡ̊	-	0.1
nˀ	ʰt͡n̥	0.1
l	ɹ	0.087
ð̞ˠ	-	0.071
s	ʃ	0.068
n	t͡n̥	0.061
n	n̥	0.061
