Limburgish	Dutch	probability
β	ʋ	1.0
ˈʏ	-	1.0
ˈʊ	ˈɔ	1.0
ˈɪː	ˈɪ	1.0
ˈɪ_t	ˈɪ_t	1.0
ˈɛː_n	ˈeː_n	1.0
ˈɔ	ˈɔ	1.0
ˈɑː	ˈɑ	1.0
ˈɑ	ˈɑ	1.0
ˈœː	ˈɔ	1.0
ˈœi̯	ˈœy̯	1.0
ˈæː	ˈɛ	1.0
ˈyː	ˈoː	1.0
ˈu	ˈoː	1.0
ˈi_l	ˈi_ɫ	1.0
ˈaː_t	ˈaː_t	1.0
ˈaː_j	ˈɑu̯	1.0
ʃ	s_χ	1.0
ʀ_ˈɪː	ɾ_ˈɪ	1.0
ʀ_t	ɾ_t	1.0
ʀ	ɾ	1.0
ɪ	ɪ	1.0
ɦ	ɦ	1.0
ɣ̊	χ	1.0
ɣ_ʀ	χ_ɾ	1.0
ɣ	χ	1.0
ɡ	χ	1.0
ə_l	ə_ɫ	1.0
ə_k	k	1.0
ŋ_k	ŋ	1.0
ŋ	ŋ	1.0
z̥	z̥	1.0
z	z	1.0
w	ˈɑu̯	1.0
v̥	v̥	1.0
v	v	1.0
t	t	1.0
p	p	1.0
n_t	n_t	1.0
m	m	1.0
l	ɫ	1.0
j_ə	d_ə	1.0
i	i	1.0
d̥	d̥	1.0
d	d	1.0
b	b	1.0
n	n	0.982
ˈɒː	ˈaː	0.96
k	k	0.894
x	χ_t	0.847
ʀ_ə	ɾ	0.846
s	s	0.814
ˈiː	ˈɛi̯	0.757
ˈɔː	ˈoː	0.718
ˈɪ	ˈɛ	0.704
ˈuː	ˈœy̯	0.68
ˈɛː	ˈeː	0.669
ˈœ	ˈʏ	0.667
ˈɛ	ˈɪ	0.654
ˈøː	ˈu	0.628
ˈɛːi̯	-	0.593
ˈaː	ˈɑ	0.59
ˈɔu̯	ˈœy̯	0.588
ˈæ	ˈɑ	0.566
ˈoː	ˈu	0.5
ˈoː	ˈoː	0.5
ə	ə_n	0.464
j	d_ə	0.436
ˈæ	ˈɛ	0.434
ˈʊː	ˈɔ	0.419
ˈɔu̯	ˈɑu̯	0.412
ˈɛːi̯	ˈɛi̯	0.407
ə	ə	0.407
ˈi	ˈɪ	0.399
ˈeː	ˈi	0.383
ˈøː	ˈoː	0.372
ˈeː	ˈeː	0.362
j	-	0.357
ˈɛ	ˈɛ	0.346
ˈi	ˈeː	0.341
ˈœ	-	0.333
ˈaː	ˈaː	0.328
ˈuː	-	0.32
ˈʊː	ˈoː	0.302
ˈɪ	ˈɪ	0.296
ˈɔː	-	0.282
ˈi	ˈaː	0.26
ˈiː	ˈi	0.243
j	ə	0.207
ˈʊː	ˈu	0.199
s	s_t	0.186
ˈɛː	ˈɛi̯	0.171
ˈɛː	ˈɛ	0.159
ʀ_ə	ɾ_n	0.154
x	χ	0.153
k	χ	0.106
ˈeː	ˈɛ	0.088
ˈeː	ˈaː	0.087
ˈaː	ˈɑ_ɫ	0.082
ˈeː	ˈɪ	0.08
ˈʊː	-	0.079
ə	-	0.072
ə	n	0.057
