North Frisian	Yiddish	probability
ˈɛ	ˈɪ	1.0
ˈɔ	ˈɔ	1.0
ˈɒː	ˈa	1.0
ˈøː	ˈɔɪ̯	1.0
ˈyː_#>	ˈʊ_#>	1.0
ˈaː	ˈʊ	1.0
ʃ_#>	ʃ_#>	1.0
ɡ	ɡ	1.0
ə_v	b	1.0
ə_n	n	1.0
z_ə	z	1.0
z	s	1.0
x	χ	1.0
v_ə	b_n	1.0
s_t	s_t	1.0
s_l	ʃ_l	1.0
p_ə	f_n	1.0
p_#>	f_#>	1.0
p	p	1.0
nʲ	n	1.0
n_ə	n_ə	1.0
m	m	1.0
lʲ	l	1.0
l_#>	l_#>	1.0
l	l	1.0
k_ə	χ	1.0
j_ˈa	ˈɛ	1.0
j_ə	ɡ	1.0
h	h	1.0
f	f	1.0
dʲ	t	1.0
b	b	1.0
<#_t	<#_d	1.0
<#_r	<#_ʀ	1.0
<#_n	<#_n	1.0
r	ʀ	0.949
n	n	0.903
ŋ	ŋ	0.8
v	v	0.793
ˈɒ	ˈa	0.778
ʃ	ʃ	0.778
tʲ	s	0.75
j	ɡ	0.714
d	t	0.71
ˈɛː	ˈɛ	0.667
ˈuː	ˈɔɪ̯	0.667
ˈyː	ˈɔɪ̯	0.647
s	z	0.625
k	k	0.609
ˈa	ˈɪ	0.6
d_ə	d_ə	0.6
ˈeː	ˈɛ	0.5
ˈai̯	ˈɪ	0.5
ˈai̯	ˈaɪ̯	0.5
i	ɪ_k	0.5
i	ɪ	0.5
ˈʊ	ˈʊ	0.474
ˈi	ˈaɪ̯	0.471
ˈɛi̯	ˈɔ	0.444
t	ʦ	0.429
t	t	0.429
ə	n	0.415
ˈiː	ˈɛɪ̯	0.409
ˈɔː	ˈɔ	0.4
d_ə	ɡ_n	0.4
k	χ	0.391
#>	ɡ_#>	0.368
ə	ə	0.366
ˈi	ˈɪ	0.353
ˈɛː	ˈɔ	0.333
ˈɛi̯	ˈɛ	0.333
ˈœ	ˈʊ	0.333
ˈœ	ˈa	0.333
ˈuː	ˈa	0.333
ˈeː	ˈɔ	0.333
j	-	0.286
ˈiː	ˈɪ	0.273
tʲ	d	0.25
s	ʃ	0.25
ˈyː	ˈaɪ̯	0.235
ˈɛi̯	ˈɪ	0.222
ˈɒ	ˈɛɪ̯	0.222
ʃ	ʧ	0.222
ˈʊ	ˈɪ	0.211
ˈʊ	ˈa	0.211
#>	t_#>	0.211
#>	n_#>	0.211
#>	d_#>	0.211
ˈɔː	ˈɪ	0.2
ˈɔː	ˈɛ	0.2
ˈɔː	ˈa	0.2
ˈœ	ˈɔ	0.2
ˈa	ˈaɪ̯	0.2
ˈa	ˈa	0.2
ŋ	ŋ_ɡ	0.2
d	d	0.194
ˈi	ˈɛ	0.176
ˈeː	ˈa	0.167
t	s	0.143
v	f	0.138
ˈiː	ˈɛ	0.136
ˈœ	ˈɪ	0.133
ə	ə_n	0.122
ˈyː	ˈʊ	0.118
ˈʊ	v_ˈɔ	0.105
n	n_t	0.097
d	s	0.097
ˈiː	ˈɪ_n	0.091
ˈiː	ˈaɪ̯	0.091
s	s	0.075
v	b	0.069
r	ʀ_ə	0.051
