West Flemish	West Flemish	probability
ˈɛː	ˈeˀ	1.0
ˈɔ_ɾ	ˈɒː	1.0
ˈɒː_n	ˈɔˀ	1.0
ˈøː	-	1.0
ˈi	ˈiˀ	1.0
ˈeː_v	w	1.0
ʃ_h	s_ɡ̊	1.0
ɾ_ə	ɐ	1.0
ɾ_d̥	ɐˀ	1.0
ɾ_#>	#>	1.0
ɪ	-	1.0
ɦ_ˈɑ	ɡ̊	1.0
ɦ_ə	ɡ̊	1.0
ə_ç	i	1.0
z̥	s	1.0
w_v̥	lˀ	1.0
v̥	w	1.0
t_ʋ	ʦʰ	1.0
t_n	ð̞ˠ_ə	1.0
t_#>	d̥_#>	1.0
s	s	1.0
p_#>	b̥_#>	1.0
n_ə	n	1.0
n_d̥	nˀ	1.0
n_d	n	1.0
n_#>	#>	1.0
m	m	1.0
l_#>	l_#>	1.0
k_#>	#>	1.0
iə̯	ə	1.0
h	ˈɛ	1.0
d̥_#>	#>	1.0
b	b̥	1.0
<#_ˈɑ	<#	1.0
<#_ʋ	<#	1.0
<#_ɾ	<#_ʁ	1.0
<#_ɦ	<#	1.0
<#_t	<#_ʦʰ	1.0
<#_n	<#_n	1.0
<#_j	<#	1.0
z	s	0.957
l	l	0.9
<#	<#_h	0.846
v	f	0.842
d̥	ð̞ˠ	0.833
ʋ	ʋ	0.812
ˈɔ	-	0.75
ˈeː	-	0.667
p	b̥	0.667
ˈu	ˈu	0.625
k	kʰ	0.625
ˈuə̯	ˈoˀ	0.615
ˈyː	ˈuˀ	0.6
w	lˀ	0.6
h_t	d̥	0.6
t	d̥	0.588
ŋ	ŋˀ	0.556
ˈɪ	ˈe	0.538
ˈɑ	ˈæ	0.5
ɦ	-	0.5
#>	ə_#>	0.5
ə	ə	0.484
d	d̥	0.458
ŋ	ŋ	0.444
ˈɛ	ˈe	0.429
ˈœ	-	0.429
ɾ	ɐ	0.425
ə	-	0.419
t	ð̞ˠ	0.412
w	-	0.4
h_t	ɡ̊_d̥	0.4
n	n	0.395
ˈæ	-	0.385
ˈuə̯	-	0.385
ˈu	-	0.375
ɦ̥	j	0.375
ɦ̥	-	0.375
ˈiə̯	ˈyˀ	0.368
ˈɒː	-	0.364
n	ə	0.342
ˈeː	ˈɛˀ	0.333
p	pʰ	0.333
d	ʦʰ	0.333
#>	ɡ̊_#>	0.333
ɾ	ʁ	0.3
ˈɛ	ˈɛ	0.286
ˈɛ	-	0.286
ˈœ	ˈœ	0.286
ˈœ	ˈu	0.286
ˈɒː	ˈɒˀ	0.273
ˈɔ	ˈu	0.25
ɦ̥	w	0.25
ɦ	ˈuː	0.25
ɦ	jˀ	0.25
k	ɡ̊	0.25
ˈæ	ˈe	0.231
ˈæ	j_ˈɛ	0.231
ˈiə̯	ˈyː	0.211
ˈɑ	ˈɑ	0.2
ˈɑ	-	0.2
ˈyː	ˈuː	0.2
ˈyː	-	0.2
ʋ	-	0.188
ˈɒː	ˈɛː	0.182
ˈɒː	ˈɔː	0.182
ˈoː	ˈʌ	0.167
ˈoː	ˈœˀ	0.167
ˈoː	ˈøˀ	0.167
ˈoː	ˈo	0.167
d̥	lˀ	0.167
d	-	0.167
#>	ɐ_#>	0.167
ˈiə̯	ˈeˀ	0.158
ˈiə̯	-	0.158
v	-	0.158
ˈɪ	ˈø	0.154
ˈɪ	ɡ̊	0.154
ˈɪ	-	0.154
ˈæ	ˈɛ	0.154
<#	<#_j	0.154
ɾ	ɐˀ	0.125
k	j	0.125
ˈiə̯	ˈiˀ	0.105
ˈɑ	ˈæˀ	0.1
ɾ	-	0.1
l	lˀ	0.1
ə	ɐ	0.097
ˈoː	ˈʌˀ	0.083
ˈoː	ˈɔ	0.083
ˈoː	ˈøː	0.083
ˈoː	-	0.083
n	nˀ	0.079
n	-	0.079
n	ˈɔˀ	0.053
n	n_ə	0.053
