American English	American English	probability
ˈʌɪ̯_ʔ	t	1.0
ˈʌ_s	sː	1.0
ˈʌ_n	n	1.0
ˈɛə̯	ˈɑ	1.0
ʧ	ʨ	1.0
ɾ	tː	1.0
ɹ_n	nː	1.0
ɹ	r	1.0
ɫ_#>	ɽ_#>	1.0
ə	ɛ	1.0
ŋ_k	kː_ɑ	1.0
z	s	1.0
w_ˈɝ	ˈʉə̯_r	1.0
tʰ	tʰ	1.0
s_l	l̥	1.0
s_#>	s_#>	1.0
pʰ	pʰ	1.0
p	p	1.0
oʊ̯	-	1.0
kʰ	kʰ	1.0
f_#>	v_#>	1.0
f	f	1.0
d_#>	#>	1.0
b	b	1.0
<#_ɹ	<#_r	1.0
<#_w	<#	1.0
<#_n	<#_n	1.0
<#_h	<#	1.0
<#	<#_j	1.0
s	s	0.943
m	m	0.889
ɚ_#>	r_#>	0.857
l	ɽ	0.824
ʔ	t	0.8
ŋ	ŋ	0.778
t	t	0.769
ʤ	ɡː	0.75
ɡ	ɡ	0.75
w	w	0.68
k	k	0.667
θ	tʰ	0.615
n	n	0.606
ˈoʊ̯	-	0.588
d	d	0.568
ˈu	-	0.556
ˈaʊ̯	ˈɑːu̯	0.556
ɚ	ɛ	0.533
ˈʌ	ˈʉ	0.529
ˈʊ	ˈʉːə̯	0.5
ˈʊ	ˈʉ	0.5
ˈɝ	ˈʉə̯	0.5
ˈɝ	r	0.5
ˈeɪ̯	ˈɑː	0.5
ʃ	s_ʨ	0.5
ʃ	s_k	0.5
ð	ð_ɛ	0.5
ð	-	0.5
v	v	0.5
j	ɡ	0.5
j	-	0.5
h	ˈoː	0.5
h	j	0.5
ˈu	ˈʉːə̯	0.444
ˈʌɪ̯	ˈɑːi̯	0.429
ˈɪ	ˈɪ	0.429
ˈɑ	-	0.429
ˈoʊ̯	ˈiːe̯	0.412
ˈɛ	-	0.4
ˈɛ	ˈɛ	0.36
ˈʌ	-	0.353
#>	r_#>	0.341
ˈæ	-	0.333
ˈʌɪ̯	ˈɪ	0.286
ˈʌɪ̯	-	0.286
ˈɑ	ˈɑ	0.286
ʤ	ʥː	0.25
ɡ	ʥ	0.25
v	v_ɑ	0.25
v	-	0.25
d	ð	0.25
ˈaɪ̯	ˈɪː	0.235
ˈaɪ̯	ˈɪ	0.235
θ	ð	0.231
t	tː	0.231
ˈæ	ˈɔː	0.222
ˈæ	ˈɑː	0.222
ˈæ	ˈɑ	0.222
ˈaʊ̯	ˈʉː_ɣ	0.222
ˈaʊ̯	ˈʉː	0.222
ŋ	ŋ_ɡ	0.222
ɫ	ɽ	0.211
ɫ	ɛ_ɽ	0.211
ɫ	lː	0.211
ɫ	l	0.211
ˈɔ	ˈʉə̯	0.2
ˈɔ	ˈɛ	0.2
ˈɔ	ˈɑ	0.2
ˈɔ	ˈo	0.2
ˈɔ	-	0.2
ɚ	ˈʏː	0.2
ɚ	r	0.2
k	kː	0.2
n	-	0.182
ˈɪ	j	0.179
ˈaɪ̯	ˈɑːi̯	0.176
l	ɽ_j	0.176
ˈi	ˈʉːə̯	0.167
ˈeɪ̯	ˈɔ	0.167
ˈeɪ̯	ˈɑ	0.167
ˈeɪ̯	-	0.167
ʔ	tː	0.16
w	w_ˈɛː	0.16
w	-	0.16
ɫ	-	0.158
θ	nː	0.154
#>	ɡ_#>	0.146
#>	ɔ_#>	0.146
ˈɪ	ˈʏ	0.143
ˈɑ	ˈɑːu̯	0.143
ˈɑ	ˈiːe̯	0.143
ɚ_#>	#>	0.143
ˈi	ˈœː	0.139
k	ɑ	0.133
ˈɛ	ˈœː	0.12
ˈɛ	j	0.12
ˈʌ	n	0.118
ˈaɪ̯	ˈʉːə̯	0.118
ˈaɪ̯	ɣ	0.118
ˈaɪ̯	-	0.118
ˈi	ˈɔː	0.111
ˈi	ˈyːœ̯	0.111
m	mː	0.111
ˈɪ	ˈɪː	0.107
#>	ʉ_#>	0.098
#>	ɣ_#>	0.098
n	nː_ɑ	0.091
d	ð_ɑ	0.091
ˈi	ˈɪː	0.083
ˈi	ˈæː	0.083
ˈi	-	0.083
#>	n_#>	0.073
ˈɪ	ˈʉ	0.071
ˈɪ	-	0.071
ɚ	ʏ	0.067
n	nː	0.061
n	kʰ_n	0.061
s	s_j	0.057
ˈi	ˈɔ̃ː	0.056
ˈi	ˈɑːi̯	0.056
ˈi	j	0.056
