Dutch	Dutch	probability
χ_t	d̥	1.0
χ_#>	#>	1.0
ˈɑu̯	-	1.0
ˈɑ_ɾ	ˈɑˀ	1.0
ˈøː	ˈeː	1.0
ˈyː	ˈyˀ	1.0
ˈeː_t	ð̞ˠ	1.0
ˈeː_n	ˈeˀ_n	1.0
ʋ	ʋ	1.0
ɾ_n	ɐˀ_n	1.0
ɾ_d̥_#>	ɐˀ_#>	1.0
ɾ_#>	#>	1.0
ɫ_ə	l_i	1.0
ɫ_v̥	lˀ	1.0
ɫ_#>	l_#>	1.0
ə_ɾ	ɐ	1.0
ŋ_k	ɡ̊	1.0
z̥_#>	s_#>	1.0
w_#>	#>	1.0
v_ə	w	1.0
t_ʋ	ʦʰ	1.0
t_#>	#>	1.0
p_ə	b̥_ə	1.0
p_#>	b̥_#>	1.0
p	pʰ	1.0
n_ˈaː	n	1.0
n_d̥	nˀ	1.0
n_#>	#>	1.0
i	ə	1.0
d̥_#>	#>	1.0
d_ə	ð̞ˠ_ə	1.0
b	b̥	1.0
<#_χ	<#_ɡ̊	1.0
<#_ˈɛi̯	<#_ˈeˀ	1.0
<#_ˈɔ	<#_ˈɔ	1.0
<#_ˈɑ	<#	1.0
<#_ʋ	<#	1.0
<#_ɾ	<#_ʁ	1.0
<#_ɫ	<#_l	1.0
<#_t	<#_ʦʰ	1.0
<#_n	<#_n	1.0
<#_j	<#	1.0
z	s	0.962
m	m	0.92
v	f	0.895
ɦ	h	0.864
s	s	0.781
d̥	ð̞ˠ	0.75
ˈɛi̯	ˈiˀ	0.727
n	n	0.714
ə	ə	0.698
ɫ	l	0.696
n_d	n	0.667
k	kʰ	0.65
ˈœy̯	ˈuˀ	0.583
ˈɔ	ˈu	0.55
d	d̥	0.517
ˈɪ	ˈe	0.5
ˈɑ	ˈæ	0.5
ˈu	ˈoˀ	0.5
ŋ	ŋˀ	0.5
ŋ	ŋ	0.5
v̥	w	0.5
v̥	-	0.5
t	d̥	0.5
k_#>	j_#>	0.5
k_#>	#>	0.5
χ	ɡ̊	0.467
ɾ	ɐ	0.455
d	ʦʰ	0.448
t	ð̞ˠ	0.441
ˈʏ	ˈœ	0.429
ˈɔ	-	0.4
ɾ	ʁ	0.364
ˈeː	ˈeˀ	0.333
ˈeː	-	0.333
ˈaː	ˈɔˀ	0.333
n_d	nˀ	0.333
ɫ	lˀ	0.304
ˈʏ	ˈø	0.286
ˈʏ	-	0.286
ˈɛ	ˈɛ	0.286
ˈɛi̯	ˈiː	0.273
ˈi	ˈyː	0.263
ˈi	ˈyˀ	0.263
ˈœy̯	ˈuː	0.25
ˈu	-	0.25
ˈɛ	-	0.238
ˈi	-	0.211
χ	-	0.2
ˈɪ	-	0.2
ˈɛ	ˈe	0.19
ə	-	0.186
ˈɑ	ˈɑ	0.179
ˈoː	ˈʌ	0.172
ˈoː	ˈøˀ	0.172
χ	w	0.167
χ	j	0.167
ˈœy̯	ˈy	0.167
ˈaː	ˈɔː	0.167
ˈi	ˈeˀ	0.158
s	s_ɡ̊	0.156
ˈɪ	ˈɛ	0.15
ˈɪ	ˈiˀ	0.15
k	ɡ̊	0.15
ˈɛ	ˈɑ	0.143
ˈoː	ˈøː	0.138
ˈoː	ˈo	0.138
ɦ	j	0.136
ˈu	ˈøː	0.125
ˈu	ð̞ˠ	0.125
d̥	ə_ð̞ˠ	0.125
d̥	lˀ	0.125
ɾ	ɐˀ	0.114
n	nˀ	0.114
ˈeː	ˈɛˀ	0.111
ˈeː	ˈɑ	0.111
ˈeː	ˈiː	0.111
ˈaː	ˈʌ	0.111
ˈaː	ˈɛː	0.111
ˈaː	ˈɒˀ	0.111
ˈaː	-	0.111
ˈɑ	-	0.107
ˈi	ˈɛˀ	0.105
v	w	0.105
ˈoː	ˈœˀ	0.103
ˈoː	ˈœ	0.103
ˈoː	-	0.103
k	w	0.1
k	-	0.1
ˈɛ	j_ˈɛ	0.095
m	mˀ	0.08
ˈɑ	ˈɛ	0.071
ˈɑ	ˈæˀ	0.071
ˈɑ	ˈe	0.071
ə	jˀ	0.07
ˈoː	ˈʌˀ	0.069
ɾ	-	0.068
s	-	0.062
t	-	0.059
n	ˈɔˀ	0.057
n	ˈiˀ	0.057
n	-	0.057
ˈaː	ˈɑː	0.056
