Doculect,Branch,Classification
Proto-Balto-Slavic,Balto-Slavic,Balto-Slavic
Lithuanian,Baltic,Baltic
Latvian,Baltic,Baltic
Proto-Slavic,Slavic,Slavic
Russian,East Slavic,East Slavic
Belarusian,East Slavic,East Slavic
Ukrainian,East Slavic,East Slavic
Polish,West Slavic,West Slavic
Kashubian,West Slavic,West Slavic
Lower Sorbian,West Slavic,West Slavic
Upper Sorbian,West Slavic,West Slavic
Czech,West Slavic,West Slavic
Slovak,West Slavic,West Slavic
Slovenian,South Slavic,Southwest Slavic
Štokavian,South Slavic,Southwest Slavic
Čakavian,South Slavic,Southwest Slavic
Old Church Slavonic,South Slavic,Southeast Slavic
Macedonian,South Slavic,Southeast Slavic
Bulgarian,South Slavic,Southeast Slavic
