Proto-Slavic	Czech	probability
ʧ	ʧ	1.0
ʦ	ʦ	1.0
ʤ	c	1.0
ʒ_ĭ	ʒ̊	1.0
ʒ	ʒ	1.0
ʎ	l	1.0
ʃ	ʃ	1.0
ɲ	ɲ	1.0
ɨ̌	ˈɪ	1.0
ɨ̂ː	ˈɪ	1.0
ɨ	ɛ	1.0
ɡ	ɦ	1.0
ɛ̂ː	ˈɛ	1.0
ɛːˀ	-	1.0
ɛˀ	ˈiː	1.0
ɛ	-	1.0
z_ŭ	z̥	1.0
z	z	1.0
x	x	1.0
ǔ	ˈou̯	1.0
ŭ̂	ˈɛ	1.0
ŭ_t	ɛ_t	1.0
ŭ_j	iː	1.0
ŭ	-	1.0
ûː	ˈu	1.0
t	t	1.0
s_ŭ̌	s	1.0
s_ŭ̂	s	1.0
s	s	1.0
rʲ	r̝	1.0
r_ŭ	r	1.0
p	p	1.0
ǒː	r	1.0
õ̌ː	ˈou̯	1.0
õ̂ː	ˈu	1.0
õːˀ	ˈu	1.0
ôː_l	l_ˈa	1.0
oˀ_r	r_ˈaː	1.0
o_r	r	1.0
n	n	1.0
m_ĭ	m̩	1.0
m	m	1.0
j	j	1.0
ĭ̂_r	ˈr̩	1.0
ĭ̂	-	1.0
ĭˀ	-	1.0
ĭ_j	ɛː	1.0
ĭ	-	1.0
îː	ˈɪ	1.0
î	ˈɛ	1.0
iː	ˈiː	1.0
ě	ˈɛ	1.0
ẽ̌	-	1.0
ẽ̂ː	ˈa	1.0
ê	ˈɛ	1.0
eˀ	r̝_ˈiː	1.0
e_l	l	1.0
d_ŭ	d̥	1.0
ǎː	-	1.0
âː	ˈa	1.0
aː	ˈaː	1.0
k	k	0.971
ǎ	a	0.896
v	v	0.872
d	d	0.842
a	a	0.833
b	b	0.827
ô	ˈo	0.811
l	l	0.714
ɨˀ	ˈiː	0.703
ǒ	ˈuː	0.694
õː	-	0.667
aˀ	ˈa	0.657
ǐ	-	0.654
ẽ	-	0.603
ɛ̌ː	ɛ	0.6
e	ˈɛ	0.6
ĭ̌	ˈɛ	0.57
i	ˈɪ	0.568
ôː	-	0.559
r	r	0.53
ɛː	ˈɛ	0.5
ɛː	ɛ	0.5
o	ˈo	0.486
o	o	0.455
ôː	ˈo	0.441
i	-	0.432
ĭ̌	-	0.43
ɛ̌ː	ˈɛː	0.4
e	ɛ	0.4
ẽ	j	0.397
ǐ	ˈiː	0.346
aˀ	ˈaː	0.343
õː	u	0.333
ǒ	ˈo	0.306
ɨˀ	-	0.297
r	r̝	0.201
ô	-	0.189
b	b̥	0.173
a	-	0.167
d	ɟ	0.158
r	r̝̊	0.137
l	ˈl̩	0.119
r	ˈr̩	0.105
ǎ	-	0.104
l	l_ɛ	0.081
v	f	0.074
o	-	0.059
l	l_ˈu	0.055
v	v_ˈɪ	0.054
