Swiss German	Swiss German	probability
χː_tː	x_t	1.0
ˈɒ_l	ˈɑu̯	1.0
ˈøi̯	-	1.0
ˈæː	ˈɛː	1.0
ˈyə̯	-	1.0
ˈuː	ˈyː	1.0
ˈiː_sː	t	1.0
ˈei̯	-	1.0
ˈe	-	1.0
ˈau̯	ˈʊə̯	1.0
ʦ	t	1.0
ʋ	ʋ	1.0
ʃː	s	1.0
æ	iː	1.0
w	ɫ	1.0
v̥	v	1.0
tː_r	d_ɾ	1.0
r_tː	ɾ_d̥	1.0
p͡f	p	1.0
pː	-	1.0
n_#>	n_ə_#>	1.0
n	n	1.0
m	m	1.0
j	j	1.0
b̥_ə	v_ə	1.0
<#_ʦ	<#_t	1.0
<#_ɣ̊	<#_k	1.0
<#_ɡ̊	<#	1.0
<#_r	<#_ɾ	1.0
<#_h_ˈuː	<#_ˈyː	1.0
<#_h	<#	1.0
<#	<#_ˈɑ	1.0
l	ɫ	0.9
ə	ə	0.85
r	ɾ	0.839
ɡ̊	x	0.806
ˈɒː	ˈɛː	0.786
ˈiː	ˈi	0.75
ˈeː	ˈɪə̯	0.75
b̥	b	0.737
ˈyː	ˈiː	0.727
ˈoː	ˈʊə̯	0.727
fː	p	0.727
sː	t	0.714
χː	k	0.667
ˈiə̯	ˈiː	0.667
ŋ	ŋ	0.667
z̥	z	0.667
i	ɪ	0.667
#>	n_ə_#>	0.667
ˈi	ˈɪ	0.6
ˈɒ	ˈɑ	0.583
d̥	d	0.577
ˈæi̯	ˈɪə̯	0.545
ˈø	ˈʏ	0.5
ˈø	-	0.5
ˈy	ˈɪ	0.5
ˈy	-	0.5
ˈu	ˈɔ	0.5
ʒ̊	s	0.5
ˈæi̯	ˈæi̯	0.455
ˈæ	ˈæ	0.45
ˈuə̯	ˈuː	0.444
ˈo	ˈɔ	0.4
kː	k	0.4
d̥	d̥	0.346
ˈuə̯	ˈu	0.333
ˈiə̯	-	0.333
ŋ	n_d̥	0.333
i	i	0.333
#>	k_#>	0.333
ʒ̊	s_x	0.312
tː	d̥	0.308
tː	d	0.308
ˈi	ˈi	0.3
tː	t	0.282
ˈyː	-	0.273
ˈoː	ˈɛː	0.273
fː	v̥	0.273
ˈo	-	0.267
z̥	z̥	0.259
ˈiː	-	0.25
ˈeː	ˈiːə̯	0.25
ˈuə̯	-	0.222
ˈɒː	ˈɑ	0.214
ˈɒ	ˈɛː	0.208
χː	x	0.2
ˈæ	ˈeː	0.2
ˈo	ˈʊə̯	0.2
kː	x_ə	0.2
kː	x	0.2
kː	k_ə	0.2
ʒ̊	z	0.188
ˈu	ˈʏ	0.167
ˈu	ˈu	0.167
ˈu	-	0.167
b̥	v̥	0.158
ˈæ	ˈɛː	0.15
ə	-	0.15
sː	ˈeː_t	0.143
sː	t_ə	0.143
χː	-	0.133
ˈo	ˈøː	0.133
ˈɒ	ˈɒː	0.125
b̥	ə_v̥	0.105
tː	-	0.103
ˈæ	ˈɑ	0.1
ˈæ	-	0.1
ˈi	ˈæ	0.1
r	ɾ_ə	0.089
ˈɒ	ˈæ	0.083
d̥	-	0.077
z̥	z_ˈøː	0.074
r	-	0.071
ɡ̊	ŋ_k	0.065
ɡ̊	k	0.065
ɡ̊	-	0.065
