Scots	German	probability
θ	d	1.0
ˈʌu̯	ˈɔ_l	1.0
ˈɪ_l	ˈɪ_l	1.0
ˈu	ˈaʊ̯	1.0
ˈo	ˈɔ	1.0
ˈe_d	ˈoː_t	1.0
ʧ	kʰ	1.0
ʍ	v	1.0
ʃ	ʃ	1.0
ə_r	ɐ	1.0
ə_n	n	1.0
ə	-	1.0
ŋ	ŋ	1.0
z	z_ə	1.0
w	v	1.0
v	b	1.0
tʰ	ʦ	1.0
r_n	ɐ_n	1.0
r_d	ɐ_t	1.0
pʰ	p͡f	1.0
p_#>	f_#>	1.0
n	n	1.0
m	m	1.0
l	l	1.0
kʰ	kʰ	1.0
k_s	k_s	1.0
j	ɡ	1.0
i	ɪ_ç	1.0
h	h	1.0
f_#>	b̥_#>	1.0
f	f	1.0
b	b	1.0
<#_ˈɛ	<#_ˈa	1.0
<#_r	<#_ʁ	1.0
<#_n	<#_n	1.0
ɡ	ɡ	0.857
ˈəi̯	ˈaɪ̯	0.75
ˈø	ˈuː	0.714
ˈʌ	ˈʊ	0.636
ˈɑː	ˈa	0.636
#>	ɐ_#>	0.625
ˈa	ˈa	0.615
ˈe	ˈaɪ̯	0.611
x	x	0.6
p	f_n	0.6
θ_#>	d̥_#>	0.571
ð	d	0.571
ç	ç	0.571
r	ʁ	0.524
ˈuː	ˈaʊ̯	0.5
t	t	0.48
r	ɐ	0.476
ˈɪ	ˈɪ	0.475
ˈɛ	ˈɛ	0.462
θ_#>	#>	0.429
ð	t	0.429
ç	x	0.429
x	ɡ̊	0.4
s	z	0.4
p	f	0.4
ˈeː	ˈaː	0.385
#>	b_n_#>	0.375
ˈiː	ˈiː	0.368
ˈɑː	ˈa_l	0.364
d	tʰ	0.349
k	k	0.333
ˈeː	ˈa	0.308
s	ʃ	0.3
s	s	0.3
ˈø	n	0.286
t	s	0.28
ˈe	ˈa	0.278
ˈəi̯	ˈɔʏ̯	0.25
ˈuː	ˈɔ_l	0.25
ˈuː	ˈuː	0.25
d	t	0.233
d	d̥	0.233
ˈɛ	ˈeː	0.231
ˈa	ˈɛ	0.231
k	ç	0.222
k	x	0.222
ˈi	ˈiː	0.217
ˈiː	ˈeː	0.211
ˈʌ	ˈɛ	0.182
ˈʌ	ˈɔ	0.182
ˈi	ˈyː	0.174
ˈi	ˈaː	0.174
ˈi	ˈaʊ̯	0.174
ˈɛ	ˈaɪ̯	0.154
ˈɛ	ˈa	0.154
ˈeː	ˈeː	0.154
ˈeː	ˈaː_ɡ	0.154
ˈa	ˈœ	0.154
ɡ	k	0.143
t	ʦ	0.14
ˈe	ˈaː	0.111
k	ç_ə	0.111
k	kʰ	0.111
ˈiː	ˈɛː	0.105
ˈiː	ˈɔʏ̯	0.105
ˈiː	ˈiː_ɡ	0.105
ˈiː	ˈaɪ̯	0.105
ˈɪ	ˈʏ	0.1
t	s_n	0.1
ˈi	ˈøː	0.087
ˈi	ˈuː	0.087
ˈi	ˈoː	0.087
ˈɪ	ˈʊ	0.075
ˈɪ	ˈaɪ̯	0.075
ˈɪ	ˈa	0.075
d	t_n	0.07
d	d	0.07
