Proto-Germanic	Proto-Germanic	probability
θ_ɑ̃	d̥	1.0
β_ɑ_z_#>	v̥_#>	1.0
ˈɛː	ˈɑː	1.0
ˈɔː_θ	ˈu	1.0
ˈɑː	ˈɑː	1.0
ˈɑu̯_ð	ˈoː	1.0
ˈɑu̯	ˈʊə̯	1.0
ˈɑ_x	ˈɑː	1.0
ˈɑ_n	ˈa_n	1.0
ˈɑ_l	ˈœu̯	1.0
ˈuː_z	j	1.0
ˈuː	ˈœɪ̯	1.0
ˈĩː	ˈə	1.0
ˈiː	ˈəɪ̯	1.0
ˈiu̯	ˈi_t	1.0
ˈeː	ˈi	1.0
ˈe_xʷ	ˈi	1.0
ɣ_r	χ_r	1.0
ɡʷ	-	1.0
ɛː	ə	1.0
ɔ̃ː	-	1.0
ɔːː	-	1.0
ɔːu̯	-	1.0
ɑ̃_#>	#>	1.0
ɑː	-	1.0
ɑi̯	n	1.0
ɑ_z_#>	#>	1.0
ɑ_n_ɑ̃_#>	#>	1.0
ɑ_l	ɫ	1.0
ŋ_ɡ_ɑ̃_#>	ŋ_#>	1.0
ŋ_ɡ	ŋ	1.0
ŋ	ŋ	1.0
z_#>	#>	1.0
z	r	1.0
x_t	χ	1.0
x_s	s	1.0
x_l	ɫ	1.0
tː	t	1.0
t_s	t	1.0
t	t	1.0
sː	-	1.0
s_w	s	1.0
s_t	s	1.0
s_k	s	1.0
r_ˈi	r	1.0
r_ɣ	r_χ	1.0
r_ɑ	ə	1.0
r_ð	r_d̥	1.0
r_u	ə	1.0
r_n	r_ə	1.0
r_#>	r_#>	1.0
pː	p	1.0
p	p	1.0
nː	n	1.0
n_ɑ̃_#>	#>	1.0
n_s	n_s	1.0
n_#>	#>	1.0
mː	ˈɛ_m	1.0
lː	ɫ	1.0
l	ɫ	1.0
kː	k	1.0
kʷ	-	1.0
k_u	k	1.0
k_s	k	1.0
k	k	1.0
j_ɔ̃ː_#>	#>	1.0
j_ɔː_#>	#>	1.0
j	-	1.0
iː	-	1.0
d_u	d̥	1.0
b	b	1.0
<#_ˈɑ	<#_ˈa	1.0
<#_ˈu	<#_ˈɔ	1.0
<#_ɣ	<#_χ	1.0
<#_x_r	<#_r	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_p	<#_p	1.0
<#_n	<#_n	1.0
<#_l	<#_ɫ	1.0
<#_k	<#_k	1.0
<#_j	<#_j	1.0
n	n	0.953
r	r	0.944
ɸ	v̥	0.933
m	m	0.931
s	s	0.911
i	-	0.905
ˈɔː	ˈu	0.867
ɣ	χ	0.857
i_z_#>	#>	0.857
ˈeu̯	ˈi	0.833
ɔː	-	0.818
w	v	0.771
x	ɦ	0.75
u	-	0.733
ˈi	ˈə	0.667
xʷ	v	0.667
d	d	0.667
ɑ	ə	0.625
θ	d	0.615
ɑ̃	ŋ	0.6
ˈɑ	ˈa	0.564
β	-	0.556
ð	d̥	0.533
ˈɑi̯	ˈɪə̯	0.5
e	ə	0.5
e	-	0.5
ˈu	ˈɔ	0.467
β	v̥	0.444
ɑ̃	n	0.4
ɑ	-	0.375
xʷ	-	0.333
d	d̥	0.333
ˈe	ˈɪə̯	0.321
ˈe	-	0.321
θ	d̥	0.308
ˈɑi̯	ˈəɪ̯	0.278
ð	-	0.267
u	ə	0.267
ˈu	ˈʊə̯	0.244
ˈɑ	ˈɑː	0.231
ˈi	-	0.222
ð	d	0.2
w	-	0.2
ɔː	ə	0.182
ˈe	ˈæ	0.179
ˈeu̯	-	0.167
ɣ	-	0.143
x	-	0.143
i_z_#>	ə_#>	0.143
ˈɔː	-	0.133
ˈu	ˈœ	0.133
ˈɑi̯	ˈʊə̯	0.111
ˈɑi̯	-	0.111
ˈi	ˈɪə̯	0.111
ˈe	ˈi	0.107
x	χ	0.107
ˈɑ	ˈɛ	0.103
ˈɑ	-	0.103
i	ə	0.095
ˈu	-	0.089
s	-	0.089
θ	-	0.077
ˈe	ˈæː	0.071
m	-	0.069
ˈu	ˈɪø̯	0.067
ɸ	-	0.067
r	ə_r	0.056
