Provençal	Provençal	probability
ˈɛ_s	j	1.0
ˈɔ	-	1.0
ˈỹ	ˈœ̃	1.0
ˈy	ˈy	1.0
ˈũ_ŋ	ˈɔ̃	1.0
ˈũ	-	1.0
ˈu_s	w_ˈɛ	1.0
ˈĩ_ŋ	ˈẽ	1.0
ˈĩ	ˈẽ	1.0
ˈi_#>	ˈi_#>	1.0
ˈẽ_ŋ	ˈɛ̃	1.0
ˈẽ	ˈɛ̃	1.0
ˈe_ʀ	ˈa	1.0
ˈe_j	j	1.0
ˈe_#>	w_ˈɛ_#>	1.0
ˈã_ŋ	ˈɑ̃	1.0
ˈa_ʀ	ˈɔː	1.0
ˈa_#>	ˈe_#>	1.0
ʧ	t	1.0
ʤ_i	ɲː	1.0
ʤ_e	ʧ	1.0
ɾ_e_#>	#>	1.0
ɲ	ɲ	1.0
ɡ_ɔ	w	1.0
ɔ_#>	#>	1.0
ŋ_t	t	1.0
ŋ_#>	#>	1.0
w_ˈẽ	ˈɔ̃	1.0
v	v	1.0
ũ	ɔ̃	1.0
t_ɔ	ˈɛ_s	1.0
t	t	1.0
s_k	ʃ	1.0
s_#>	#>	1.0
p	p	1.0
n_ɔ	ˈɛ̃_n	1.0
mː	m	1.0
l_ɔ	j	1.0
l	l	1.0
k_ɥ	k	1.0
k_#>	#>	1.0
j_ˈɛ	ˈiː	1.0
j_ɾ	ʀ	1.0
j_ɔ	j	1.0
j_s	ʃ	1.0
ĩ	ẽ	1.0
f	f	1.0
ẽ	-	1.0
e_j_#>	#>	1.0
e_#>	#>	1.0
d_ɔ	j	1.0
ã	ɑ̃	1.0
<#_ʀ	<#_ʀ	1.0
<#_ɥ	<#_ˈuː	1.0
<#_t	<#_t	1.0
<#_s	<#_s	1.0
<#_l	<#_l	1.0
<#	<#_ʤ	1.0
ɾ	ʀ	0.931
n	n	0.917
s	s	0.9
m	m	0.792
b	b	0.789
u	ɔ	0.786
ʀ	ʀ	0.75
ʤ	ʤ	0.727
y	-	0.667
j	-	0.667
d	d	0.667
<#_a	<#_a	0.667
ˈa_w	ˈoː	0.636
ɥ	-	0.6
w_ˈe	ˈuː	0.6
b_ɾ	f	0.6
<#_e	<#	0.6
ɡ	ɡ	0.583
w_#>	#>	0.577
i	i	0.5
i	-	0.5
a	a	0.5
#>	ʀ_#>	0.5
k	k	0.488
ˈi	ˈɛ	0.471
ŋ	-	0.444
k	ʧ	0.439
ɔ	j	0.429
ɡ	-	0.417
ˈu	ˈɔ	0.409
ɥ	ˈuː	0.4
w_ˈe	ˈɔ	0.4
b_ɾ	p	0.4
<#_e	<#_ɛ	0.4
ˈã	ˈɛ̃	0.385
ˈã	ˈɑ̃	0.385
ˈa_w	ˈɔː	0.364
ˈɛ	j	0.348
ŋ	ˈẽ	0.333
z	ʒ	0.333
y	ɛː	0.333
j_ˈe	ˈiː	0.333
j_ˈe	ˈi	0.333
j_ˈe	ˈeː	0.333
d	-	0.333
a	ɛ	0.333
<#_a	<#	0.333
w	w	0.316
w_#>	ˈa_#>	0.308
e	ɛ	0.3
e	a	0.3
ˈi	ˈiː	0.294
ˈa	ˈa	0.289
ɔ	f	0.286
ɔ	-	0.286
ˈu	ˈøː	0.273
ʤ	-	0.273
ˈe	-	0.258
#>	ˈi_#>	0.25
#>	ˈe_#>	0.25
ˈã	-	0.231
ˈe	ˈɛ	0.226
ŋ	ˈɔ̃	0.222
z	ʃ	0.222
z	z	0.222
z	s	0.222
u	-	0.214
m	-	0.208
j	j	0.2
e	i	0.2
e	-	0.2
ˈa	ˈɛ	0.184
ˈu	ˈuː	0.182
ˈɛ	ˈiː	0.174
a	ɔː	0.167
ˈe	w	0.161
ˈa	ˈiː	0.158
ˈa	ˈe	0.158
w	ˈoː	0.158
w	ɔ	0.158
w	j	0.158
ˈu	ˈu	0.136
j	ˈɛ	0.133
ˈa	ˈɔː	0.132
ˈɛ	w	0.13
ˈɛ	j_ˈɛ	0.13
ˈɛ	-	0.13
ʀ	ˈa	0.125
ʀ	-	0.125
ˈi	ˈi	0.118
ˈi	ˈe	0.118
w_#>	l_#>	0.115
w	ˈɔ	0.105
w	-	0.105
b	v	0.105
b	-	0.105
s	ʃ	0.1
ˈe	ˈa	0.097
ˈɛ	ˈɛ	0.087
n	-	0.083
ˈa	ˈɛː	0.079
k	k_w	0.073
ɾ	-	0.069
ˈe	ˈɔː	0.065
ˈe	ˈɔ	0.065
ˈe	ʀ	0.065
ˈe	j	0.065
