Swedish	Swedish	probability
ˈʊ	ˈɔ	1.0
ˈɛː_d	ˈɪə̯	1.0
ˈœː	ˈʊə̯	1.0
ˈœ_l	ɫ	1.0
ˈæː	-	1.0
ˈiː	ˈəɪ̯	1.0
ʈː	r_t	1.0
ʈ	r_s	1.0
ʂ	ˈɔ	1.0
ɵ	-	1.0
ɪ	ə	1.0
ɡː	χ	1.0
ɡ_#>	#>	1.0
ɖ	r_d̥	1.0
ɔ	i	1.0
ŋː	ŋ	1.0
v_a_#>	v̥_#>	1.0
v_#>	v̥_#>	1.0
v	v	1.0
tʰ	d	1.0
t	t	1.0
sː	-	1.0
s_t	s	1.0
s	s	1.0
rː	r	1.0
pː	p	1.0
p	p	1.0
nː	n	1.0
mː	m	1.0
m	m	1.0
k_t	χ	1.0
k_a_#>	#>	1.0
k_#>	#>	1.0
k	k	1.0
jː	ˈɛː	1.0
j_ˈʉː	ˈi	1.0
h	ɦ	1.0
f	v̥	1.0
d_#>	#>	1.0
b	b	1.0
a	-	1.0
<#_tʰ	<#_t	1.0
<#_r	<#_r	1.0
<#_pʰ	<#_p	1.0
<#_n	<#_n	1.0
<#_l	<#_ɫ	1.0
<#_kʰ	<#_k	1.0
<#_d	<#_d	1.0
#>	n_#>	1.0
r	r	0.945
l	ɫ	0.933
ɡ	χ	0.909
n	n	0.861
ˈɪ	ˈə	0.857
tː	t	0.8
ˈa	ˈa	0.773
ˈuː	ˈu	0.769
d	d̥	0.769
<#	<#_v	0.75
ˈɛː	-	0.667
ˈyː	ˈi	0.667
ˈoː	ˈɑː	0.667
kː	k	0.667
ˈʏ	ˈœ	0.625
ˈɵ	ˈɔ	0.625
ɛ	ə	0.615
ˈœ	ˈʊə̯	0.6
ɳ	r_ə	0.6
ŋ	ŋ	0.6
lː	ɫ	0.6
ˈɑː	ˈɑː	0.571
ˈɔ	ˈɔ	0.556
ɧ	s	0.556
ˈeː	ˈɪə̯	0.545
ˈøː	ˈʊə̯	0.5
ɕ	k	0.5
ɕ	d	0.5
ɧ	s_k	0.444
j	χ	0.429
ˈʉː	ˈœɪ̯	0.412
ˈœ	v	0.4
ɳ	r	0.4
ŋ	-	0.4
lː	d̥	0.4
ɛ	-	0.385
ˈʏ	-	0.375
ˈʉː	ˈi	0.353
ˈɛː	ˈi	0.333
ˈyː	ˈyː	0.333
kː	ŋ_k	0.333
ˈɑː	ˈa	0.286
ˈɛ	ˈɪə̯	0.273
ˈeː	ˈəɪ̯	0.273
ˈɵ	-	0.25
<#	<#_j	0.25
ˈʉː	-	0.235
ˈuː	ˈʊə̯	0.231
ˈɛ	-	0.227
ˈɔ	ˈʊə̯	0.222
ˈɔ	-	0.222
ˈøː	ˈu	0.2
ˈøː	-	0.2
ˈoː	ˈʊə̯	0.2
tː	χ	0.2
ˈeː	ˈi	0.182
d	d	0.154
ˈɪ	-	0.143
ˈɑː	-	0.143
j	ˈæ	0.143
j	ɦ	0.143
j	d	0.143
j	-	0.143
ˈɛ	ˈɛ	0.136
ˈɛ	ˈæ	0.136
ˈɛ	ˈa	0.136
ˈa	-	0.136
ˈoː	ˈɪø̯	0.133
ˈɵ	ˈœɪ̯	0.125
ˈɛ	ˈə	0.091
ˈa	ˈɑː	0.091
ɡ	-	0.091
n	-	0.083
d	j	0.077
l	-	0.067
n	ˈɛ_n	0.056
r	-	0.055
