Italian	Italian	probability
ˈɛ_s	ɛɪ̯	1.0
ˈɛ_n	ã	1.0
ˈɛ_lː	oʊ̯	1.0
ˈɔ_ʤː	ɥ	1.0
ˈɔ_v	œ_f	1.0
ˈɔ_sː	o	1.0
ˈɔ_s	o	1.0
ˈɔ_r	ɑɔ̯	1.0
ˈɔ_n	ɒ̃ʊ̯̃	1.0
ˈɔ_k	øʏ̯	1.0
ˈu_ŋ	ɒ̃ʊ̯̃	1.0
ˈu_tː	u	1.0
ˈu_n	w_ẽɪ̯̃	1.0
ˈo_n	ɒ̃ʊ̯̃	1.0
ˈo_j	u	1.0
ˈi_r	i_ʁ	1.0
ˈi_n	ẽɪ̯̃	1.0
ˈi_k	i	1.0
ˈe_n	æɛ̯_n	1.0
ˈa_ŋ	ã	1.0
ˈa_z	e	1.0
ˈa_t	e	1.0
ˈa_r	e	1.0
ˈa_l	oʊ̯	1.0
ˈa_d	æɛ̯	1.0
ʧ_e	ɛ	1.0
ʦː	-	1.0
ʦ	s	1.0
ʤː	-	1.0
ʣː	-	1.0
ʎː	j	1.0
ʃː	-	1.0
ɲː_o	ẽɪ̯̃	1.0
ɲː	ɲ	1.0
ŋ	ẽɪ̯̃	1.0
z	-	1.0
w_ˈɔ	ɔ	1.0
w_ˈa	a	1.0
w	-	1.0
u	-	1.0
tː_o	i	1.0
sː	-	1.0
s_t	t	1.0
s_p	e_p	1.0
s_k	e_k	1.0
s_e	s_œ	1.0
rː	-	1.0
r_n	ʁ	1.0
pː	ʃ	1.0
o_r	ɑɔ̯_ʁ	1.0
o_n	ɒ̃ʊ̯̃	1.0
o_#>	#>	1.0
nː	-	1.0
mː	-	1.0
m_e_#>	#>	1.0
lː_a	l	1.0
l_o	ɛ_l	1.0
kː_j	j	1.0
kː_a	ʃ	1.0
kː	-	1.0
k_ˈa	ʃ	1.0
k_w	k	1.0
k_a	ʃ	1.0
j_ˈa	l_a	1.0
j_o_#>	#>	1.0
j_a	l	1.0
i_ʧ	z	1.0
fː	f	1.0
f	f	1.0
e_r	ʁ	1.0
e_d	w	1.0
e_#>	#>	1.0
dː	-	1.0
b_w	b	1.0
a_#>	#>	1.0
<#_ˈa	<#_æɛ̯	1.0
<#_t	<#_t	1.0
<#_r	<#_ʁ	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_d	<#_d	1.0
<#_a	<#_a	1.0
<#	<#_ʁ	1.0
s	s	0.92
m	m	0.871
b	b	0.85
v	v	0.844
r	ʁ	0.833
i	-	0.8
ʤ	ʒ	0.778
p	p	0.698
ʧː	s	0.667
ɡ	ɡ	0.667
t	-	0.667
n	n	0.654
d	-	0.647
tː	t	0.625
j	l	0.611
ˈa_n	ẽɪ̯̃	0.6
l	l	0.591
ˈu	y	0.588
t_a_#>	t_#>	0.571
ˈa	æɛ̯	0.545
k	k	0.545
ʧ	s	0.5
ʧ	-	0.5
lː	l	0.5
lː	-	0.5
#>	ɛ_#>	0.5
ˈe	w	0.467
a	a	0.458
ˈi	ɪ	0.444
t_a_#>	#>	0.429
l	-	0.409
ˈa_n	ã	0.4
tː	-	0.375
k	ʃ	0.364
ˈɛ	-	0.346
ʧː	-	0.333
ɡ	-	0.333
e	ʁ	0.323
ˈi	i	0.296
ˈɔ	-	0.292
ˈɛ	æɛ̯	0.269
o	u	0.267
ˈo	u	0.259
ˈi	-	0.259
ˈɔ	ɑɔ̯	0.25
a	-	0.25
#>	m_#>	0.25
#>	j_#>	0.25
ˈa	a	0.242
d	ʣ	0.235
ˈe	ɛ	0.233
t	t	0.233
ʤ	-	0.222
j	-	0.222
i	i	0.2
e	-	0.194
ˈɛ	ɛ	0.192
ˈu	ɥ	0.176
ˈe	-	0.167
j	j	0.167
a	ʁ	0.167
p	-	0.163
e	æɛ̯	0.161
v	-	0.156
n	ẽɪ̯̃	0.154
b	-	0.15
ˈo	ɔ	0.148
ˈo	aœ̯	0.148
ˈo	-	0.148
p	v	0.14
o	ɛ	0.133
o	ɔ	0.133
o	øʏ̯	0.133
o	i	0.133
m	-	0.129
e	œ	0.129
ˈɔ	ɥ	0.125
ˈɔ	œ	0.125
ˈɔ	øʏ̯	0.125
a	œ	0.125
ˈu	ʏ	0.118
ˈu	-	0.118
d	d	0.118
ˈɛ	j	0.115
n	ã	0.115
ˈo	ʊ	0.111
ˈo	w	0.111
t	ʁ	0.1
e	ɛ	0.097
e	e	0.097
ˈa	e	0.091
k	-	0.091
ˈɔ	oʊ̯	0.083
s	-	0.08
ˈɛ	ã	0.077
n	-	0.077
ˈo	ɒ̃ʊ̯̃	0.074
ˈe	æɛ̯	0.067
ˈe	w_ɛ	0.067
o	ʒ	0.067
o	ʁ	0.067
o	-	0.067
ˈa	ẽɪ̯̃	0.061
ˈa	ã	0.061
r	ɛ	0.061
