Neapolitan	Neapolitan	probability
ˈɛ_n	ˈẽ	1.0
ˈɔ_sː	s	1.0
ˈɔ_k	ɣ	1.0
ˈu_n	ˈũ	1.0
ˈu_j	ˈɔ_ʃ	1.0
ˈo_n	ˈõ	1.0
ˈa_n	ˈɐ̃	1.0
ʧ	ʃ	1.0
ʦː	s	1.0
ʦ	s	1.0
ʤː	-	1.0
ʎː_ə	ʎ_ɐ	1.0
ʎː	ʎ	1.0
ɾ_t	ɾ_t	1.0
ɲ	ɾ_ð	1.0
ə_ɾ	ɾ	1.0
ə_#>	#>	1.0
ŋ	-	1.0
z	j_z	1.0
w_ə	w_ɐ	1.0
u_n	õ	1.0
sː_ə	ʃ_u	1.0
rː	ʁ	1.0
o	u	1.0
nː	n	1.0
mː	m	1.0
m_ə	m_ɐ	1.0
m	m	1.0
kː_ə	k_ɐ	1.0
kː_j	ʎ	1.0
k_j	ʃ	1.0
fː	f	1.0
f	f	1.0
e_lː	ũ	1.0
dː	-	1.0
b	b	1.0
a_ɾ	ɐ	1.0
a_t	ɐ_ð	1.0
a_j	ɐ_ʒ	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_a	<#	1.0
v	v	0.906
d	d	0.867
p	p	0.833
k	k	0.83
ɲː	ɲ	0.8
ɡ	ɡ	0.8
lː	l	0.8
a	ɐ	0.8
s	s	0.792
w_ˈɔ	ˈo	0.769
ʤ	ʒ	0.75
u	u	0.7
i	-	0.647
ɾ	ɾ	0.641
tː	t	0.636
l	l	0.618
ˈɛ	ˈɛ	0.615
ˈi_n	ˈi_ɲ	0.6
e	ɨ	0.6
n_ə	w̃	0.571
ɾ_ə	ɾ	0.556
t	t	0.529
r	ɾ	0.529
j	-	0.526
ˈa	ˈa	0.515
ˈu	ˈu	0.486
ˈɔ	ˈo	0.474
ˈi	ˈi	0.471
ˈi	ˈe	0.412
ə	u	0.405
ˈi_n	ˈĩ	0.4
e	-	0.4
ˈe	ˈe	0.389
ˈo	ˈo	0.385
ʃ	s	0.385
t	ð	0.382
w	w	0.364
w	-	0.364
tː	j_t	0.364
r	ʁ	0.353
n	-	0.353
i	ɨ	0.353
ˈe	-	0.333
ʃː	ʃ	0.333
ʃː	s_ˈe	0.333
ʃː	-	0.333
ɾ_ə	ɾ_u	0.333
ˈu	ˈo	0.324
ˈɔ	ˈɔ	0.316
j	ˈɐ	0.316
ˈo	ˈɔ	0.308
ʃ	ʃ	0.308
u	-	0.3
l	-	0.294
ə	ɐ	0.282
w	ˈo	0.273
ɾ	-	0.256
ʤ	-	0.25
n	n	0.235
ˈɛ	j	0.231
ʃ	i_ʃ	0.231
w_ˈɔ	ˈɔ	0.231
n_ə	ɐ	0.214
n_ə	j_ɐ	0.214
ˈɔ	-	0.211
ɲː	-	0.2
ɡ	-	0.2
lː	-	0.2
a	ɐ̃	0.2
n	ˈõ	0.176
ə	ɨ	0.172
ˈe	ˈɐ_j	0.167
p	β	0.167
j	ʒ	0.158
ˈɛ	ˈe	0.154
ˈo	ˈu	0.154
ˈo	-	0.154
ˈa	ˈɐ̃	0.136
d	-	0.133
k	ɣ	0.128
s	ʃ	0.125
r	ɐ_ɾ	0.118
n	ˈẽ	0.118
n	ɲ	0.118
ˈe	ˈɐ	0.111
ɾ_ə	u	0.111
ˈa	ˈɐ	0.106
v	b	0.094
t	-	0.088
l	w	0.088
s	-	0.083
ˈu	-	0.081
ʃ	z	0.077
ˈa	ɐ	0.076
ˈa	-	0.076
ˈi	ˈɐ	0.059
ˈi	-	0.059
ˈu	ˈɔ	0.054
ˈu	ˈɐ̃	0.054
ɾ	ɫ	0.051
ɾ	w_ɾ	0.051
