American English	German	probability
ˈɛ_d	ˈoː_t	1.0
ˈɔ_ɹ	ɐ	1.0
ˈɔ	ˈɔ	1.0
ˈæ_θ	ˈaː_d̥	1.0
ˈu	ˈuː	1.0
ˈoʊ̯_#>	ˈeː_#>	1.0
ˈi_#>	ˈaɪ̯_#>	1.0
ˈaʊ̯_#>	ˈuː_#>	1.0
ˈaʊ̯	ˈaʊ̯	1.0
ˈaɪ̯_d	ˈaɪ̯_t	1.0
ʧ	kʰ	1.0
ʤ	k_ə	1.0
ʃ	ʃ	1.0
ɾ	s	1.0
ɹ_n	ɐ_n	1.0
ɫ	l	1.0
ɡ	ɡ	1.0
ɚ	ɐ	1.0
ə_n	n	1.0
ə	-	1.0
ŋ_ɡ	ŋ	1.0
ŋ	ŋ	1.0
z	ə	1.0
tʰ	ʦ	1.0
t	t	1.0
pʰ	p͡f	1.0
m	m	1.0
kʰ	kʰ	1.0
k_ɪ	k	1.0
i	ɪ_ç	1.0
h	h	1.0
f_#>	b̥_#>	1.0
f	f	1.0
b	b	1.0
#>	ɐ_#>	1.0
n	n	0.959
w	v	0.926
θ	d	0.786
ˈæ	ˈa	0.714
ɹ	ʁ	0.714
p	f	0.7
ˈoʊ̯	ˈaɪ̯	0.692
ˈɝ	ɐ	0.6
ˈɑ	ˈa	0.583
ð	d	0.571
ˈʌɪ̯	ˈaɪ̯	0.556
ˈɪ	ˈɪ	0.552
ˈʊ	ˈɔ	0.5
ˈʊ	ˈuː	0.5
ˈeɪ̯	ˈa	0.5
j	ɡ	0.5
j	j	0.5
ð	t	0.429
ˈɛ	ˈɛ	0.421
ˈɝ	ˈʊ_ɐ	0.4
v	b	0.4
s	z	0.392
ʔ	s	0.379
k	ç	0.375
k	k	0.375
ˈʌ	ˈʊ	0.333
s	s	0.333
d	tʰ	0.319
ˈaɪ̯	ˈɪ	0.308
ˈi	ˈiː	0.3
v	f	0.3
v	b_n	0.3
p	f_n	0.3
ɹ	ɐ	0.286
s	ʃ	0.275
d	t	0.255
ˈɑ	ˈɔ	0.25
ˈeɪ̯	ˈaː_ɡ	0.25
ˈeɪ̯	ˈaː	0.25
k	x	0.25
d	d̥	0.234
ˈaɪ̯	ˈɔʏ̯	0.231
ˈaɪ̯	ˈaɪ̯	0.231
ˈaɪ̯	n	0.231
ˈʌɪ̯	ˈɪ	0.222
ˈʌɪ̯	ˈa_x	0.222
θ	d̥	0.214
ˈʌ	ˈoː	0.19
ˈɪ	ˈʏ	0.172
ʔ	ʦ	0.172
ʔ	s_n	0.172
ˈɑ	ˈɛ	0.167
ˈi	ˈaː	0.167
ˈi	ˈaʊ̯	0.167
ˈɛ	ˈeː	0.158
ˈɛ	ˈaɪ̯	0.158
ˈɛ	ˈa	0.158
ˈoʊ̯	ˈeː	0.154
ˈoʊ̯	ˈa	0.154
ˈʌ	ˈɔ	0.143
ˈʌ	ˈaʊ̯	0.143
ˈæ	ˈaː	0.143
ˈæ	ˈa_l	0.143
ʔ	ç_t	0.138
ʔ	t	0.138
ˈi	ˈyː	0.133
ˈɛ	ˈɛː	0.105
ˈi	ˈeː	0.1
ˈʌ	ˈuː	0.095
ˈʌ	n	0.095
d	d	0.085
w	v_ˈa	0.074
ˈɪ	ˈɛ	0.069
ˈɪ	ˈiː	0.069
ˈɪ	ˈeː	0.069
ˈɪ	ˈaɪ̯	0.069
ˈi	ˈɔʏ̯	0.067
ˈi	ˈuː	0.067
d	t_n	0.064
