West Flemish	Limburgish	probability
ˈɪ_n	n	1.0
ˈæ_ɾ	ʀ	1.0
ʃ_h	ʃ	1.0
ɪ	ɪ	1.0
ɦ̥	ɣ̊	1.0
ɦ_ə	k	1.0
ə_ɾ	ə_ʀ	1.0
ə_n	ə	1.0
ə_l	ə_l	1.0
ə	ə	1.0
ŋ	ŋ	1.0
ç	ɣ̊	1.0
z̥	z̥	1.0
v̥	v̥	1.0
v_ə	v̥	1.0
v_n	v_ə	1.0
v	v	1.0
s	s	1.0
p	p	1.0
m	m	1.0
l	l	1.0
k_n	k_ə	1.0
iə̯	i	1.0
h_t	x	1.0
h	x	1.0
b	b	1.0
k	k	0.967
d	d	0.934
d̥	d̥	0.927
ʋ	β	0.921
t	t	0.914
ˈɪ	ˈɪː	0.868
z	z	0.849
ɦ	ɣ	0.808
ˈi	ˈiː	0.785
w	l_ə	0.784
ɾ	ʀ	0.744
ˈɛː	ˈɛː	0.736
ˈeː	ˈeː	0.712
n	n	0.671
j	-	0.648
ˈyː	ˈuː	0.585
ˈu	ˈʊː	0.58
ˈøː	-	0.574
ˈɒː	ˈɒː	0.498
ˈuə̯	ˈøː	0.465
ˈøː	ˈʊː	0.426
ˈɔ	ˈɔ	0.404
ˈœ	ˈɔ	0.397
ˈɑ	ˈɑ	0.389
ˈiə̯	ˈeː	0.384
ˈɛ	ˈɛ	0.375
ˈɛ	-	0.375
ˈæ	ˈæː	0.371
j	j	0.352
n	ə	0.312
ˈœ	ˈœ	0.301
ˈœ	-	0.301
ˈuə̯	ˈʊː	0.297
ˈiə̯	-	0.294
ˈɑ	ˈɑː	0.292
ˈeː	ˈɛː	0.288
ˈɔ	ˈʊː	0.269
ˈɛː	ˈi	0.264
ˈæ	-	0.263
ˈoː	ˈʊː	0.257
ˈɛ	ˈɪ	0.25
ˈyː	ˈɔu̯	0.246
ˈɑ	ˈaː	0.243
ˈuə̯	ˈoː	0.238
ˈɒː	ˈaː	0.229
ˈoː	ˈu	0.221
w	-	0.216
ˈi	-	0.215
ˈɔ	-	0.195
ˈæ	ˈɛː	0.183
ˈæ	ˈeː	0.183
ˈoː	ˈɔː	0.183
ˈyː	ˈœi̯	0.17
ˈɒː	-	0.156
ɾ	ʀ_ə	0.153
z	-	0.151
ˈɪ	ˈɛː	0.132
ˈɔ	ˈœː	0.132
ˈiə̯	ˈiː	0.129
ˈu	ˈaː_j	0.128
ˈu	-	0.128
ˈɒː	ˈʊː	0.117
ɦ	ɣ̊	0.115
ˈu	ˈʊ	0.108
ɾ	ə_ʀ	0.103
ˈiə̯	ˈyː	0.097
ˈiə̯	ˈi	0.097
t	-	0.086
ʋ	-	0.079
ɦ	ɡ	0.076
ˈɑ	ˈæ	0.075
ˈoː	ˈøː	0.075
ˈoː	ˈoː	0.075
ˈoː	ˈyː	0.074
ˈoː	ˈuː	0.074
d̥	-	0.073
d	j_ə	0.066
ˈu	w	0.055
