American English	American English	probability
θ	θ	1.0
ˈʊ_ɫ	ˈuː	1.0
ˈʊ	ˈø	1.0
ˈɑ_ɫ	ˈɑː	1.0
ˈoʊ̯_n	ˈe_n	1.0
ʔ	t	1.0
ɾ	t_ə	1.0
ɹ_n	r_n	1.0
ɹ	r	1.0
ɫ	l	1.0
ɪ	-	1.0
ə	ə	1.0
ŋ	ŋ	1.0
ð	ð	1.0
z	z	1.0
tʰ	tʰ	1.0
t	t	1.0
s	s	1.0
pʰ	pʰ	1.0
p	p	1.0
oʊ̯_#>	ə_#>	1.0
n_d	n_ə	1.0
n	n	1.0
m	m	1.0
l	l	1.0
kʰ	kʰ	1.0
k	k	1.0
j	j	1.0
h	h	1.0
d	d	1.0
b	b	1.0
f	f	0.939
ɡ	ɡ	0.867
ʃ	ʃ	0.846
ˈɪ	ˈɪ	0.8
w	w	0.781
ˈaʊ̯	ˈu	0.714
ˈɝ	ˈɪ_r	0.667
ʤ	ɡ	0.667
i	i	0.667
ɚ	r	0.625
ʧ	ʧ	0.6
ˈu	ˈø	0.583
ˈʌɪ̯	ˈɪ_ç	0.556
v	v	0.556
ˈɔ	ˈo	0.545
ˈi	ˈi	0.524
ˈɛə̯	ˈɑː	0.5
ˈɛə̯	ˈa	0.5
ˈʌ	ˈʌ	0.478
ˈi	ˈiː	0.476
ˈɔ	-	0.455
ˈʌɪ̯	ˈəi̯	0.444
v	-	0.444
ˈɛ	ˈɛ	0.438
ˈaɪ̯	ˈəi̯	0.421
ˈeɪ̯	ˈe	0.4
ʧ	k	0.4
ɚ	ə_r	0.375
ˈɑ	ˈo	0.357
ˈʌ	ˈɪ	0.348
ˈɝ	r_ˈɪ	0.333
ˈæ	ˈɛ	0.333
ˈu	-	0.333
ʤ	ʤ	0.333
ˈoʊ̯	ˈe	0.294
ˈɑ	ˈeː	0.286
ˈaʊ̯	ˈuː	0.286
ˈæ	ˈɑː	0.25
ˈæ	-	0.25
ˈoʊ̯	ˈɑː	0.235
ˈɑ	ˈa	0.214
ˈaɪ̯	ˈiː	0.211
ˈeɪ̯	ˈeː	0.2
ˈeɪ̯	-	0.2
ˈɛ	ˈeː	0.188
ˈoʊ̯	ˈʌu̯	0.176
ˈoʊ̯	ˈeː	0.176
ˈæ	ˈa	0.167
i	ɪ	0.167
i	e	0.167
ˈaɪ̯	ˈɪ	0.158
ˈaɪ̯	ˈaɪ̯	0.158
ˈɛ	ˈi	0.156
ʃ	s	0.154
ˈɑ	-	0.143
ˈɪ	-	0.133
ˈeɪ̯	ˈɛ	0.133
ɡ	ə	0.133
ˈɛ	ˈe	0.125
w	ʍ	0.125
ˈoʊ̯	ˈoː	0.118
ˈɛ	ˈa	0.094
w	-	0.094
ˈʌ	ˈu	0.087
ˈʌ	-	0.087
ˈu	ˈøː	0.083
ˈɪ	ˈi	0.067
ˈeɪ̯	ˈɛː	0.067
f	-	0.061
ˈaɪ̯	ˈaːɪ̯	0.053
