Spanish	Spanish	probability
θ_ˈe	s_e	1.0
θ_e	θ	1.0
θ_#>	z_#>	1.0
β_j	v	1.0
ˈu_ɾ	ˈuː_r	1.0
ˈi_ɾ	ˈiː_r	1.0
ˈe_β	v	1.0
ˈe_ɾ	r	1.0
ʧ	t	1.0
ʝ	l	1.0
ɾ_ˈe	r_ˈiː	1.0
ɾ_o	e_r	1.0
ɾ_e	e_r	1.0
ɾ_#>	r_#>	1.0
ɣ_o_#>	ɡ_#>	1.0
ɡ	ɡ	1.0
ŋ	ŋ	1.0
x_o_#>	s_#>	1.0
u	u	1.0
t_ˈi	t_ˈɛ	1.0
t_e_#>	t_#>	1.0
t	t	1.0
r	r	1.0
p	p	1.0
o_#>	#>	1.0
n_o_#>	ŋ_#>	1.0
l_ˈe	l_ˈa	1.0
l_#>	l_#>	1.0
k_o_#>	k_#>	1.0
k	k	1.0
f	f	1.0
e_s	s	1.0
e_#>	#>	1.0
d	d	1.0
b_ɾ_e_#>	#>	1.0
a_ð	d	1.0
<#_θ	<#_θ	1.0
<#_ˈa	<#_ˈaː	1.0
<#_x	<#_ð	1.0
<#_w	<#_ˈɔː	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_a	<#	1.0
<#	<#_f	1.0
m	m	0.933
a	a	0.897
j	-	0.833
l	l	0.824
ɣ	ɡ	0.8
s	s	0.758
ɾ	r	0.73
β	v	0.688
ˈa_ð	ˈɛ_d	0.667
<#_r	<#_r	0.667
b	v	0.615
ˈi	ˈe	0.6
w_ˈe	ˈɔ	0.6
<#_ˈo	<#_ˈɔ	0.6
n	ŋ	0.568
x	j	0.545
o	u	0.538
ɲ	ɲ	0.5
w	ˈɔː	0.5
i	i	0.5
i	-	0.5
ˈa	ˈɛ	0.472
ˈu	ˈo	0.467
x	ʧ	0.455
ð	d	0.438
ɟ͡ʝ	p_j	0.429
j_ˈe	ˈɛ	0.417
w_ˈe	ˈuː	0.4
<#_ˈo	<#	0.4
ð	t	0.375
e	-	0.35
θ	θ	0.333
ˈa_ð	ˈɛ	0.333
j_ˈe	ˈæ	0.333
<#_r	<#	0.333
β	b	0.312
ˈo	ˈʌu̯	0.308
o	-	0.308
b	b	0.308
n	n	0.297
ɟ͡ʝ	ʧ	0.286
ɟ͡ʝ	ð	0.286
ˈa	ˈa	0.264
θ	z	0.25
θ	-	0.25
ɲ	n	0.25
ɲ	-	0.25
j_ˈe	ˈɛː	0.25
e	a	0.25
ˈo	ˈʌ	0.231
ˈo	ˈɔː	0.231
ˈa	ˈaː	0.226
w	w	0.222
ˈu	ˈuː	0.2
ˈu	-	0.2
ɣ	-	0.2
e	e	0.2
ð	-	0.188
s	-	0.182
ˈe	ˈa	0.176
θ	s	0.167
w	ˈʌ	0.167
j	ˈi	0.167
ˈe	-	0.157
o	e_r	0.154
ˈi	ˈiː	0.15
ˈi	f	0.15
ˈe	ˈa_j	0.137
ˈu	ˈʌu̯	0.133
ˈo	ˈɔ	0.115
ˈo	ˈo	0.115
w	ˈo	0.111
ɾ	e	0.108
a	-	0.103
ˈi	ˈɛ	0.1
e	ˈa	0.1
e	n	0.1
ˈe	ˈɛ	0.098
ˈe	ˈiː	0.098
l	j	0.088
l	-	0.088
n	-	0.081
b	-	0.077
m	ŋ	0.067
s	z	0.061
ˈe	ˈe	0.059
ˈe	ˈaː	0.059
ˈe	e	0.059
ɾ	l	0.054
ɾ	e_r	0.054
ɾ	-	0.054
n	ŋ_n	0.054
