West Flemish	East Low German	probability
<#	<#_h	1.0
<#_b	<#_b	1.0
<#_d	<#_d	1.0
<#_j	<#_j	1.0
<#_k	<#_kʰ	1.0
<#_l	<#_l	1.0
<#_m	<#_m	1.0
<#_n	<#_n	1.0
<#_s	<#_ʃ	1.0
<#_t	<#_tʰ	1.0
<#_v	<#_f	1.0
<#_z	<#_z	1.0
<#_ɾ	<#_r	1.0
<#_ʋ	<#_v	1.0
<#_ˈu	<#_h_ˈʊ	1.0
<#_ˈyː	<#_ˈuː	1.0
<#_ˈɑ	<#_ˈa	1.0
<#_ˈɔ	<#	1.0
<#_ˈɛː	<#_ˈae̯	1.0
d̥	t	1.0
d̥_#>	d_#>	1.0
k	-	1.0
k_#>	k_#>	1.0
k_n	k_n	1.0
k_ə	k	1.0
l	l	1.0
l_#>	l_#>	1.0
l_ə	l	1.0
l_ˈuə̯	l_ˈaʊ̯	1.0
m_#>	m_#>	1.0
m_n	m	1.0
m_ə	m	1.0
n_d	n	1.0
n_ə	n	1.0
p	p	1.0
s	s	1.0
s_#>	ʃ_#>	1.0
t_#>	t_#>	1.0
t_n	t_n	1.0
t_ə	t	1.0
t_ɾ	t_æ	1.0
v_n	m	1.0
v_ə	f_#>	1.0
v̥_#>	f_#>	1.0
w	l	1.0
z_ʋ	<#_ʃ_w	1.0
z̥	s	1.0
ŋ	ŋ	1.0
ə_ɾ	æ	1.0
ɦ	ɡ	1.0
ɦ_n	ŋ	1.0
ɾ_#>	æ	1.0
ɾ_ə	æ	1.0
ʃ_h	ʃ	1.0
ʋ	v	1.0
ˈi	ˈiː	1.0
ˈiə̯_ɾ	ˈyː_æ	1.0
ˈoː_n	n	1.0
ˈoː_ɾ	ˈuː_æ	1.0
ˈu_ʋ	ˈuː	1.0
ˈyː	ˈuː	1.0
ˈyː_s	ˈuː_s	1.0
ˈæ_ɾ	ˈiː_æ	1.0
ˈøː	ˈœː	1.0
ˈœ	ˈʏ	1.0
ˈœ_l	ˈʊ_l	1.0
ˈɒː_n	ˈɒː_n	1.0
ˈɔ	ˈɔ	1.0
ˈɛ	ˈɪ	1.0
ˈɛː	ˈae̯	1.0
ˈɛː_n	ˈae̯_n	1.0
ˈɪ_n	ˈɪ_n	1.0
ɾ	r	0.731
ˈiə̯	ˈiː	0.231
ˈoː	ˈaʊ̯	0.571
n	n	0.812
ə	ç	0.222
ˈeː	ˈɛ	0.182
ˈeː	ˈɛː_ɾ	0.182
ˈɑ	ˈa	0.842
ˈɒː	ˈɒː	0.692
ˈɪ	ˈʏ	0.182
ˈeː	ˈae̯	0.273
ˈoː	ˈuː	0.143
ˈoː	ˈɒː	0.143
ˈoː	ˈoː	0.143
ˈæ	ˈɛ	0.583
d	-	0.4
h	x	0.714
t	-	0.364
ɦ_ə	ɡ	0.4
ˈeː	ˈɛː	0.364
ˈɒː	ˈa	0.154
ˈɒː	ˈoː	0.154
<#_ɦ	<#_j	0.385
<#_ɦ	<#_ɡ	0.615
ɦ̥_#>	x_#>	0.375
ɦ̥_#>	ç_#>	0.625
ˈu	ˈʊ	0.5
ˈu	ˈɔ_l	0.5
ˈuə̯	ˈɔʏ̯	0.385
ˈuə̯	ˈaʊ̯	0.615
ˈæ	ˈaː	0.25
d	ɾ	0.6
h	ç	0.286
t	t	0.636
ɦ_ə	ç	0.6
ˈæ	-	0.167
n	-	0.188
ə	-	0.778
ˈɑ	ˈaː	0.158
ˈɪ	ˈɪ	0.818
ɾ	-	0.269
ˈiə̯	ˈae̯	0.769
