Proto-Germanic	Northern Low Saxon	probability
a	-	0.125
b	b	0.892
b	-	0.102
d	d	0.896
d	-	0.057
d	t	0.051
e	ɐ	1.0
i	-	0.848
i	i	0.076
i	ɐ	0.075
iː	-	1.0
j	-	0.874
j	ʒ	0.091
j	ˈʏ	0.042
jː	ˈaɪ̯	1.0
k	kʰ	0.559
k	ɡ	0.279
k	k	0.069
k	-	0.067
k_i	ɡ	1.0
k_s	ɡ	1.0
kʷ	k	1.0
kː	ɡ	0.125
l	l	0.934
l	-	0.067
l_i	l	1.0
l_u	l	1.0
l_ɑ	l	1.0
lː	l	1.0
m	m	0.86
m	-	0.07
m	n	0.07
m_i	m	1.0
m_ɑ	m	1.0
mː	m	0.5
n	n	0.804
n	-	0.177
n_i	n	1.0
n_u	n	1.0
n_x	ŋ	0.5
n_ɑ	m	1.0
n_ɑ̃	m	1.0
nː	n	0.784
nː	ˈœː	0.13
nː_i	n	0.5
p	b	0.218
p	p	0.218
p_ɑ	b	1.0
p_ɑ̃	b	1.0
pː	b	0.5
r	r	0.505
r	-	0.3
r	ɐ	0.191
r_i	ɐ	1.0
r_t	d	0.5
r_u	ɐ	1.0
r_ɑ	ɐ	1.0
r_ɑ̃	ɐ	1.0
s	z	0.343
s	s	0.307
s	ʃ	0.227
s	-	0.11
s_k	ʃ	1.0
s_t	s	1.0
s_ɑ̃	s	1.0
t	d	0.356
t	tʰ	0.301
t	t	0.26
t	-	0.069
t_i	d	1.0
t_s	d	1.0
t_ɑ	d	1.0
u	-	1.0
u_n	n	1.0
w	v	0.657
w	-	0.289
w	ˈeː	0.038
w	ˈʏ	0.034
wː	ˈuː	0.25
x	h	0.622
x	x	0.157
x	-	0.097
x	ç	0.076
x	kʰ	0.038
x_l	l	1.0
x_s	s	1.0
x_t	ç	1.0
xʷ	v	0.74
xʷ	-	0.14
z	-	1.0
ð	d	0.47
ð	-	0.263
ð	t	0.174
ð	l	0.066
ð_i	d	1.0
ð_ɑ	d	0.733
ð_ɑ	t	0.265
ð_ɑ̃	d	1.0
ŋ	ŋ	0.562
ŋ	-	0.22
ŋ	ɪ	0.101
ŋ	n	0.063
ŋ_ɡ	ŋ	1.0
ɑ	-	0.931
ɑ	ɪ	0.052
ɑ_l	l	0.25
ɑ_z	ç	0.5
ɑi̯	-	0.5
ɑː	-	0.5
ɑ̃	-	0.99
ɔː	-	0.602
ɔː	ɐ	0.389
ɔː_n	n	0.5
ɔːu̯	-	1.0
ɔːː	-	0.683
ɔːː	ɐ	0.31
ɔ̃ː	-	0.918
ɔ̃ː	ˈuː	0.074
ɛː	ɐ	1.0
ɡ	ç	0.803
ɡ	-	0.088
ɡʷ	-	0.5
ɣ	ɡ	0.652
ɣ	ç	0.132
ɣ	ŋ	0.062
ɣ	-	0.053
ɣ	d	0.049
ɣ_ɑ	x	0.525
ɣ_ɑ	ç	0.447
ɸ	f	0.963
ɸ	-	0.042
ˈe	ˈeː	0.235
ˈe	ˈɛ	0.183
ˈe	ˈaɪ̯	0.154
ˈe	ˈɪ	0.089
ˈe	ˈoː	0.054
ˈeu̯	ˈaɪ̯	0.501
ˈeu̯	ˈɪ	0.253
ˈeu̯	ˈeɪ̯	0.127
ˈeu̯	ˈɔ	0.098
ˈeː	ˈiː	0.5
ˈi	ˈɪ	0.65
ˈi	ˈiː	0.247
ˈi	ˈø	0.05
ˈi	-	0.043
ˈi	ˈeː	0.039
ˈiu̯	ˈyː	0.776
ˈiu̯	ˈiː	0.175
ˈiː	ˈiː	0.84
ˈiː	ˈɪ	0.079
ˈiː	ˈaɪ̯	0.078
ˈĩː	ˈɪ	1.0
ˈu	ˈʊ	0.3
ˈu	ˈɔ	0.166
ˈu	ˈʏ	0.152
ˈu	ˈaʊ̯	0.099
ˈu	ˈoː	0.077
ˈuː	ˈuː	0.757
ˈuː	ˈaʊ̯	0.128
ˈuː	ˈyː	0.097
ˈɑ	ˈa	0.507
ˈɑ	ˈoː	0.171
ˈɑ	ˈaʊ̯	0.064
ˈɑ	ˈeː	0.053
ˈɑ	ˈɛ	0.053
ˈɑ_r	ˈaː	1.0
ˈɑ_x	ˈoː	1.0
ˈɑi̯	ˈaɪ̯	0.452
ˈɑi̯	ˈeɪ̯	0.219
ˈɑi̯	ˈɪ	0.11
ˈɑi̯	-	0.085
ˈɑi̯	ˈɛɪ̯	0.083
ˈɑu̯	ˈaʊ̯	0.635
ˈɑu̯	ˈɔʏ̯	0.227
ˈɑu̯	ˈɔ	0.073
ˈɑu̯	ˈoː	0.062
ˈɔ	ˈɔʏ̯	0.125
ˈɔː	ˈaʊ̯	0.552
ˈɔː	ˈɔʏ̯	0.221
ˈɔː	ˈeː	0.087
ˈɔː	ˈuː	0.069
ˈɔː	ˈyː	0.069
ˈɛː	ˈoː	1.0
β	v	0.407
β	b	0.268
β	m	0.221
β_ɑ	m	0.517
β_ɑ	f	0.45
β_ɑ̃	f	1.0
θ	d	0.804
θ	-	0.185
θ_ɑ̃	d	1.0
