East Frisian Low Saxon	East Frisian Low Saxon	probability
χ	h	1.0
ˈʏə̯	ˈoː_n	1.0
ˈʏ	ˈi	1.0
ˈʊə̯	ˈu	1.0
ˈɪə̯	-	1.0
ˈɒː_t	ˈa_t	1.0
ˈɑːʊ̯	n_oː	1.0
ˈɑʊ̯	ˈoː	1.0
ˈɑ_n	ˈa_n	1.0
ˈɑ	ˈa	1.0
ˈœːy̯	ˈoː	1.0
ˈøy̯	ˈoː	1.0
ˈæːɪ̯	ˈɛː	1.0
ˈyː	ˈiu̯_ð	1.0
ˈuːu̯	ɡʷː	1.0
ˈuː	ˈuː	1.0
ˈoːo̯	ˈɔː	1.0
ˈeː	-	1.0
ɫ	i_l	1.0
ə	-	1.0
ɐ_n	r_n	1.0
z̥	s	1.0
w	w	1.0
t_#>	#>	1.0
r	r	1.0
p	p	1.0
o	ˈa	1.0
m	m	1.0
k	k	1.0
j	j	1.0
h	h	1.0
f	f	1.0
d̥_#>	t_#>	1.0
b	b	1.0
<#_ˈɑːɑ̯	<#_ˈa	1.0
<#_ɡ	<#_ɡ	1.0
<#_t	<#_t	1.0
<#_s	<#_s	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_k	<#_k	1.0
<#_d	<#_θ	1.0
n	n	0.875
#>	s_#>	0.864
d	d	0.846
ŋ	ŋ_ɡ	0.833
l	l	0.821
z	s	0.818
v	w	0.81
ˈʊ	ˈu	0.8
ˈɪ	ˈi	0.8
t	t	0.792
ˈiː	ˈiː	0.75
ˈɑː	ˈa	0.714
ɐ_#>	r_#>	0.667
s	s	0.667
d̥	θ	0.611
ˈøː	ˈu	0.6
v̥	f_s	0.6
ˈɛ	ˈi	0.5
ˈɛ	-	0.5
ˈɒː	ˈeː	0.5
ˈɒː	ˈa	0.5
ˈæɪ̯	ˈɛː	0.5
ɡ	ɡ	0.5
ɡ	a	0.5
ɐ	r	0.5
ˈɔ	ˈu	0.429
ˈoː	ˈɔː	0.429
ˈoː	ˈɔ	0.429
ɣ̊	x	0.429
ˈøː	ˈɔː	0.4
v̥	b	0.4
ˈɛːɪ̯	ˈɛː_w	0.333
ˈɛːɪ̯	ˈiː_s	0.333
ˈɛːɪ̯	ˈiu̯	0.333
ɐ_#>	#>	0.333
s	i_s	0.333
ˈæɪ̯	ˈiu̯	0.3
ˈɔ	ˈa	0.286
ˈɔ	-	0.286
ˈɑː	ˈɛ	0.286
ɣ̊	ɣ	0.286
ɣ̊	ɡ_s	0.286
ɐ	a_r	0.273
ˈiː	ˈi	0.25
ˈʊ	-	0.2
ˈɪ	-	0.2
ˈæɪ̯	-	0.2
z	s_ˈɛ	0.182
ŋ	ɡʷ	0.167
d̥	d_s	0.167
d	ð	0.154
ˈoː	-	0.143
ɐ	-	0.136
#>	a_#>	0.136
t	t_a	0.125
d̥	θ_iː	0.111
d̥	d_u	0.111
l	lː	0.107
v	β_a	0.095
v	ʍ	0.095
ɐ	a	0.091
t	-	0.083
n	nː	0.071
l	h_l	0.071
n	n_d	0.054
