Romanian	Romanian	probability
ˈu_n	ˈo	1.0
ˈi_n	ˈẽ	1.0
ˈau̯	ˈo_w	1.0
ʧʲ	-	1.0
ʧ_e	ʃ	1.0
ʦʲ	u_ʃ	1.0
ʦ_#>	s_u_#>	1.0
ʦ	t	1.0
ʒ	ʒ	1.0
ɨ	-	1.0
ə_#>	#>	1.0
ŋ	-	1.0
z_b	v	1.0
z	d	1.0
w_#>	#>	1.0
v	v	1.0
t_ˈi	β	1.0
s_#>	s_u_#>	1.0
r_ə	ɐ	1.0
r_n	ɾ_n	1.0
r_e	ɾ	1.0
o	u	1.0
nʲ	ʃ	1.0
n_ˈa	n_ɐ	1.0
n_ə	j_ɐ	1.0
n_t	t	1.0
n_e	j̃	1.0
m_e	m_ɨ	1.0
kʲ	ʎ_u	1.0
j_ˈe	ˈɛ	1.0
j_ˈa	ˈɛ	1.0
j_n	w̃	1.0
j_e	ɲ_ɐ	1.0
j_#>	ʃ_#>	1.0
f_r	b_ˈɛ	1.0
f_l	ʃ	1.0
f	f	1.0
e_t	ð	1.0
e_r	ˈe	1.0
e_#>	#>	1.0
d_ˈe	ˈe	1.0
b_u	ũ	1.0
a	ɐ	1.0
<#_ˈo	<#_ˈo	1.0
<#_t	<#_t	1.0
<#_s	<#	1.0
<#_r	<#_ʁ	1.0
<#_p_l	<#_ʃ	1.0
<#_n	<#_n	1.0
<#_m	<#_m	1.0
<#_j	<#	1.0
<#_a	<#_ɐ	1.0
<#	<#_ɔ	1.0
d	d	0.8
p	p	0.794
ʧ	s	0.769
l	l	0.769
u	u	0.765
ˈa	ˈa	0.761
ə	ɐ	0.755
ˈə	-	0.75
#>	u_#>	0.705
r	ɾ	0.698
ˈɨ	ˈɐ̃	0.667
ɡ	ɡ	0.667
r_#>	u_#>	0.667
k	k	0.66
m	m	0.625
ʤ	ʒ	0.6
ʃ	s	0.571
p_t	j_t	0.571
ˈi	ˈi	0.545
ˈo	ˈo	0.542
b	b	0.538
w	-	0.5
i	ɨ	0.5
i	-	0.5
e̯ˈa	ˈɛ	0.5
e̯ˈa	ˈe	0.5
ˈe	ˈe	0.48
s	s	0.467
o̯ˈa	ˈɔ	0.444
p_t	t	0.429
t	ð	0.412
t	t	0.412
ʤ	-	0.4
ˈu	ˈu	0.382
e	ɨ	0.38
m	-	0.375
n	ɲ	0.346
ɡ	-	0.333
r_#>	#>	0.333
b	v	0.308
j	ˈɐ	0.3
j	ʎ	0.3
ʃ	-	0.286
o̯ˈa	ˈo	0.278
ˈə	ˈɨ	0.25
ˈo	ˈɔ	0.25
w	v_u	0.25
w	u	0.25
ˈu	ˈo	0.235
u	-	0.235
s	ʃ	0.233
s	i_ʃ	0.233
ʧ	z	0.231
n	-	0.231
ˈɨ	-	0.2
ˈe	ˈɐ_j	0.2
j	j	0.2
j	-	0.2
e	ɾ	0.2
d	-	0.2
n	n	0.192
ˈu	ˈõ	0.176
t	-	0.176
o̯ˈa	-	0.167
ˈe	ˈɛ	0.16
e	-	0.16
b	-	0.154
ˈi	ˈɐ	0.152
k	ɣ_u	0.149
k	ɣ	0.149
#>	ɐ_#>	0.148
ʃ	s_ˈa	0.143
e	ɐ	0.14
ˈɨ	ˈɐ	0.133
ˈo	ˈu	0.125
ˈu	-	0.118
p	β	0.118
l	ɫ	0.115
l	-	0.115
ə	ɨ	0.113
r	-	0.113
o̯ˈa	v	0.111
ˈa	ˈɐ	0.109
#>	ʃ_#>	0.098
ˈi	ˈe	0.091
ˈi	-	0.091
ˈu	ˈɔ	0.088
p	-	0.088
ˈa	ɐ	0.087
ˈo	-	0.083
ˈe	j	0.08
ˈe	-	0.08
e	ɫ	0.08
n	w̃	0.077
n	u	0.077
n	j	0.077
ə	-	0.075
r	ˈe	0.075
r	ʁ	0.075
s	-	0.067
ˈi	ˈɐ̃	0.061
ˈi	ˈĩ	0.061
ə	j	0.057
