Limburgish	Limburgish	probability
β	v	1.0
ˈʏː	-	1.0
ˈʊː_ʀ	ˈʊə̯_r	1.0
ˈʊ	ˈɔ	1.0
ˈɪː	ˈə	1.0
ˈɛːi̯	ˈəɪ̯	1.0
ˈɛ_j	ˈəɪ̯	1.0
ˈɔ	ˈɔ	1.0
ˈɒː	ˈɑː	1.0
ˈɑː	ˈa	1.0
ˈɑ	ˈa	1.0
ˈœi̯	ˈœɪ̯	1.0
ˈœ	ˈœ	1.0
ˈyː	ˈʊə̯	1.0
ˈu	ˈʊə̯	1.0
ˈi_#>	ˈɪə̯_#>	1.0
ˈaː_j	ˈœu̯	1.0
ʃ	s_k	1.0
ʀ_ə	r	1.0
ʀ_t	r_t	1.0
ɪ	ə	1.0
ɦ	ɦ	1.0
ɣ̊	χ	1.0
ə_l	ɫ	1.0
ŋ_k	ŋ	1.0
ŋ	ŋ	1.0
z̥	s	1.0
z	s	1.0
x	χ	1.0
w	ˈœu̯	1.0
t	t	1.0
s	s	1.0
p	p	1.0
n	n	1.0
m	m	1.0
l	ɫ	1.0
j_ə	d̥	1.0
i	i	1.0
d_ə	d̥	1.0
d	d	1.0
b	b	1.0
<#_ʀ	<#_r	1.0
#>	d̥_#>	1.0
ʀ	r	0.964
d̥	d̥	0.926
k	k	0.892
ɣ	χ	0.857
v	v̥	0.833
ˈiː	ˈəɪ̯	0.818
v̥	v̥	0.778
ˈuː	ˈœɪ̯	0.75
ˈøː	ˈu	0.667
ˈɛː	ˈɪə̯	0.6
ˈɛ	ˈə	0.6
ˈɔː	ˈʊə̯	0.571
ˈoː	ˈu	0.571
ə	-	0.554
ˈaː	ˈa	0.526
ˈɪ	ˈɛ	0.5
ˈɪ	ˈə	0.5
ˈɔu̯	ˈœɪ̯	0.5
ˈɔu̯	ˈœu̯	0.5
ˈæː	ˈæː	0.5
ˈæː	ˈæ	0.5
ˈæ	ˈa	0.5
ˈæ	-	0.5
ˈi	ˈi	0.5
ˈʊː	ˈɔ	0.444
j	j	0.444
ˈɔː	ˈɔ	0.429
ˈoː	ˈʊə̯	0.429
ˈɛ	-	0.4
ˈeː	ˈi	0.4
ə	ə	0.392
ˈaː	ˈɑː	0.368
ˈeː	ˈɪə̯	0.367
ˈʊː	ˈu	0.333
ˈøː	-	0.333
j	d	0.333
ˈɛː	ˈəɪ̯	0.267
ˈuː	-	0.25
ˈi	ˈə	0.25
ˈi	ˈɑː	0.25
v̥	ɫ_v̥	0.222
j	-	0.222
ˈiː	-	0.182
ɣ	-	0.143
ˈɛː	ˈæ	0.133
ˈʊː	ˈɪø̯	0.111
ˈʊː	ˈɑː	0.111
k	χ	0.108
ˈaː	ˈæː	0.105
ˈeː	ˈə	0.1
v	v	0.1
d̥	-	0.074
ˈeː	ˈɑː	0.067
ˈeː	ˈæ	0.067
v	-	0.067
