Proto-Slavic	Proto-Slavic	probability
̌_l	́_l	1.0
̂_ɡ	́_ɡ	1.0
̂_s	́_sʲ	1.0
ˀ_r	r_ˀ	1.0
ˀ_l	l_ˀ	1.0
ˀ	́ˀ	1.0
ʧ	k	1.0
ʎ	-	1.0
ʃ	-	1.0
ɨ	uː	1.0
x	ʃ	1.0
v	w	1.0
ŭ_̂	au̯	1.0
uː	au̯	1.0
u	au̯	1.0
t_ŭ	t_a	1.0
r	r	1.0
p	p	1.0
õː_̂	a_n	1.0
oː_̂	a	1.0
oː	a	1.0
n	n	1.0
m	m	1.0
l	l	1.0
j_ĭ	́_s	1.0
j	j	1.0
ĭ_̂	i	1.0
i	ei̯	1.0
ẽː_̂	n	1.0
ẽ	i	1.0
eː	e	1.0
b	b	1.0
<#_v	<#_w	1.0
<#_t	<#_t	1.0
<#_s	<#_s	1.0
<#_n	<#_n	1.0
<#_d	<#_d	1.0
z	zʲ	0.9
ɡ	ɡ	0.8
ɛː	ai̯	0.8
k	k	0.8
#>	s_#>	0.742
t	t	0.737
d	d	0.733
a	aː	0.706
o	a	0.7
o_#>	a_#>	0.625
̌_#>	#>	0.615
̂	́	0.609
õː	a	0.6
e	e	0.6
̌	́	0.529
ʦ	k	0.5
ʦ	-	0.5
ʒ	ɡ	0.5
ʒ	ŋ_ɡ	0.5
s	s	0.5
ĭ	i	0.483
̌	-	0.471
õː	ŋ	0.4
̂	-	0.391
ŭ	a_s	0.391
̌_#>	́ˀ_#>	0.385
o_#>	#>	0.375
s	sʲ	0.286
t	-	0.263
#>	ˀ_#>	0.258
e	-	0.25
ĭ	i_́	0.241
ŭ	u	0.239
s	ʃ	0.214
ĭ	-	0.207
ɡ	zʲ	0.2
ɛː	eː	0.2
k	-	0.2
ŭ	a	0.174
o	a_́	0.15
o	-	0.15
e	e_́	0.15
a	oː	0.147
a	-	0.147
d	ˀ_t	0.133
d	-	0.133
ŭ	-	0.109
z	z	0.1
ŭ	s	0.087
ĭ	s	0.069
