East Low German	Afrikaans	probability
ˈʊ	ˈɔ	1.0
ˈɪ_n	ˈə_n	1.0
ˈɛː	ˈɪə̯	1.0
ˈɛ_n	ˈɛ_n	1.0
ˈɛ_l	ˈæ_ɫ	1.0
ˈɔʏ̯	ˈu	1.0
ˈɔ_l	ˈœu̯	1.0
ˈɔ	ˈɔ	1.0
ˈɒː	ˈɑː	1.0
ˈœː	ˈɪø̯	1.0
ˈyː	ˈyː	1.0
ˈuː_æ	ˈʊə̯_r	1.0
ˈoː	ˈɑː	1.0
ˈiː_#>	ˈəɪ̯_#>	1.0
ˈae̯_ŋ_#>	ˈi_χ_#>	1.0
ˈae̯_#>	ˈi_#>	1.0
ˈa_x	ˈa_χ	1.0
ˈa	ˈa	1.0
ʃ_#>	s_#>	1.0
ɾ_æ	d_ə_r	1.0
ɾ	-	1.0
ɪ	ə	1.0
ɡ_n	χ	1.0
ɡ_l_#>	ɫ_#>	1.0
ŋ_#>	#>	1.0
ŋ	ŋ	1.0
ç_#>	χ_#>	1.0
ç	ŋ	1.0
æ_#>	r_#>	1.0
x_#>	χ_#>	1.0
v	w	1.0
t_æ	t_ə_r	1.0
t_n	t	1.0
s_#>	s_#>	1.0
s	s	1.0
r_ˈɔʏ̯	r_ˈʊə̯	1.0
r_ˈuː	r_ˈœu̯	1.0
r	r	1.0
p_n	p	1.0
p_#>	p_#>	1.0
n_#>	n_#>	1.0
l_#>	ɫ_#>	1.0
l	ɫ	1.0
k_n_#>	k_#>	1.0
k_#>	k_#>	1.0
j	j	1.0
d_#>	d̥_#>	1.0
d	-	1.0
b	-	1.0
<#_ˈʊ	<#_ˈɔ	1.0
<#_ˈɛ	<#_ˈæ	1.0
<#_ˈɒː	<#_ˈɑː	1.0
<#_ˈuː	<#_ˈœɪ̯	1.0
<#_ˈa	<#_ˈa	1.0
<#_ɡ	<#_χ	1.0
<#_z	<#_s	1.0
<#_v	<#_v	1.0
<#_tʰ	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_m	<#_m	1.0
<#_l	<#_ɫ	1.0
<#_kʰ	<#_k	1.0
<#_j	<#_χ	1.0
<#_h	<#_ɦ	1.0
<#_f	<#_f	1.0
<#_d	<#_d	1.0
<#_b	<#_b	1.0
#>	d̥_#>	1.0
ˈuː	ˈœɪ̯	0.778
ˈʏ	ˈœ	0.75
ˈɪ	ˈə	0.75
ˈiː	ˈəɪ̯	0.75
æ	d_ə_r	0.714
n	n	0.704
m_#>	m_#>	0.65
<#_ʃ	<#_s	0.65
ˈɛ	ˈɪə̯	0.6
æ_n	ə_ŋ	0.6
t_#>	t_#>	0.6
ˈaʊ̯	ˈʊə̯	0.5
ˈaʊ̯	ˈu	0.5
w	w	0.5
w	v	0.5
t	t	0.5
t	d̥	0.5
f_#>	v̥_#>	0.5
f_#>	f_#>	0.5
ˈae̯	ˈɪə̯	0.474
ˈaː	ˈa_r	0.429
ˈae̯	ˈi	0.421
ˈɛ	ˈɛː	0.4
æ_n	r	0.4
t_#>	#>	0.4
<#_ʃ	<#_s_k	0.35
ˈaː	ˈæː_r	0.286
ˈaː	ˈa	0.286
æ	r	0.286
ˈʏ	-	0.25
ˈiː	ˈi	0.25
m_#>	#>	0.25
ˈuː	ˈʊə̯_r	0.222
n	-	0.222
ˈɪ	ˈəɪ̯	0.15
ˈae̯	ˈəɪ̯	0.105
ˈɪ	ˈɪ	0.1
m_#>	f_#>	0.1
n	ə	0.074
