Proto-Slavic	Upper Sorbian	probability
ʦ	ʦ	1.0
ʤ	ʃ	1.0
ʎ	l	1.0
ʃ	ʃ	1.0
ɲ	ɲ	1.0
ɨ̌	ˈɪ	1.0
ɨ̂ː	ˈɪ	1.0
ɨ	j_ɛ	1.0
ɡ_ŭ	x	1.0
ɡ	ɦ	1.0
ɛ̂ː	ˈe	1.0
ɛˀ	ˈe	1.0
ɛ	l	1.0
z_ŭ	z̥	1.0
z	z	1.0
v_ŭ	w	1.0
ǔː	ˈu	1.0
ǔ	ˈu	1.0
ŭ̂	-	1.0
ûː	ˈu	1.0
uː	ˈu	1.0
t_i	ʨ	1.0
t	t	1.0
s_ŭ̌	s	1.0
s	s	1.0
rʲ	ʀʲ	1.0
r_v	w	1.0
r_ĭ	ʀʲ	1.0
ǒː	ʀ_ˈa	1.0
õ̌ː	ˈu	1.0
õ̂ː	ˈu	1.0
õːˀ	ˈu	1.0
õː	ˈu	1.0
ôː_l	w_ˈo	1.0
ôː	ˈo	1.0
n_ĭ	ɲ	1.0
l_aˀ	w_ˈa	1.0
j	j	1.0
ĭ̌ː	ˈɔ	1.0
ĭ̂	-	1.0
ĭˀ	ˈɔ	1.0
ĭ	-	1.0
îː	ˈi	1.0
î	ˈɛ	1.0
iː	ˈi	1.0
ẽ̌	ɔ	1.0
ẽ̂ː	ˈa	1.0
êː	-	1.0
ê_d	d̥	1.0
eˀ	ʀʲ	1.0
d_ŭ	d̥	1.0
b_ŭ	b̥	1.0
âː	ˈa	1.0
aː	ˈa	1.0
a	a	1.0
n	n	0.893
ǎ	a	0.886
ʒ	ʒ	0.749
aˀ	ˈa	0.741
ô	ˈɔ	0.734
d	d	0.732
ʧ	ʧ	0.73
ĭ̌	ˈɔ	0.719
k	k	0.713
x	x	0.71
ǒ	ˈɔ	0.704
b	b	0.671
v	ɥ	0.652
ŭ	ɪ	0.648
m	m	0.644
ɛːˀ	-	0.615
ẽ	ˈɛ	0.608
ɛ̌ː	ˈe	0.6
p	p	0.587
ɛː	ɛ	0.585
i	ˈi	0.582
ɨˀ	ˈɪ	0.578
r	ʀ	0.576
ê	e	0.534
ǐ	ˈi	0.519
o	ɔ	0.511
l	w	0.507
o	ˈɔ	0.489
ǐ	-	0.481
ê	-	0.466
l	l	0.446
ɨˀ	-	0.422
i	-	0.418
ɛː	ˈe	0.415
p	pʲ	0.413
e	ɔ	0.403
ɛ̌ː	ɛ	0.4
ẽ	ˈa	0.392
ɛːˀ	ˈe	0.385
m	mʲ	0.356
v	w	0.348
b	bʲ	0.329
x	xʲ	0.29
ĭ̌	-	0.281
ʧ	ʃ	0.27
d	ʥ	0.268
ô	ˈo	0.266
aˀ	a	0.259
ʒ	ʒ̊	0.251
r	ʀʲ	0.249
e	ˈɛ	0.238
ǒ	ɔ	0.229
ŭ	i	0.194
k	kʲ	0.183
ŭ	-	0.158
e	-	0.127
e	ɛ	0.122
ǎ	ˈa	0.114
e	ˈɔ	0.11
r	-	0.109
n	ɲ	0.107
k	-	0.105
ǒ	o	0.067
r	ʃ	0.066
