Portuguese	Sassarese	probability
ˈɛ_ʁ	ˈɛ_rː	1.0
ˈɛ_l	ˈɛ_dː	1.0
ˈɔ_ɾ	ˈɔ_ɬ	1.0
ˈũ	-	1.0
ˈo_ɾ	ˈɔ	1.0
ˈe_ɾ_#>	ˈe_#>	1.0
ˈe_ɾ	ˈi	1.0
ʃ_p	pː	1.0
ʃ_k	xː	1.0
ʃ_#>	#>	1.0
ʁ	r	1.0
ɾ_ɐ	r_a	1.0
ɾ_n	rː	1.0
ɫ_s	ʦː	1.0
ɡ	ɡ	1.0
v_ɨ	β_i	1.0
v_u	β_u	1.0
p	p	1.0
j̃_#>	#>	1.0
j̃	-	1.0
j_ɐ	n_a	1.0
j_t	tː	1.0
ĩ	-	1.0
i	i	1.0
f	f	1.0
d	d	1.0
b	b	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʁ	<#_r	1.0
<#_ɐ	<#_ˈa	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#	<#_i	1.0
ˈa	ˈa	0.93
ɐ	a	0.897
ˈi	ˈi	0.88
u	u	0.88
k	k	0.861
t	t	0.815
ʒ	ʤ	0.8
ˈu	ˈu	0.778
<#_i	<#_i	0.778
ˈẽ	ˈɛ_n	0.75
ɾ_u	r_u	0.75
ɾ_#>	#>	0.737
ˈɛ	ˈe	0.733
m	m	0.704
ɨ	i	0.698
ˈɔ	ˈɔ	0.684
ð	dː	0.684
ɾ	r	0.676
z	-	0.667
l	l	0.633
v	v	0.615
ˈɐ_j	ˈɛ	0.6
n	-	0.6
#>	u_#>	0.55
ˈo	ˈɔ	0.528
ˈĩ	ˈi_ŋ	0.5
ˈĩ	ˈi_n	0.5
ɲ	ɲː	0.5
ɲ	n	0.5
ɣ	ɡː	0.5
ɣ	ɡ	0.5
ɐ̃	a_n	0.5
ɐ̃	-	0.5
ˈɐ̃	ˈa	0.467
ʎ	ʎː	0.455
#>	i_#>	0.45
ˈe	ˈe	0.444
ɫ	r_i	0.429
w̃	i	0.429
s	s	0.421
ˈɐ_j	ˈe	0.4
ˈɐ	ˈa	0.4
n	n	0.4
ˈo	ˈo	0.389
ˈõ	ˈɔ_n	0.375
ˈõ	ˈo	0.375
j	j	0.375
j	i	0.375
ʎ	ʧː	0.364
ˈe	ˈɛ	0.333
z	z	0.333
ˈɔ	ˈo	0.316
m	mː	0.296
ɫ	i	0.286
ɫ	-	0.286
w̃	n_u	0.286
w̃	n_i	0.286
w	-	0.286
β	β	0.273
β	p	0.273
β	bː	0.273
ˈɛ	ˈɛ	0.267
ˈɐ	ˈe	0.267
ʃ	ʦ_i	0.267
ɾ_#>	ˈi_#>	0.263
ˈõ	n	0.25
ˈẽ	ˈɛ	0.25
ɾ_u	u	0.25
j	-	0.25
v	b	0.231
<#_i	<#_u	0.222
w	w	0.214
w	r	0.214
ð	d	0.211
s	ʦ	0.211
ɨ	u	0.209
ˈɐ̃	ˈa_n	0.2
ˈɐ̃	n	0.2
ˈɐ	ˈɛ	0.2
ʒ	ɲː	0.2
l	dː	0.2
t	tː	0.185
β	-	0.182
ʎ	-	0.182
ɾ	a_r	0.176
ʃ	ɬ	0.167
v	β	0.154
ɾ	j	0.147
w	u_r	0.143
w	u	0.143
ˈɐ̃	ˈa_ŋ	0.133
ˈɐ	-	0.133
s	ʦː	0.132
s	sː	0.132
ˈi	-	0.12
ˈu	ˈɔ	0.111
ˈu	-	0.111
ˈe	ˈi	0.111
ˈe	i_d	0.111
ð	tː	0.105
s	-	0.105
ʃ	p_j	0.1
ʃ	j	0.1
ʃ	-	0.1
l	r	0.1
ˈo	ˈu	0.083
k	kː	0.083
ˈa	-	0.07
ʃ	ʧ	0.067
ʃ	ʃː	0.067
ʃ	i	0.067
ʃ	f_j	0.067
l	-	0.067
u	r_u	0.06
u	i	0.06
ɐ	-	0.059
k	xː	0.056
