Romagnol	Romagnol	probability
θ	s	1.0
ˈɛ̃	ˈɐ̃	1.0
ˈɛə̯_s	ˈɛ_ʃ	1.0
ˈɛ_n	ˈẽ	1.0
ˈu_ɡ	ɣ	1.0
ˈu	ˈu	1.0
ˈõũ̯	ˈõ	1.0
ˈou̯_n	ˈõ	1.0
ˈẽ_n	ˈẽ	1.0
ˈeː_t	ʃ	1.0
ˈeː_r	ˈɛ_ɾ	1.0
ˈeə̯_#>	ɾ_#>	1.0
ˈeə̯	ˈa	1.0
ˈe	ˈe	1.0
ʧ	ʎ	1.0
ɲ	ɲ	1.0
ŋ_k	k_u	1.0
ŋ	-	1.0
z_ɐ	ʃ	1.0
z_#>	ʃ_#>	1.0
z	-	1.0
u_n	õ	1.0
u_j	ˈɔ	1.0
r_ɐ	ɾ_ɐ	1.0
r_t	ɾ_t	1.0
p	p	1.0
o	-	1.0
k_v	w	1.0
k	k	1.0
j̃	-	1.0
i	-	1.0
f_j	ʃ	1.0
f	f	1.0
e	ɐ	1.0
d_ɐ	ð_ɐ	1.0
b_ɐ	v_ɐ	1.0
a	-	1.0
<#_ʧ	<#_ʃ	1.0
<#_ɡ	<#_ɡ	1.0
<#_t	<#_t	1.0
<#_r	<#_ʁ	1.0
<#_p_j	<#_ʃ	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_d	<#_d	1.0
m	m	0.933
ˈa	ˈa	0.846
b	b	0.833
r	ɾ	0.791
ɡ	ɣ	0.786
v	v	0.75
t	t	0.744
ˈeː	ˈe	0.7
ˈʌ̃	ˈɐ̃	0.68
l_#>	#>	0.667
n	-	0.654
ɐ	ɐ	0.628
s	s	0.625
r_#>	ɾ_u_#>	0.625
ˈɛə̯	ˈɛ	0.615
ð	ʒ	0.615
#>	u_#>	0.612
u	u	0.545
ˈo	ˈo	0.524
ˈɔ	ˈo	0.5
ˈẽ	ˈĩ	0.5
ˈẽ	ˈi	0.5
ɐ_r	ɾ_ɨ	0.5
ɐ_r	ɾ	0.5
ɐ_n	ɐ̃	0.5
ɐ_n	n_u	0.5
n_ɐ	ɐ	0.5
n_ɐ	j_ɐ	0.5
j	ʎ	0.5
j	-	0.5
<#_ˈeə̯	<#_ˈa	0.5
<#_ˈeə̯	<#	0.5
ˈi	ˈi	0.48
ˈou̯	ˈo	0.471
d	-	0.462
u	-	0.455
l	l	0.455
ˈɔə̯	ˈɔ	0.389
r_#>	#>	0.375
ˈou̯	ˈɔ	0.353
ˈo	ˈu	0.333
l_#>	u_#>	0.333
ˈɛ	ˈe	0.321
d	ð	0.308
l	-	0.303
ˈeː	ˈɛ	0.3
ˈi	ˈe	0.28
ˈɔə̯	ˈo	0.278
ˈɛ	ˈi	0.25
ˈɔ	ˈɔ	0.25
ˈɔ	ˈo_j	0.25
l	ɫ	0.242
ˈʌ̃	ˈɐ	0.24
ˈɛə̯	ˈɐ_j	0.231
ð	-	0.231
d	d	0.231
ɡ	ɡ	0.214
n	n	0.192
ˈou̯	ˈu	0.176
s	i_ʃ	0.175
ɐ	ɨ	0.174
ˈɔə̯	ˈo_w	0.167
ˈɔə̯	-	0.167
v	β	0.167
b	v	0.167
ˈi	-	0.16
ˈɛə̯	-	0.154
ˈa	ˈɐ_j	0.154
ð	j	0.154
n	ɲ	0.154
#>	ɾ_#>	0.153
s	ʃ	0.15
ˈo	-	0.143
t	ð	0.116
ˈɛ	ˈɛ	0.107
ˈɛ	ˈɐ_j	0.107
t	ð_u	0.093
v	w	0.083
#>	ʃ_#>	0.082
#>	ɐ_#>	0.082
ɐ	-	0.081
ˈʌ̃	-	0.08
ˈi	ˈɐ_j	0.08
ˈɛ	ˈɨ	0.071
ˈɛ	ˈɐ	0.071
ˈɛ	ˈĩ	0.071
#>	w̃_#>	0.071
r	ʁ	0.07
m	-	0.067
