East Low German	Yiddish	probability
ˈʊ_n	ˈʊ_n	1.0
ˈʊ	ˈʊ	1.0
ˈɪ_n	ˈɪ_n	1.0
ˈœ	ˈɛ	1.0
ˈyː	ˈaɪ̯_ə	1.0
ˈuː_æ	ˈɔ_ʀ	1.0
ˈoː	ˈɔ	1.0
ˈiː_æ	ˈɪ_ʀ	1.0
ˈiː_#>	ˈɪ_ʀ_#>	1.0
ˈiː	ˈaɪ̯	1.0
ˈae̯_t	ˈɪ_s	1.0
ˈae̯_n	ˈɛ_n	1.0
ˈae̯_#>	ˈɛɪ̯_#>	1.0
ˈa_ŋ	ˈa_ŋ	1.0
ˈa_n	ˈa_n	1.0
ʃ_#>	ʃ_#>	1.0
ɪ_ç	ɪ_k	1.0
ɡ	ɡ	1.0
ç_#>	ɡ_#>	1.0
æ_#>	ʀ_#>	1.0
x_t	χ_t	1.0
x_#>	ɡ_#>	1.0
x	χ	1.0
w	v	1.0
v	v	1.0
t_n	s_n	1.0
s_t	s_t	1.0
s_#>	z_#>	1.0
s	k_s	1.0
r_ˈʏ	ʀ_ˈaɪ̯	1.0
r_ˈaʊ̯	ʀ_ˈɔɪ̯	1.0
r	ʀ	1.0
p_#>	f_#>	1.0
n_#>	n_#>	1.0
l_ˈae̯	l_ˈɪ	1.0
l_#>	l_#>	1.0
l	l	1.0
k_n	k_ə	1.0
k	k	1.0
b	-	1.0
<#_ˈɪ	<#_ˈɪ	1.0
<#_ˈɛ	<#_ˈɛ	1.0
<#_ˈae̯	<#_ˈɛɪ̯	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʃ	<#_ʃ	1.0
<#_ɡ	<#_ɡ	1.0
<#_z	<#_z	1.0
<#_v	<#_v	1.0
<#_tʰ	<#_ʦ	1.0
<#_r	<#_ʀ	1.0
<#_n	<#_n	1.0
<#_m	<#_m	1.0
<#_l	<#_l	1.0
<#_kʰ	<#_k	1.0
<#_h	<#_h	1.0
<#_f	<#_f	1.0
<#_b	<#_b	1.0
<#	<#_ˈɛ	1.0
#>	n_#>	1.0
ˈɪ	ˈɪ	0.875
ˈuː	ˈɔɪ̯	0.857
ˈa	ˈa	0.824
m_#>	m_#>	0.75
n	n	0.714
æ	ə_ʀ	0.684
ˈɔʏ̯	ˈɪ	0.667
ˈɒː	ˈɔ	0.667
ˈaː	ˈa_ʀ	0.667
t	t	0.667
k_#>	χ_#>	0.667
<#_j	<#_ɡ	0.667
ˈɛ	ˈɛ	0.636
ˈʏ	ˈɪ	0.6
ɾ	t_ə	0.6
p	f	0.6
ˈae̯	ˈɛɪ̯	0.583
f_#>	b_#>	0.571
d_#>	d_#>	0.571
<#_d	<#_t	0.56
t_#>	t_#>	0.548
ˈɔ	ˈɔ	0.545
ˈœː	ˈʊ	0.5
ˈœː	ˈɪ	0.5
ˈaʊ̯	ˈʊ	0.5
ŋ	ŋ_ɡ	0.455
<#_d	<#_d	0.44
f_#>	f_#>	0.429
d_#>	t_#>	0.429
ˈʏ	ˈɛ	0.4
ɾ	d_ə	0.4
p	p	0.4
m	m_ə	0.4
m	b_n	0.4
ˈaʊ̯	ˈɔɪ̯	0.389
ˈɛː	ˈɛ	0.375
ˈɛː	ˈɔ	0.375
ŋ	ɡ_n	0.364
ˈɔʏ̯	ˈʊ	0.333
ˈɒː	ˈa	0.333
ˈaː	ˈɔ	0.333
ç	χ_t	0.333
ç	χ	0.333
ç	k	0.333
t	ʦ	0.333
<#_j	<#_j	0.333
t_#>	s_#>	0.323
n	n_ə	0.286
ˈɔ	ˈʊ	0.273
ˈɛː	-	0.25
ˈae̯	ˈaɪ̯	0.25
m_#>	ɛ_m_#>	0.25
æ	ʀ	0.211
m	f	0.2
ˈɛ	ˈɪ	0.182
ˈɛ	ˈɔ	0.182
ˈɔ	ˈa	0.182
ŋ	ŋ	0.182
ˈa	ˈɔ	0.176
ˈae̯	ˈɪ	0.167
k_#>	ɡ_#>	0.167
k_#>	k_#>	0.167
ˈuː	ˈʊ	0.143
t_#>	ʦ_#>	0.129
ˈɪ	ˈaɪ̯	0.125
ˈaʊ̯	ˈa	0.111
æ	ʀ_ə	0.105
