Portuguese	Occitan	probability
<#_b	<#_b	1.0
<#_d	<#_d	1.0
<#_f	<#_f	1.0
<#_i	<#_e	1.0
<#_k	<#_k	1.0
<#_l	<#_l	1.0
<#_m	<#_m	1.0
<#_n	<#_n	1.0
<#_p	<#_p	1.0
<#_s	<#_s	1.0
<#_t	<#_t	1.0
<#_v	<#_v	1.0
<#_ɐ	<#_a	1.0
<#_ɔ	<#_u	1.0
<#_ɡ	<#_ɡ	1.0
<#_ʁ	<#_r	1.0
<#_ʒ	<#_ʤ	1.0
<#_ˈa	<#_ˈa	1.0
<#_ˈɔ	<#_ˈɔ	1.0
i	i	1.0
j_#>	j_#>	1.0
j_t	ʧ	1.0
k	k	1.0
k_u	k_#>	1.0
l	-	1.0
l_u	l_#>	1.0
l_ɐ	l_ɔ	1.0
m_ɨ	m_#>	1.0
p	s	1.0
t_ɾ	t_ɾ	1.0
u_#>	#>	1.0
v_ɨ	w_#>	1.0
z	z	1.0
ð	ð	1.0
ð_u	t_#>	1.0
ð_ɨ	t_#>	1.0
ɐ_#>	ɔ_#>	1.0
ɐ̃	-	1.0
ɐ̃_j̃	e_#>	1.0
ɡ	ŋ_k	1.0
ɣ	ɣ	1.0
ɣ_u	k_#>	1.0
ɨ_#>	e_#>	1.0
ɫ	w	1.0
ɫ_#>	l_#>	1.0
ɫ_s	l_s	1.0
ɾ_#>	e_#>	1.0
ɾ_k	r_k	1.0
ʃ	j_s	1.0
ʃ_k	s_k	1.0
ʃ_p	s_p	1.0
ʃ_t	s_t	1.0
ʎ_u	l_#>	1.0
ʒ	ʤ	1.0
ˈa	ˈa	1.0
ˈa_ɾ	ˈa_#>	1.0
ˈe_k	ˈe_k	1.0
ˈe_l	ˈe_l	1.0
ˈe_ɾ	ˈi_#>	1.0
ˈẽ	ˈɛ_n	1.0
ˈẽ_t	ˈɛ_n	1.0
ˈi_l	ˈi_l	1.0
ˈi_u	ˈi_w	1.0
ˈi_ɣ	ˈi_k	1.0
ˈi_ɲ	ˈi	1.0
ˈĩ	ˈi	1.0
ˈo_j	ˈa_w	1.0
ˈo_w	ˈa_w	1.0
ˈo_ɾ	l_ˈu	1.0
ˈõ	ˈu_n	1.0
ˈõ_#>	ˈu_#>	1.0
ˈɐ_n	ˈa_n	1.0
ˈɐ_ɲ	ˈa_ɲ	1.0
ˈɐ̃_#>	ˈa_n_ɔ_#>	1.0
ˈɐ̃_t	ˈa_n	1.0
ˈɛ	ˈɛ	1.0
ˈɛ_ʁ	ˈɛ_r	1.0
ˈɨ_#>	#>	1.0
v	β	0.471
ɐ	-	0.091
ʃ_#>	ʦ_#>	0.261
ˈi	-	0.091
ˈɔ	u_z_ˈa_w_t_ɾ_e	0.091
ˈɔ	ˈa	0.091
s	-	0.222
s	r_s	0.222
u	i_#>	0.2
w	-	0.182
w	ɡ	0.182
ɨ	e	0.542
ʃ_#>	s_#>	0.652
ʎ	ˈɛ_l	0.2
ˈɐ_j	j_ˈɛ	0.462
<#_ˈo	<#_ˈa	0.333
u	-	0.133
v	w	0.353
w	l	0.273
ɐ	a	0.773
ˈe	ˈe_j	0.13
ˈo	ˈɔ	0.323
ˈu	ˈi	0.083
ˈɐ̃	-	0.333
ˈɐ̃_w̃	ˈu_#>	0.3
β	-	0.143
β	w	0.143
m	-	0.154
t	n_t	0.154
t_ɨ	n_#>	0.4
w	w	0.364
ɾ	-	0.234
ˈɔ	ˈu	0.364
β	β	0.714
<#_ʃ	<#_f	0.25
<#_ʃ	<#_k	0.25
<#_ʃ	<#_p	0.5
j	e	0.25
j	-	0.25
j	j	0.5
n	n	0.5
n	-	0.5
s_u	s	0.5
s_u	ʦ	0.5
ɲ	n	0.455
ɲ	ɲ	0.545
ˈo	ɥ_ˈɔ	0.065
ˈu	ˈu	0.25
ˈɐ	ˈe	0.5
ˈɐ	ˈa	0.5
ˈɔ	ˈɔ	0.455
m	m	0.846
s	s	0.556
t_ɨ	t_#>	0.6
v	v	0.176
ɐ	ˈa	0.136
ɾ	r	0.266
<#_ˈo	<#_ɥ	0.667
u	u	0.667
ʃ_#>	#>	0.087
ˈe	j_ˈe	0.087
ˈe	ˈɛ	0.087
ˈe	ɾ	0.217
ˈo	ˈu_n	0.097
ˈo	ɥ_ˈɛ	0.097
ˈu	ˈy	0.667
ˈɐ̃	ˈa	0.667
ˈɐ̃_w̃	ˈa_#>	0.7
t	ʧ	0.308
t	t	0.538
ɨ	-	0.458
ʎ	ʎ	0.8
ˈe	ˈe	0.478
ˈɐ_j	ˈe	0.538
ɾ	ɾ	0.469
ˈi	ˈi	0.909
ˈo	ˈu	0.419
