Portuguese	Portuguese	probability
ˈɨ	ˈe	1.0
ˈũ	ˈu_n	1.0
ˈo_w	ˈa_w	1.0
ˈe_ɾ	e	1.0
ˈa_ɾ_#>	ˈe_#>	1.0
ˈa_ɣ	ˈɛ_ɡ	1.0
ʎ_u	d_l	1.0
ʎ	-	1.0
ʃ_#>	#>	1.0
ʁ	r	1.0
ɾ_ɨ	e_r	1.0
ɾ_ɐ	r_a	1.0
ɫ	l	1.0
ɣ_u	ˈɛ_k	1.0
ɔ	o	1.0
ɐ̃	-	1.0
ɐ_β	a_v	1.0
ɐ_ʃ	e_s	1.0
ɐ_ð	a_d	1.0
ɐ_#>	#>	1.0
w_ɐ	a	1.0
w	-	1.0
v_ɨ	f	1.0
v_ɐ	b_a	1.0
v_u	ˈɛ_f	1.0
t_ɐ	t_a	1.0
t	t	1.0
s_u	ʦ	1.0
p	p	1.0
o	o	1.0
n	n	1.0
m_ɨ_#>	m_#>	1.0
m	m	1.0
l	l	1.0
j̃	-	1.0
j_ʃ	s	1.0
ĩ	i	1.0
i_ʃ	ʃ	1.0
i	i	1.0
f	f	1.0
ẽ	e_n	1.0
b	b	1.0
<#_ʁ	<#_r	1.0
<#_ɡ	<#	1.0
<#_ɐ	<#_a	1.0
<#_v	<#	1.0
<#_t	<#_t	1.0
<#_s	<#_s	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_i	<#	1.0
u_#>	#>	0.918
v	v	0.9
ˈi	ˈi	0.875
d	d	0.846
ɾ	r	0.826
ˈɛ	ˈɛ	0.824
ʒ	ʒ	0.818
ɐ	a	0.807
ˈẽ	ˈɛ_n	0.75
ɡ	ɡ	0.75
ˈu	ˈu	0.714
ɨ	-	0.7
ˈa	ˈa	0.68
w̃_#>	n_#>	0.625
ɣ	ɡ	0.6
u	o	0.6
k	k	0.59
β	-	0.571
ˈɐ_j	ˈɛ	0.571
ˈɐ	ˈa	0.571
ɲ	n	0.538
ð	t	0.533
ˈɐ̃	ˈa	0.529
ˈe	ˈe	0.52
ˈĩ	ˈi_n	0.5
ˈĩ	ŋ	0.5
ɾ_#>	j_#>	0.5
ɾ_#>	#>	0.5
z	-	0.5
j_#>	e_#>	0.5
j_#>	#>	0.5
ʃ	s	0.48
ˈɔ	ˈo	0.471
ɲ	ɲ	0.462
ˈo	w	0.433
β	v	0.429
ˈɐ_j	ˈe	0.429
k	ʨ	0.41
ˈo	ˈɔ	0.4
ɣ	-	0.4
w̃_#>	#>	0.375
ˈɔ	ˈɔ	0.353
ˈõ	ˈɔ_n	0.333
ˈõ	ˈo_n	0.333
ˈõ	ˈo	0.333
ð	d	0.333
z	d	0.333
ˈa	ˈɛ	0.32
ˈu	ˈo	0.286
ˈe	ˈe_j	0.28
ˈẽ	n	0.25
ɡ	ŋ	0.25
j	ˈɛ	0.25
j	j	0.25
ʃ	ʃ	0.24
ˈɐ̃	ˈa_n	0.235
s	ʨ	0.235
s	ʧ	0.235
s	s	0.235
ˈɐ	ˈe	0.214
ˈɐ	j	0.214
ˈe	j	0.2
ɨ	e	0.2
u	ˈɔ	0.2
u	-	0.2
ʒ	-	0.182
ˈɛ	j_ˈɛ	0.176
ˈɔ	w_ˈɛ	0.176
s	-	0.176
ˈo	ˈo	0.167
z	z	0.167
j	ˈe	0.167
j	e	0.167
j	-	0.167
#>	ˈe_#>	0.167
#>	ʃ_#>	0.167
#>	n_#>	0.167
#>	l_#>	0.167
#>	e_#>	0.167
#>	a_#>	0.167
d	-	0.154
ð	-	0.133
ɾ	e	0.13
ˈi	-	0.125
ʃ	w_ʃ	0.12
ˈɐ̃	ˈɛ	0.118
ˈɐ̃	n	0.118
s	ʦ	0.118
ɨ	a	0.1
v	ʒ_ɡ	0.1
ʃ	k_l	0.08
ʃ	f_l	0.08
ɐ	n_a	0.07
ɐ	-	0.07
ɐ	e	0.053
