Limburgish	Limburgish	probability
β	v	1.0
ˈʏː	-	1.0
ˈʏ	ˈɪ	1.0
ˈʊ	ˈʊ	1.0
ˈɪː	ˈɪ	1.0
ˈɛːi̯_#>	ˈaɪ̯_#>	1.0
ˈɛːi̯	-	1.0
ˈɔu̯	ˈɔɪ̯	1.0
ˈɒː	ˈɔ	1.0
ˈɑː	ˈa	1.0
ˈœi̯	ˈaɪ̯	1.0
ˈyː	-	1.0
ˈu	ˈɔɪ̯	1.0
ˈi_#>	ˈɛɪ̯_#>	1.0
ˈeː_p	ˈɪ_f	1.0
ʃ	ʃ	1.0
ɪ	ɪ	1.0
ɦ	h	1.0
ɣ̊	ɡ	1.0
ɣ_ˈeː	ɡ_ˈɛ	1.0
ɡ	ɡ	1.0
ə_ɣ̊	ɪ_k	1.0
ə_v̥	f	1.0
ə_m	ə_m	1.0
ə_l	ɫ	1.0
ə_k	χ	1.0
ŋ	ŋ	1.0
z̥	z	1.0
w	ɫ	1.0
v̥_#>	b_#>	1.0
v_ə	b_n	1.0
p_ə	f_n	1.0
m	m	1.0
l	ɫ	1.0
k_ə	χ_n	1.0
j_ə	t_ə	1.0
i	ˈaɪ̯_ʦ	1.0
b	b	1.0
<#_ʀ	<#_ʀ	1.0
v	f	0.926
ʀ	ʀ	0.915
n	n	0.885
ɣ	ɡ	0.882
ˈɑ	ˈa	0.818
ˈuː	ˈɔɪ̯	0.8
ˈiː	ˈaɪ̯	0.778
z	z	0.762
ˈʊː	ˈʊ	0.722
ˈoː	ˈʊ	0.667
ʀ_ə	ʀ_n	0.667
d̥	t	0.654
k	k	0.645
x	χ_t	0.636
s	ʃ	0.636
ˈɛː	ˈɛɪ̯	0.625
p	f	0.625
ˈɛ	ˈɪ	0.6
ˈi	ˈɪ	0.6
ˈaː	ˈa	0.579
ˈɔː	ˈɔɪ̯	0.571
ˈøː	ˈɪ	0.545
ˈeː	ˈɛ	0.524
ˈɪ	ˈɪ	0.5
ˈɪ	ˈɛ	0.5
ˈɔ	ˈʊ	0.5
ˈɔ	ˈɔ	0.5
ˈœ	ˈɪ	0.5
ˈœ	-	0.5
ˈæː	ˈɛ	0.5
ˈæː	ˈa	0.5
ˈæ	ˈɛ	0.5
ˈæ	ˈa	0.5
d	t	0.5
d	d	0.5
#>	ɡ_#>	0.5
#>	ə_#>	0.5
ˈeː	ˈɪ	0.476
ˈøː	-	0.455
j	-	0.444
ˈɔː	ˈɔ	0.429
t	s	0.421
ˈɛ	ˈɛ	0.4
ˈi	ˈɛ	0.4
p	p	0.375
t	ʦ	0.368
x	χ	0.364
d̥	d	0.346
ə	n	0.345
ˈoː	-	0.333
ʀ_ə	ʀ	0.333
j	ɫ	0.333
ˈʊː	ˈɔ	0.278
ə	ə	0.273
s	s	0.273
ˈɛː	ˈɪ	0.25
z	ʃ	0.238
k	χ	0.226
ˈiː	-	0.222
j	j	0.222
ˈaː	ˈɔ	0.211
t	t	0.211
ˈuː	ˈɔɪ̯_ə	0.2
ˈɑ	ˈɛ	0.182
ə	ə_n	0.164
ə	-	0.145
k	ɡ	0.129
ˈɛː	-	0.125
ɣ	-	0.118
ˈaː	ˈa_ɫ	0.105
ˈaː	-	0.105
s	ʧ	0.091
ʀ	ə_ʀ	0.085
v	b	0.074
