Proto-Slavic	Bulgarian	probability
ʧ	ʧ	1.0
ʦ	ʦ	1.0
ʤ	d̥	1.0
ʎ	-	1.0
ʃ	ʃ	1.0
ɲ_ĭ	n	1.0
ɨː	i	1.0
ɨ	i	1.0
ɡ_ŭ	ɡ̊	1.0
z_ŭ	z̥	1.0
z	z	1.0
x	x	1.0
v_ŭ	f	1.0
uː	u	1.0
u	u	1.0
t_i	j_ɐ	1.0
t_a	t_a	1.0
s_o	s_ɔ	1.0
s	s	1.0
rʲ	r	1.0
o_l	ɫ_ɐ	1.0
m_ĭ	ɛ_m	1.0
m	m	1.0
l_a	ɫ_a	1.0
k_a	k_a	1.0
j	-	1.0
iː	i	1.0
i	i	1.0
ẽː	ɛ	1.0
ẽ	ɛ	1.0
e_̂	ɛ_ˈ	1.0
d_ɛː	dʲ	1.0
d_ŭ	d̥	1.0
d_l	ɫ	1.0
d_a	d_a	1.0
d	d	1.0
aː	-	1.0
t	t	0.953
k	k	0.939
ˀ	ˈ	0.92
p	p	0.911
n	n	0.91
ɡ	ɡ	0.908
b	b	0.887
õː	ɤ	0.863
̌	ˈ	0.85
ʒ	ʒ	0.843
a	a	0.843
̂	ˈ	0.78
v	v	0.738
r	r	0.684
e	ɛ	0.666
ɛː	a	0.653
r_ŭ	r	0.643
o	ɔ	0.496
l	l	0.414
oː	r_a	0.408
ĭ	-	0.375
r_ŭ	ɐ_r	0.357
oː	ɔ	0.355
ɛː	ɛ	0.347
ŭ	-	0.324
ĭ	ɤ	0.28
o	o	0.277
l	ɫ	0.263
v	vʲ	0.262
oː	ɫ_a	0.237
ĭ	ɛ	0.235
ŭ	ɐ	0.218
e	-	0.211
ŭ	ɫ	0.194
l	lʲ	0.181
ŭ	ɤ	0.177
r	-	0.162
̂	-	0.16
ʒ	ʒ̊	0.157
o	r_a	0.157
a	ɐ	0.157
r	r_ɛ	0.154
̌	-	0.15
õː	ɐ	0.137
e	ɛ_ˈ	0.122
l	-	0.114
b	b̥	0.113
ĭ	ɐ	0.11
ɡ	-	0.092
p	pʲ	0.089
ŭ	n	0.086
ˀ	-	0.08
o	r	0.07
k	ʦ	0.061
̂	ɤ_ˈ	0.06
