Northern Low Saxon	Northern Low Saxon	probability
ˈɛː	tʰ_ˈɛːa̯	1.0
ˈɛɪ̯	-	1.0
ˈɔː	ˈɔ	1.0
ˈœː	-	1.0
ˈyː	ˈʊ̯iː	1.0
ˈeɪ̯	-	1.0
ɪ	ŋ	1.0
ɡ_#>	k_#>	1.0
ə	-	1.0
ɐ_n	t͡n̥	1.0
ɐ_d	ɹ	1.0
z̥_#>	s_#>	1.0
z	s	1.0
x_d	ʰt	1.0
x	-	1.0
v	v	1.0
tʰ	tʰ	1.0
pʰ	pʰ	1.0
p	ʰp	1.0
n_s	sː	1.0
n_#>	#>	1.0
k	-	1.0
j	ɡ̊	1.0
h	h	1.0
d_r	d̥_ɹ	1.0
d_n	t_a	1.0
aɪ̯	a	1.0
<#_ʒ	<#	1.0
<#_ɡ	<#_ɡ̊	1.0
<#_v	<#	1.0
<#_r	<#_ɹ	1.0
<#_n	<#_n	1.0
<#_m	<#_m	1.0
<#_l	<#_l	1.0
<#_h	<#_j	1.0
<#_d	<#_d̥	1.0
<#	<#_kʰ	1.0
f	f	0.857
ˈʊ	ˈʊ	0.846
r	ɹ	0.818
b	b̥	0.783
kʰ	kʰ	0.778
ˈɔ	-	0.714
ˈiː	ˈʊ̯iː	0.714
l	l	0.7
s	s	0.667
f_#>	v_ʊ_ɹ_#>	0.667
ˈuː	ˈʉːu̯	0.615
ˈaː	ˈa_ɹ	0.6
t	t	0.6
#>	ʊ_ɹ_#>	0.581
ˈʏ	ˈɪ	0.556
ˈɔʏ̯	ˈøː	0.556
m	m	0.556
ˈœ	ˈɔ	0.5
ˈœ	-	0.5
ç	ʊ	0.455
ˈɪ	ˈɪ	0.435
ˈɛ	-	0.429
ˈaɪ̯	-	0.429
ˈaː	ˈɔ_l	0.4
ʃ	s	0.4
t	ʰt	0.4
ˈa	ˈa	0.391
n	n	0.386
ˈoː	ˈɔ̯aː	0.381
ˈeː	-	0.364
ç	ɡ̊	0.364
ŋ	ŋ_ɡ̊	0.357
ʃ	ʃ	0.35
ɐ	ɹ	0.345
ˈøː	ˈøː	0.333
ˈøː	ˈiː	0.333
ˈøː	-	0.333
s	s_t	0.333
f_#>	#>	0.333
ˈaʊ̯	ˈɛːi̯	0.292
ˈɛ	ˈɛːa̯	0.286
ˈɛ	j	0.286
ˈɔ	ˈœ	0.286
n	a	0.281
ˈeː	ˈeː	0.273
#>	a_#>	0.269
ˈa	ˈɛːa̯	0.261
ˈaʊ̯	ˈɔːu̯	0.25
ʃ	s_k	0.25
ɡ	ɡ̊	0.25
ɡ	k	0.25
ɐ	ɪ_ɹ	0.241
ˈaɪ̯	ˈai̯	0.238
ˈuː	-	0.231
ˈʏ	ˈʊ	0.222
ˈʏ	-	0.222
ˈɔʏ̯	ˈɔːi̯	0.222
ˈɔʏ̯	-	0.222
m	v_a	0.222
kʰ	ʧʰ	0.222
ˈɪ	-	0.217
b	p	0.217
ŋ	ŋ	0.214
ŋ	a	0.214
ˈoː	ˈa	0.19
ˈoː	-	0.19
ɡ	ʰk	0.188
ɡ	ʤ̊	0.188
ˈeː	ˈøː	0.182
ˈeː	ˈiː	0.182
ç	-	0.182
r	-	0.182
d	tʰ	0.179
ˈa	ˈɔ	0.174
ˈaʊ̯	ˈɔ̯aː	0.167
l	t͡l̥	0.167
d	t	0.161
ˈʊ	-	0.154
ˈuː	ˈʊ	0.154
ˈoː	ˈɛːa̯	0.143
ˈiː	ˈɛːa̯_ɹ	0.143
ˈiː	-	0.143
ˈaɪ̯	ˈʊ̯iː	0.143
ŋ	ɡ̊	0.143
f	v	0.143
d	d̥	0.143
d	-	0.143
n	nː	0.14
ˈɪ	ˈɛ	0.13
ˈɪ	ˈiː	0.13
ˈaʊ̯	-	0.125
ɡ	ʧ	0.125
m	mː	0.111
m	a	0.111
d	ʰt	0.107
d	j	0.107
ɐ	ʊ	0.103
ɐ	ɹ_a	0.103
#>	ɹ_#>	0.097
ˈoː	ˈoː	0.095
ˈaɪ̯	ˈʊ	0.095
ˈaɪ̯	ˈɔːu̯	0.095
ˈɪ	ˈaːi̯	0.087
ˈa	ˈɛ	0.087
ˈa	ˈœ	0.087
ˈaʊ̯	ˈɔːi̯	0.083
ˈaʊ̯	ˈoː	0.083
ŋ	ɲ	0.071
ɐ	ɹ_ɪ	0.069
ɐ	ɡ̊_ʊ	0.069
ɐ	a_ɹ	0.069
l	ˈœ_l̥	0.067
l	l̥	0.067
d	w	0.054
n	ʤ̊ː	0.053
n	n_d̥	0.053
n	-	0.053
