Faroese	Faroese	probability
ˈʊ_ɡ̊	ˈaʊ̯	1.0
ˈʊ_nː	n	1.0
ˈɪ_ɡ̊	ˈaʊ̯	1.0
ˈɛːa̯_ɹ_#>	ˈi_#>	1.0
ˈɔːi̯	ˈi	1.0
ˈɔ_l	ˈæ	1.0
ˈuː	-	1.0
ˈoː	-	1.0
ˈaːi̯	ˈoʊ̯	1.0
ʰʧ	ˈʌ_ʧ	1.0
ʰt͡n̥	ɾ_ɚ	1.0
ʰp	p	1.0
ʰk_a	ŋ_k	1.0
ʰk	k	1.0
ʧ	k	1.0
ʤ̊ː_ʊ	n	1.0
ʤ̊ː	-	1.0
ʊ_ɹ_#>	#>	1.0
ʊ_ɹ	ˈu	1.0
ʊ	-	1.0
ʈ	ʔ	1.0
ɹ_a	ɚ	1.0
ɹ_#>	#>	1.0
ɲ	ŋ	1.0
ɪ_ɹ	ɚ	1.0
ɡ̊ː	ʤ	1.0
ɡ̊_ʊ	ɡ	1.0
ɡ̊_ɹ	ɡ_ɹ	1.0
v̥	-	1.0
v_ʊ_ɹ_#>	#>	1.0
v_a	v	1.0
t͡n̥	ɹ_n	1.0
t_a	ʔ	1.0
sː	s	1.0
s_k	ʃ	1.0
s_#>	s_#>	1.0
r	-	1.0
pʰ	pʰ	1.0
p	p	1.0
n̥	n	1.0
nː_#>	θ_#>	1.0
nː	n	1.0
mː	m	1.0
m	m	1.0
l̥	ɫ	1.0
kʰ_v	w	1.0
kʰ	kʰ	1.0
k	k	1.0
j_a	d	1.0
h	h	1.0
f	f	1.0
d̥_ɹ	d_ɹ	1.0
d̥	d	1.0
b̥	b	1.0
a_#>	#>	1.0
<#_ˈɔ	<#_ˈʌ	1.0
<#_ɹ	<#_ɹ	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_kʰ	<#	1.0
<#_j	<#_h	1.0
<#_d̥	<#_d	1.0
<#	<#_w	1.0
#>	θ_#>	1.0
s	s	0.935
n	n	0.897
ɪ	-	0.818
ŋ	ŋ	0.727
ˈʉːu̯	ˈaʊ̯	0.7
l	ɫ	0.696
ʰt	ʔ	0.688
w	-	0.667
v	w	0.667
t͡l̥	ɫ	0.667
ɡ̊	-	0.65
ˈiː	ˈɪ	0.625
ʤ̊	-	0.6
j	-	0.6
ˈɛːi̯	ˈɛ	0.571
ˈai̯	ˈoʊ̯	0.571
ʃ	ʃ	0.556
ˈøː	-	0.545
ˈœ	-	0.538
ˈʊ	ˈʌ	0.529
ɹ	ɹ	0.526
t	t	0.526
ˈɪ	ˈɪ	0.524
ˈʏ	ˈɪ	0.5
ˈʏ	-	0.5
ʧʰ	θ	0.5
ʧʰ	-	0.5
tʰ	θ	0.5
tʰ	tʰ	0.5
t	ʔ	0.474
ˈɛ	ˈɛ	0.462
ˈøː	ˈi	0.455
ʃ	s	0.444
a	d	0.444
ˈɛːi̯	ˈi	0.429
ˈai̯	-	0.429
ɹ	ɚ	0.421
ˈʊ̯iː	ˈaɪ̯	0.4
ʤ̊	ɡ	0.4
ˈa	ˈɑ	0.389
ˈiː	-	0.375
ˈɛːa̯	ˈeɪ̯	0.333
ˈeː	ˈɛ	0.333
w	ð	0.333
t͡l̥	ɫ_d	0.333
a	i	0.333
ˈœ	ˈɛ	0.308
l	l	0.304
ˈʉːu̯	-	0.3
ˈɪ	ˈaɪ̯	0.286
ˈɔ̯aː	ˈi	0.286
ˈɔ̯aː	-	0.286
ˈɔ	ˈɔ	0.286
ˈɔːu̯	ˈʌ	0.273
ˈɔːu̯	ˈʊ	0.273
ˈɔːu̯	ˈu	0.273
ŋ	-	0.273
ˈʊ̯iː	ˈi	0.267
ɡ̊	ɡ	0.25
ˈʊ	-	0.235
ˈɛ	-	0.231
ˈɛːa̯	ˈæ	0.222
ˈɛːa̯	ˈi	0.222
ˈɛːa̯	-	0.222
ˈeː	ˈɪ	0.222
ˈeː	ˈi	0.222
ˈeː	-	0.222
v	f	0.222
a	-	0.222
ˈɔ̯aː	ˈu	0.214
ˈɔ̯aː	ˈoʊ̯	0.214
ˈɔ	ˈɛ	0.214
ˈɔ	-	0.214
ˈʊ̯iː	ˈʌɪ̯	0.2
j	ˈɪ	0.2
j	d	0.2
ˈɪ	-	0.19
ʰt	t	0.188
ˈɔːu̯	-	0.182
ɪ	ɪ	0.182
ˈa	ˈɛə̯	0.167
ˈa	ˈeɪ̯	0.167
ˈa	-	0.167
ˈɛ	ˈɪ	0.154
ˈɛ	ˈoʊ̯	0.154
ˈœ	ˈæ	0.154
ˈɔ	ˈʌɪ̯	0.143
ˈɔ	ˈɝ	0.143
ˈʊ̯iː	-	0.133
ʰt	ɾ	0.125
ˈʊ	ˈʊ	0.118
ˈʊ	ˈaʊ̯	0.118
ˈa	ˈɔ	0.111
v	v	0.111
n	-	0.103
ɡ̊	j	0.1
s	z	0.065
ɹ	ˈɝ	0.053
