Scots	Old West Norse	probability
ˈʌu̯	-	1.0
ˈɛː	ˈe_ɣ	1.0
ˈɔɪ̯	r	1.0
ˈøː	k_ˈoː	1.0
ˈaːɪ̯	ˈi	1.0
ˈaː	ˈe_k	1.0
ˈaɪ̯	-	1.0
ʤ	ɡː	1.0
ʍ	x_w	1.0
ɪ	i_ɡ	1.0
ə_r	r̥	1.0
ŋ_k	kː	1.0
ð	ð	1.0
v	v	1.0
tʰ	tʰ	1.0
r_ˈɪ	r_ˈe	1.0
pʰ	pʰ	1.0
m	m	1.0
e	ɑ_ŋ	1.0
b	b	1.0
s	s	0.949
p	p	0.931
h	h	0.891
f	f	0.879
ɡ	ɡ	0.858
ˈəi̯	ˈiː	0.853
l	l	0.809
r	r	0.778
t	t	0.76
ˈʌ	ˈu	0.718
k	k	0.715
n	n	0.695
θ	θ	0.692
ˈeː	ˈɑ	0.691
kʰ	kʰ	0.672
ŋ	ŋ_ɡ	0.667
ˈe	ˈɛi̯	0.636
ʃ	s_c	0.636
ˈa	ˈɑ	0.619
d	d	0.564
ˈø	ˈoː	0.532
i	ɣ	0.525
x	-	0.506
w	v	0.498
x	ɡ_r̥	0.494
ˈo	ˈo	0.483
i	ɑː	0.475
ç	-	0.465
ə	-	0.46
ˈuː	ˈyː_r̥	0.439
ˈɑː	ˈɑ	0.437
ə	i	0.42
ˈu	ˈu	0.406
ˈɛ	-	0.388
ʃ	s_k	0.364
ˈu	ˈuː	0.36
w	-	0.343
ˈɪ	ˈi	0.341
ˈuː	ˈuː	0.337
ŋ	ŋ	0.333
kʰ	cʰ	0.328
d	ð	0.325
ˈɛ	ˈɑ	0.317
ˈo	ˈy	0.31
ç	tː	0.31
θ	ð	0.308
ˈø	ˈɑː	0.287
ˈʌ	-	0.282
ˈe	ˈɑ	0.256
ˈiː	ˈeː	0.238
ˈu	-	0.234
ç	r̥	0.225
ˈuː	ˈu_lː	0.224
ˈi	ˈøː	0.214
ˈi	-	0.214
ˈa	-	0.213
ˈo	-	0.206
n	nː	0.19
ˈiː	ˈøy̯	0.185
ˈɑː	-	0.184
ˈɛ	ˈe	0.183
t	tː	0.183
ˈø	ˈɔː	0.181
ˈiː	ˈɑː	0.176
ˈeː	r	0.17
ˈa	ˈe	0.168
ˈiː	ˈyː	0.162
w	v_ˈe	0.159
k	c	0.154
ˈəi̯	ˈuː	0.147
ɡ	ɟː	0.142
ˈɪ	ˈu	0.138
r	r̥	0.137
k	-	0.131
ˈɪ	ˈy	0.13
ˈɪ	ˈo	0.129
l	lː	0.129
ˈɑː	ˈɛː	0.127
ˈɑː	ˈɑː	0.127
ˈɑː	ˈɑ_l	0.127
ˈi	ˈɑː	0.118
ˈɛ	ˈɛ	0.112
h	ç	0.109
ˈe	ˈɑu̯	0.108
ˈi	ˈɑu̯	0.107
ˈi	j_ˈuː	0.107
ˈi	ˈɛː	0.106
ˈeː	-	0.1
ˈɪ	ˈoː	0.095
ˈiː	ˈɑu̯	0.095
ˈɪ	j_ˈɔ	0.082
ə	ɡ	0.081
f	v	0.079
d	ð_r̥	0.074
ˈiː	ˈuː_ɣ	0.072
ˈiː	j_ˈoː	0.072
p	pː	0.069
ˈi	j_ˈoː	0.068
ˈi	ˈeː	0.066
r	r̥ː	0.065
l	l̥	0.062
ˈɪ	-	0.052
s	sː	0.051
