Danish	Danish	probability
ˈʌˀ	-	1.0
ˈɶˀ	ˈɔ	1.0
ˈɶ	-	1.0
ˈɛː	-	1.0
ˈɔː	ˈɑː	1.0
ˈɔ	ˈɔ	1.0
ˈɒˀ	-	1.0
ˈɑ_jˀ	ˈɪə̯	1.0
ˈœː	ˈɛ	1.0
ˈø	-	1.0
ˈæː	ˈɑː	1.0
ˈæˀ	ˈa	1.0
ˈæ	-	1.0
ˈyː	ˈi	1.0
ˈy	-	1.0
ˈuː	ˈœɪ̯	1.0
ˈuˀ_l	ɫ	1.0
ˈuˀ	ˈœɪ̯	1.0
ˈoː	-	1.0
ˈi	-	1.0
ˈeː	-	1.0
ˈaː	ˈɑː	1.0
ʨ	d_ˈʊə̯	1.0
ʋ_#>	v̥_#>	1.0
ʋ	v	1.0
ʁ	r	1.0
ɡ̊_d̥	χ	1.0
ɡ̊_#>	#>	1.0
ə_#>	#>	1.0
ɕ	s	1.0
ɐˀ_#>	r_d̥_#>	1.0
ɐ_#>	#>	1.0
ŋˀ	ŋ	1.0
ŋ	ŋ	1.0
s	s	1.0
pʰ	p	1.0
n_ə	n_d̥	1.0
mˀ	m	1.0
m	m	1.0
l	ɫ	1.0
kʰ	k	1.0
j_#>	χ_#>	1.0
i	ə	1.0
h	ɦ	1.0
f	v̥	1.0
d̥_ə	t	1.0
b̥_ə	p	1.0
b̥_#>	p_#>	1.0
<#_ˈɒ	<#_ˈʊə̯	1.0
<#_ʦʰ	<#_t	1.0
<#_ʁ	<#_r	1.0
<#_j	<#_ɦ	1.0
b̥	b	0.88
ʦʰ	d	0.867
ˈa	ˈa	0.818
lˀ	ɫ	0.818
n	n	0.816
ɐ	r	0.792
ˈɔˀ	ˈɑː	0.778
ˈoˀ	ˈu	0.778
ˈu	ˈɔ	0.75
ˈyˀ	ˈi	0.714
ˈøː	ˈʊə̯	0.667
ˈo	ˈʊə̯	0.667
ˈiˀ	ˈəɪ̯	0.667
ʌ	ə_r	0.667
ˈe	ˈə	0.647
s_d̥	s_t	0.625
j	-	0.625
d̥	d	0.625
ˈœ	-	0.6
ɐˀ	r_ə	0.6
<#	<#_v	0.6
ˈiː	-	0.571
ˈɑ	ˈa	0.556
ˈɛˀ	ˈi	0.5
ˈɛˀ	-	0.5
ˈɑˀ	ˈa_r	0.5
ˈɑˀ	-	0.5
ˈœˀ	ˈʊə̯	0.5
ˈeˀ	ˈɪə̯	0.5
nˀ	n_d̥	0.5
nˀ	n	0.5
ɡ̊	χ	0.485
ˈɛ	-	0.467
ˈɑ	-	0.444
ˈiː	ˈəɪ̯	0.429
ə	ə	0.429
w	χ	0.429
ˈeˀ	-	0.417
ð̞ˠ	t	0.406
ˈɛ	ˈa	0.4
ˈœ	ˈœ	0.4
ɐˀ	r	0.4
s_d̥	s	0.375
j	k	0.375
ɡ̊	k	0.364
ˈʌ	-	0.357
ð̞ˠ	d̥	0.344
ˈøː	-	0.333
ˈo	-	0.333
ˈiˀ	ˈə	0.333
ʌ	r	0.333
ˈʌ	ˈɔ	0.286
ˈyˀ	ˈyː	0.286
ə	v̥	0.286
ə	-	0.286
w	-	0.286
ˈu	-	0.25
#>	n_#>	0.25
ˈɔˀ	ˈʊə̯	0.222
ˈoˀ	-	0.222
ˈʌ	ˈʊə̯	0.214
ɐ	ə_r	0.208
d̥	t	0.208
ˈœˀ	ˈu	0.2
ˈœˀ	-	0.2
<#	<#_ˈa	0.2
<#	<#_j	0.2
ˈa	-	0.182
lˀ	d̥	0.182
#>	d̥_#>	0.179
ɡ̊	-	0.152
ˈʌ	n	0.143
w	v_ə	0.143
w	k	0.143
#>	v̥_#>	0.143
#>	r_#>	0.143
#>	k_#>	0.143
ˈɛ	ˈæ	0.133
ʦʰ	t_v	0.133
b̥	p	0.12
ˈe	ˈɛ	0.118
ˈe	ˈa	0.118
ˈe	-	0.118
n	ŋ	0.105
ˈœˀ	ˈoː	0.1
ð̞ˠ	ˈɪə̯_t	0.094
ð̞ˠ	-	0.094
ˈeˀ	w	0.083
d̥	χ_t	0.083
d̥	χ	0.083
n	-	0.079
#>	χ_#>	0.071
#>	t_#>	0.071
ð̞ˠ	j	0.062
