Galician	Galician	probability
β_ʊ_#>	#>	1.0
ˈɔ_ɾ	w_ˈa	1.0
ˈɔ_s	ˈɔ	1.0
ˈu_ɲ	ˈœ̃	1.0
ˈu_n	ˈɔ̃	1.0
ˈo_ŋ	ˈɔ̃	1.0
ˈo_w	ˈoː	1.0
ˈi_ɾ	ˈi	1.0
ˈi_ɲ	ˈẽ	1.0
ˈi_ŋ	ˈẽ	1.0
ˈi_n	ˈɛ̃	1.0
ˈi_l	ˈɛ_j	1.0
ˈe_n	ˈɛ̃	1.0
ˈa_ɾ	ˈe	1.0
ˈa_ð	ˈɛː	1.0
ˈa_n	ˈɑ̃	1.0
ˈa_l	ˈɔː	1.0
ʊ	ʀ	1.0
ʃ_ʊ	ʧ	1.0
ʃ_ɐ	ʃ	1.0
ʃ_e	ɲː	1.0
ɾ_t	ˈa_ʀ	1.0
ɾ_#>	#>	1.0
ɪ	-	1.0
ɣ_ɐ	j	1.0
ɟ_ʊ_#>	#>	1.0
ɟ_ɐ	j	1.0
ɟ	j	1.0
ɔ	ɔ	1.0
ɐ_#>	#>	1.0
ð	-	1.0
w	-	1.0
u	ɔ	1.0
t_ɾ	t	1.0
s_t	ˈɛ_s	1.0
s_k	ʃ	1.0
r	ʀ	1.0
o_n	ɔ̃	1.0
n_ɐ	ˈɛ̃_n	1.0
n	-	1.0
l_ʊ	ˈa	1.0
l_#>	#>	1.0
k_ˈa	ʧ	1.0
k_a	ʧ	1.0
j_#>	ˈɛ_#>	1.0
j	-	1.0
i_ŋ	ẽ	1.0
f	f	1.0
e_s	s	1.0
<#_θ	<#_s	1.0
<#_t	<#_t	1.0
<#_s	<#_s	1.0
<#_r	<#_ʀ	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#	<#_ʤ	1.0
ʊ_#>	#>	0.919
p	p	0.9
m	m	0.808
d	d	0.75
i	-	0.714
ʧ	p_l	0.667
k	k	0.606
b	v	0.606
ʃ	ʤ	0.6
ɾ	ʀ	0.596
ɲ	ɲ	0.583
ɣ	-	0.571
t	t	0.538
β	f	0.5
ˈo_j	ˈyː	0.5
ˈo_j	ˈy	0.5
ˈe_j	ˈiː	0.5
ˈe_j	ɛ	0.5
ɡ	ɡ	0.5
o	ɔ	0.5
o	-	0.5
l	l	0.5
a	-	0.5
θ	-	0.467
t	-	0.462
e	-	0.45
ˈɑ	-	0.444
ŋ	-	0.429
#>	n_#>	0.429
ˈu	-	0.4
ˈi	-	0.4
ɐ	n	0.4
ɐ	j	0.4
e	ɛ	0.4
b	b	0.394
a	a	0.389
ˈa	ˈa	0.379
s	s	0.375
ˈo	ˈɔ	0.367
θ	s	0.333
β	-	0.333
ˈɛ	j	0.333
ˈɑ	ˈɛ̃	0.333
ʧ	k_l	0.333
s	-	0.333
ˈɔ	w	0.318
k	ʧ	0.303
ˈu	ˈøː	0.3
ˈu	ˈu	0.3
ɡ	k	0.3
ɣ	w	0.286
l	j	0.286
i	i	0.286
#>	ˈa_#>	0.286
#>	j_#>	0.286
ˈe	w	0.282
ˈɛ	ˈiː	0.278
ˈa	-	0.276
ˈɔ	ˈuː	0.273
ˈi	ˈɛ	0.25
ˈi	ˈiː	0.25
ɲ	n	0.25
d	-	0.25
ˈe	ˈɛ	0.231
ˈɑ	ˈɑ̃	0.222
ŋ	ˈɔ̃	0.214
ŋ	ˈẽ	0.214
l	-	0.214
θ	ˈɛ	0.2
ˈo	ˈuː	0.2
ˈo	-	0.2
ʃ	ʃ	0.2
ʃ	-	0.2
ɡ	-	0.2
ɐ	-	0.2
m	-	0.192
ˈɔ	-	0.182
ɾ	-	0.175
β	v	0.167
ˈɛ	-	0.167
ɲ	-	0.167
ˈe	ˈi	0.154
ˈe	-	0.154
e	a	0.15
ɣ	ɡ	0.143
ŋ	ˈɛ̃	0.143
ˈa	ˈɔː	0.138
ˈɔ	ˈoː	0.136
ˈo	ˈɔ̃	0.133
s	ʃ	0.125
ˈɛ	ˈɛ	0.111
ˈɛ	j_ˈɛ	0.111
a	ˈɛ̃ː	0.111
ˈa	ˈe	0.103
ˈa	l	0.103
ˈo	ɔ	0.1
ˈi	ˈi	0.1
p	-	0.1
ˈɔ	ˈɔ	0.091
k	-	0.091
ɾ	ˈe	0.088
s	ˈɛ	0.083
s	z	0.083
ˈe	ˈeː	0.077
ˈe	ˈɛ̃	0.051
ˈe	ˈøː	0.051
