Portuguese	Portuguese	probability
ˈɛ_l	u_m	1.0
ˈɐ_j	ˈe	1.0
ˈõ	ˈu	1.0
ˈo_w	ˈau̯	1.0
ˈĩ	ˈi	1.0
ˈẽ	ˈi_n	1.0
ˈa	ˈa	1.0
ʁ	r	1.0
ɾ_ɐ	r_ə	1.0
ɾ_n	r_n	1.0
ɲ_ɐ	j_e	1.0
ɲ	n	1.0
ɔ	-	1.0
ɐ̃_j̃_#>	#>	1.0
ɐ̃	-	1.0
ɐ_#>	#>	1.0
v_u	w	1.0
ũ	b	1.0
u_ʃ	ʦʲ	1.0
s_ˈa	ʃ	1.0
s_u_#>	s_#>	1.0
s_u	ʦ	1.0
p	p	1.0
n_ɐ	n_ˈa	1.0
n_u_#>	n_#>	1.0
n	n	1.0
m_ɨ	m_e	1.0
m	m	1.0
j̃	n_e	1.0
j_t	p_t	1.0
i_ʃ	s	1.0
i	-	1.0
f	f	1.0
<#_ˈo	<#_ˈo	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʃ	<#_p_l	1.0
<#_ʁ	<#_r	1.0
<#_ɐ	<#_a	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_m	<#_m	1.0
k	k	0.933
u_#>	#>	0.923
ð	t	0.889
ɣ	k	0.8
l	l	0.792
ˈi	ˈi	0.783
b	b	0.778
ˈu	ˈu	0.75
ɡ	ɡ	0.75
w	-	0.714
ɐ	ə	0.709
d	d	0.706
u	u	0.667
ʒ	ʤ	0.6
z	ʧ	0.6
ɨ	e	0.576
β	p	0.571
ɫ	e	0.571
t	t	0.56
ʃ_#>	j_#>	0.556
ˈɔ	o̯ˈa	0.5
ˈɐ̃	ˈɨ	0.5
v	v	0.5
ɾ	r	0.479
ˈo	ˈo	0.448
ʃ_#>	#>	0.444
s	s	0.438
β	t_ˈi	0.429
ɫ	l	0.429
#>	e_#>	0.429
ˈe	ˈe	0.4
ʒ	ʒ	0.4
z	-	0.4
ˈɐ	ˈa	0.385
j	-	0.385
ˈɔ	ˈo	0.375
ʃ	s	0.368
ɾ	r_e	0.366
ˈɛ	j_ˈe	0.357
#>	w_#>	0.357
w̃	n	0.333
w̃	j_n	0.333
w̃	-	0.333
ˈɐ	ˈi	0.308
j	n	0.308
ʎ	j	0.3
ʎ	-	0.3
d	z	0.294
v	-	0.292
ˈɛ	ˈe	0.286
w	r	0.286
s	ʧ	0.281
ˈo	ˈu	0.276
ɡ	-	0.25
b	f_r	0.222
s	ʃ	0.219
ˈi	-	0.217
ˈɛ	j_ˈa	0.214
ˈɐ̃	ˈɨ_n	0.214
#>	ə_#>	0.214
l	-	0.208
ʎ	kʲ	0.2
ʎ	k	0.2
ɣ	-	0.2
t	n_t	0.2
ɨ	ə	0.182
ˈo	o̯ˈa	0.172
ˈe	e_r	0.16
ʃ	ʧ_e	0.158
ʃ	f_l	0.158
ʃ	-	0.158
ˈɐ	ˈɨ	0.154
ˈɐ	j	0.154
j	ˈe	0.154
j	ə	0.154
ˈɛ	ˈa	0.143
ˈɐ̃	ˈi	0.143
ˈɐ̃	n	0.143
ˈɔ	-	0.125
ˈu	ˈo	0.125
ˈu	-	0.125
v	b	0.125
ɨ	i	0.121
ɨ	-	0.121
ˈe	ˈi	0.12
ˈe	r	0.12
ˈe	e̯ˈa	0.12
t	ʦ	0.12
t	p_t	0.12
ɾ	e	0.113
ð	-	0.111
u	w	0.111
u	o	0.111
u	n	0.111
ɐ	e	0.109
ʃ	k	0.105
ˈo	ˈu_n	0.103
v	z_b	0.083
ˈe	d_ˈe	0.08
u_#>	r_#>	0.077
ɐ	ˈa	0.073
k	-	0.067
s	-	0.062
ɐ	a	0.055
ɐ	-	0.055
ʃ	nʲ	0.053
