Portuguese	Portuguese	probability
β_ɾ	r	1.0
β	v	1.0
ˈɛ_ʃ	ˈɛ_s	1.0
ˈõ	ˈo_ŋ	1.0
ˈo_j	ˈɔ	1.0
ˈĩ	ˈi_ŋ	1.0
ˈe_w	ˈi_o	1.0
ˈa	ˈa	1.0
ʎ_ɐ	a	1.0
ʃ_#>	#>	1.0
ʁ	r	1.0
ɾ_ɐ	r_a	1.0
ɾ_v	r_b	1.0
ɾ_t	r_t	1.0
ɲ_u	ŋ	1.0
ɫ	l	1.0
ɨ_#>	#>	1.0
ɣ	ɡ	1.0
ɡ	ɡ	1.0
ɔ	-	1.0
ɐ̃	-	1.0
ɐ_ð	a_d	1.0
ɐ_#>	#>	1.0
ð_ɐ	d_a	1.0
z	z	1.0
w̃	ŋ	1.0
ũ	-	1.0
u_#>	#>	1.0
s_ɐ	θ_a	1.0
s_u	s	1.0
p	p	1.0
õ	o_ŋ	1.0
n_ɐ	n_ˈa	1.0
l	l	1.0
j̃	-	1.0
j_ʃ	s	1.0
j_ɐ	n_a	1.0
j_t	t	1.0
j	-	1.0
ĩ	i_ŋ	1.0
i_ʃ	s	1.0
f	f	1.0
b	b	1.0
<#_ˈo	<#_ˈɔ	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʁ	<#_r	1.0
<#_ɡ	<#	1.0
<#_ɐ	<#	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
k	k	0.947
ɾ_#>	r_#>	0.931
v	v	0.917
m	m	0.913
t	t	0.889
d	d	0.857
ɐ	a	0.854
ɾ	r	0.829
u	o	0.805
ʒ	ð	0.778
n	n	0.778
ˈi	ˈi	0.762
ˈo	ˈo	0.731
ˈu	ˈu	0.727
ʎ	ʧ	0.714
ˈɐ	ˈa	0.7
ˈɐ_j	ˈɛ	0.625
ˈe	ˈe	0.615
ˈẽ	ˈe_ŋ	0.6
s	s	0.593
ˈɛ	ˈɛ	0.579
ˈɔ	ˈo	0.571
#>	l_#>	0.571
ˈɐ̃	ˈa	0.562
ʃ	s	0.556
i	i	0.5
i	-	0.5
w	w	0.455
ɲ	n	0.429
#>	e_#>	0.429
ð	-	0.417
s	θ	0.407
ˈẽ	ˈɛ_n	0.4
ˈɐ_j	ˈe	0.375
ɨ	e	0.36
ð	t	0.333
ˈɛ	j_ˈe	0.316
ˈɐ	ˈe	0.3
ˈɔ	ˈɔ	0.286
ʎ	-	0.286
ɲ	ɲ	0.286
ɲ	ŋ	0.286
ˈu	ˈo	0.273
w	o	0.273
w	-	0.273
ð	d	0.25
ɨ	o	0.24
ˈi	-	0.238
ʒ	j	0.222
n	-	0.222
ˈo	ˈɔ	0.192
ˈe	e	0.192
ˈɐ̃	ˈa_ŋ	0.188
ɨ	-	0.16
ˈɔ	-	0.143
d	-	0.143
ˈɐ̃	ˈo	0.125
ˈɐ̃	ŋ	0.125
ˈe	ˈi	0.115
ʃ	ʧ	0.111
ʃ	j	0.111
ʃ	f_j	0.111
ʃ	e	0.111
t	-	0.111
ˈɛ	ˈe	0.105
m	e_m	0.087
ɾ	e_r	0.086
ɾ	-	0.086
v	-	0.083
ɨ	l	0.08
ɨ	i	0.08
ɨ	a	0.08
ˈo	ˈu	0.077
ˈe	ˈe_d	0.077
u	ŋ	0.073
u	-	0.073
ɾ_#>	#>	0.069
ɐ	ˈa	0.062
k	-	0.053
