Bokmål Norwegian	Bokmål Norwegian	probability
ˈɑː	ˈɑː	1.0
ˈœʏ̯	ˈøː	1.0
ˈœ_nː	ˈøː_n	1.0
ˈæ	-	1.0
ʈː	ʈː	1.0
ʈ	ʈ	1.0
ɳ	ɳ	1.0
ɡː	ɡː	1.0
ə_n	ɛ_n	1.0
ŋː	ŋː	1.0
ŋ	ŋ	1.0
ç	ɕ	1.0
tː	tː	1.0
tʰ	tʰ	1.0
t	t	1.0
sː	-	1.0
s_ˈœ	s	1.0
s_ə	s_a	1.0
pː	pː	1.0
pʰ	pʰ	1.0
n	n	1.0
mː	mː	1.0
m	m	1.0
kː	kː	1.0
kʰ	kʰ	1.0
k	k	1.0
i	ɪ_ɡ	1.0
h	h	1.0
f	f	1.0
d	d	1.0
b	b	1.0
<#_d	<#	1.0
#>	d_#>	1.0
ɾ	r	0.958
ˈɑ	ˈa	0.917
ʋ	v	0.909
s	s	0.898
ˈʉː	ˈʉː	0.895
l	l	0.895
ˈøː	ˈøː	0.889
ˈoː	ˈoː	0.889
ˈɪ	ˈɪ	0.882
ʂ	ɧ	0.875
ˈuː	ˈuː	0.833
ɡ	ɡ	0.824
ˈʉ	ˈɵ	0.786
ˈʏ	ˈʏ	0.778
ˈœ	ˈœ	0.778
p	p	0.778
ˈiː	ˈiː	0.737
ˈɛ	ˈɛ	0.72
ˈæː	ˈæː	0.714
ə	a	0.688
ˈɔ	ˈɔ	0.667
ˈæɪ̯	ˈeː	0.667
j	j	0.667
ˈeː	ˈeː	0.6
ˈʊ	ˈɵ	0.5
ˈʊ	-	0.5
nː	n	0.455
ˈeː	ˈɛː	0.4
ˈyː	ˈyː	0.385
ˈyː	j_ˈʉː	0.385
lː	lː	0.385
lː	l	0.385
nː	nː	0.364
ˈɔ	-	0.333
ˈæɪ̯	-	0.333
ˈæː	ˈɛː_d	0.286
ˈyː	ˈʉː	0.231
lː	l_v	0.231
ˈʏ	ˈɵ	0.222
ˈœ	-	0.222
p	pː	0.222
ˈʉ	ˈʊ	0.214
ə	ɛ	0.2
j	ɡ	0.2
nː	n_d	0.182
ɡ	j	0.176
ˈuː	-	0.167
j	-	0.133
ʂ	ʂ	0.125
ˈɛ	ˈɛː	0.12
ˈɪ	-	0.118
ˈøː	ˈœː	0.111
ˈoː	-	0.111
ˈʉː	-	0.105
ˈiː	ˈeː	0.105
ˈiː	-	0.105
s	ɧ	0.102
ə	-	0.1
ʋ	-	0.091
ˈɑ	-	0.083
ˈɛ	ˈæ	0.08
ˈɛ	-	0.08
ˈiː	jː	0.053
l	ɛ_l	0.053
l	-	0.053
