Swiss German	East Low German	probability
χ_t	ç	1.0
χ_s	s	1.0
χ_#>	k_#>	1.0
ˈɒ_r	ˈaː	1.0
ˈyə̯	ˈɔʏ̯	1.0
ˈuː	ˈuː	1.0
ˈuə̯	ˈaʊ̯	1.0
ˈiː	ˈiː	1.0
ˈau̯	ˈaʊ̯	1.0
ʦ_#>	t_#>	1.0
ɡ̊ː	ç	1.0
ɡ̊_ə	ŋ	1.0
ɡ̊_#>	k_#>	1.0
ə_r	æ	1.0
ŋ_ə	ŋ	1.0
ŋ_#>	n_d_#>	1.0
ŋ	ŋ	1.0
tː	ɾ	1.0
t_ə	d_n	1.0
t_r	d_r	1.0
sː_ə	t_n	1.0
sː	t	1.0
r_n	æ_n	1.0
p͡f	p	1.0
nː_ə	n	1.0
n_ˈɒ	n_ˈɒː	1.0
n_d̥	n	1.0
n	n	1.0
m_ə	m	1.0
m	m	1.0
lː	l	1.0
l_ə	l	1.0
l_d̥	l_d	1.0
l	l	1.0
k	k	1.0
j	j	1.0
i_#>	#>	1.0
i	ɪ	1.0
h	h	1.0
fː	p	1.0
f_ə	p_n	1.0
d̥_ə	ɾ	1.0
d̥	d	1.0
b̥_ə	m	1.0
b̥_#>	f_#>	1.0
b̥	b	1.0
<#_ɡ̊	<#	1.0
ˈi	ˈɪ	0.9
f	f	0.9
ʋ	v	0.88
ˈæi̯	ˈae̯	0.846
#>	n_#>	0.846
ˈæ	ˈɛ	0.8
ʃ	ʃ	0.8
ˈɒ	ˈa	0.75
ʦ	tʰ	0.75
ˈy	ˈʏ	0.714
t	t	0.651
s	z	0.625
χ	kʰ	0.609
ˈyː	ˈae̯	0.6
ˈiə̯	ˈiː	0.6
ˈeː	ˈeː	0.6
ˈɒː	ˈɒː	0.583
χ_ə	ç	0.5
χ_ə	k	0.5
ˈu	ˈʊ	0.5
ə	n	0.5
ˈo	ˈɔ	0.462
ˈoː	ˈaʊ̯	0.455
ɡ̊	ɡ	0.444
r	æ	0.44
r	r	0.44
ˈyː	ˈyː	0.4
ˈiə̯	ˈɪ	0.4
ˈeː	ˈae̯	0.4
ə	-	0.367
ˈoː	ˈɒː	0.364
s	s	0.312
ɡ̊	ç	0.296
ˈy	ˈae̯	0.286
t	d	0.279
χ	x	0.261
ˈɒː	ˈaː	0.25
ʦ	t	0.25
ˈo	ˈuː	0.231
ˈæ	ˈɛː	0.2
ʃ	s	0.2
ˈu	ˈʏ	0.188
ˈu	ˈɔ	0.188
ˈoː	ˈuː	0.182
ˈɒː	ˈoː	0.167
ˈæi̯	ˈɪ	0.154
ˈo	ˈʊ	0.154
ˈo	ˈɒː	0.154
#>	ç_#>	0.154
ɡ̊	j	0.148
χ	k	0.13
ˈu	ˈuː	0.125
ʋ	w	0.12
ɡ̊	x	0.111
ˈi	ˈiː	0.1
f	p	0.1
ˈɒ	ˈɛː	0.083
ˈɒ	ˈɔ	0.083
ˈɒ	ˈɒː	0.083
r	-	0.08
t	-	0.07
ə	ɾ	0.067
ə	m	0.067
s	t	0.062
