Northern Low Saxon	German	probability
<#_b	<#_b	1.0
<#_f	<#_f	1.0
<#_h	<#_h	1.0
<#_kʰ	<#_kʰ	1.0
<#_l	<#_l	1.0
<#_m	<#_m	1.0
<#_n	<#_n	1.0
<#_pʰ	<#_p͡f	1.0
<#_r	<#_ʁ	1.0
<#_s	<#_ʃ	1.0
<#_tʰ	<#_ʦ	1.0
<#_v	<#_v	1.0
<#_z	<#_z	1.0
<#_ɡ	<#_ɡ	1.0
<#_ʃ	<#_ʃ	1.0
<#_ʒ	<#_j	1.0
<#_ˈa	<#_ˈa	1.0
<#_ˈɪ	<#_ˈɪ	1.0
b	p͡f	1.0
b_#>	f_#>	1.0
b_m	f_n	1.0
d_n	t_n	1.0
d_ɐ	t_ɐ	1.0
f	f	1.0
f_#>	b̥_#>	1.0
k	k	1.0
l	l	1.0
l_#>	l_#>	1.0
l_ˈaɪ̯	l_ˈiː_ɡ	1.0
l_ˈaʊ̯	l_ˈuː	1.0
m	b_n	1.0
n_ɪ	n_ɪ	1.0
r	ʁ	1.0
s_#>	s_#>	1.0
t	t	1.0
t_#>	t_#>	1.0
v	v	1.0
x	x	1.0
x_#>	ɡ̊_#>	1.0
ç_#>	ç_#>	1.0
ŋ_#>	ŋ_#>	1.0
ɐ_#>	ɐ_#>	1.0
ɐ_n	ɐ_n	1.0
ɡ_n	ɡ_n	1.0
ɪ	ɪ	1.0
ʃ_#>	ʃ_#>	1.0
ˈa_d	ɐ_ʦ_#>	1.0
ˈa_n	ˈa_n	1.0
ˈaɪ̯_#>	ˈaɪ̯_#>	1.0
ˈaɪ̯_ɡ	ˈaɪ̯_ç	1.0
ˈaʊ̯_#>	ˈuː_#>	1.0
ˈaʊ̯_ɐ	ˈɔ_ɐ	1.0
ˈeɪ̯	ˈeː	1.0
ˈeː_d	ˈɛ_s	1.0
ˈiː	ˈaɪ̯	1.0
ˈiː_#>	ˈiː_ɐ	1.0
ˈiː_d	ˈaɪ̯_s	1.0
ˈyː	ˈɔʏ̯	1.0
ˈøː	ˈyː	1.0
ˈʊ_l	ˈɔ_l	1.0
ˈʊ_n	ˈʊ_n	1.0
d_#>	s_#>	0.211
d_#>	t_#>	0.421
s	z_ə	0.571
ˈaʊ̯	ˈuː	0.211
ˈaʊ̯	ˈaʊ̯	0.211
ˈaʊ̯	ˈoː	0.421
ˈoː	ˈɛː	0.1
ˈʊ	ˈʊ	0.571
m_#>	m	0.462
ˈa	ˈaː	0.2
ˈɔʏ̯	ˈuː	0.222
n_#>	n_#>	0.913
ɡ	ɡ	0.143
ɡ	k_#>	0.143
ˈuː	ˈuː	0.133
ˈɔ	ˈʊ	0.333
ˈɔʏ̯	ˈyː	0.333
<#_d	<#_d	0.484
n	n_d	0.154
ŋ	ɡ_n	0.364
ɡ_#>	ç	0.4
ˈɔʏ̯	ˈøː	0.444
ˈɪ	ˈaɪ̯	0.174
ç	ç_t	0.25
ç	ɡ̊	0.375
ç	k	0.375
ɐ	ə	0.5
ɐ	ɐ	0.5
ˈaɪ̯	ˈeː	0.25
ˈaɪ̯	ˈaɪ̯	0.25
ˈaɪ̯	ˈiː	0.5
ˈeː	ˈɛ	0.5
ˈeː	ˈeː	0.5
ˈoː	ˈa	0.15
ˈoː	ˈoː	0.15
ˈɛ	ˈeː	0.25
ˈɛ	ˈaː	0.25
ˈɛ	ˈɛ	0.5
ˈʏ	ˈɛ	0.25
ˈʏ	ˈʏ	0.75
<#_d	<#_tʰ	0.516
d	ʦ	0.286
d	d	0.286
n	n	0.846
ŋ	ŋ	0.636
ɡ_#>	ç_#>	0.6
ˈaː	ˈa_l	0.286
ˈaː	ɐ	0.286
ˈoː	ˈaː	0.6
ˈɪ	ˈɪ	0.826
n_#>	n	0.087
ɡ	k	0.357
ɡ	x	0.357
ˈuː	ˈaʊ̯	0.867
ˈɔ	ˈɔ	0.667
d_#>	d̥_#>	0.368
m_#>	m_#>	0.538
ˈa	ˈa	0.8
ˈaʊ̯	ˈa	0.158
d	s	0.429
s	s_t	0.429
ˈaː	ˈa_ɐ	0.429
ˈʊ	ˈɔ	0.429
