West Flemish	West Flemish	probability
ˈɪ_n	n	1.0
ˈɔ_w	l	1.0
ˈɑ_s	s	1.0
ˈɑ_n	ˈoːu̯_n	1.0
ˈøː	ˈuː	1.0
ˈyː	ˈuː	1.0
ʋ_ˈɑ	v	1.0
ʃ_h	s_k	1.0
ɪ	ɪ	1.0
ɦ̥_#>	#>	1.0
ɦ̥	x	1.0
ə_#>	#>	1.0
ŋ	ŋ	1.0
ç	x	1.0
z̥_#>	s_#>	1.0
w	l	1.0
p	p	1.0
n_ə	n	1.0
n_t	n_t	1.0
n_#>	#>	1.0
m	m	1.0
l_#>	l_#>	1.0
l	l	1.0
k_ə	k_ə	1.0
k_n	k_ə	1.0
j	j	1.0
iə̯	i	1.0
h	x	1.0
d̥	d	1.0
d_ɾ	r	1.0
d_n	d_ə	1.0
d	d	1.0
b	b	1.0
<#_ɾ	<#_r	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_k	<#	1.0
<#	<#_h	1.0
z	s	0.92
s	s	0.905
ɾ	r	0.88
t	t	0.87
ˈi	ˈi	0.8
k	k	0.8
ʋ	v	0.778
ɦ	ɣ	0.762
ə	ə	0.741
v	f	0.733
<#_d	<#_d	0.714
#>	ə_#>	0.667
ˈɛː	ˈeː	0.625
k_#>	k_#>	0.615
ˈoː	ˈoː	0.6
v̥_#>	f_#>	0.6
ˈuə̯	ˈoːu̯	0.533
n	n	0.51
ˈɪ	ˈɪ	0.5
ˈœ	ˈʊ	0.5
ˈœ	-	0.5
ˈoː_ɾ	ˈoːu̯_d	0.5
ˈoː_ɾ	ˈoːu̯	0.5
ˈiə̯	j_ˈoː	0.444
ˈɛ	ˈɪ	0.429
ˈæ	-	0.429
ˈeː	ˈeː	0.4
v̥_#>	#>	0.4
k_#>	#>	0.385
ˈɛː	ˈɛɪ̯	0.375
ˈɑ	ˈɔː	0.364
ˈɪ	ˈiː	0.333
ˈuə̯	ˈɛɪ̯	0.333
ˈeː	-	0.333
#>	k_#>	0.333
n	ə	0.327
ˈɒː	ˈɔː	0.316
ˈɔ	ˈɔ	0.3
ˈɔ	-	0.3
ˈu	ˈʊ	0.3
ˈu	-	0.3
ˈɛ	ˈɛ	0.286
ˈɛ	-	0.286
ˈɑ	ˈa	0.273
ˈiə̯	j	0.222
ˈiə̯	-	0.222
ˈɒː	ˈiː	0.211
ˈɔ	ˈɔː	0.2
ˈɔ	ˈoːu̯	0.2
ˈu	ˈoː_l	0.2
ˈu	l	0.2
ˈoː	ˈuː	0.2
ˈi	ˈiː	0.2
k	k_ə	0.2
<#_d	<#_t	0.19
ˈɑ	ˈɛː	0.182
ˈɑ	-	0.182
ˈɪ	-	0.167
ˈɒː	ˈɛɪ̯	0.158
ˈɒː	ˈoː	0.158
ˈɒː	-	0.158
ˈæ	ˈɛː	0.143
ˈæ	ˈɛ	0.143
ˈæ	ˈiː	0.143
ˈæ	ˈa	0.143
ɦ	j	0.143
ˈuə̯	ˈuː	0.133
ˈeː	ˈoː	0.133
ˈiə̯	ˈyː	0.111
ʋ	v_ˈɪ	0.111
ʋ	-	0.111
ə	ɪ	0.111
n	j_ə	0.102
ˈoː	ˈeː	0.1
ɦ	-	0.095
s	k_s	0.095
<#_d	<#	0.095
t	t_ə	0.087
z	s_ˈɔː	0.08
ə	n	0.074
ə	-	0.074
ˈeː	ˈiːu̯	0.067
ˈeː	ˈeːu̯	0.067
v	ɣ_ə	0.067
v	v_ə	0.067
v	v	0.067
v	-	0.067
n	ə_n	0.061
ɾ	ə_r	0.06
ɾ	-	0.06
