North Frisian	West Flemish	probability
ˈʏ	ˈœ	1.0
ˈʊ_ŋ	ˈu_ŋ	1.0
ˈɛː_d	ˈeː	1.0
ˈɛː	ˈɒː	1.0
ˈɛ	ˈuə̯	1.0
ˈɒː_s	ˈɑ_s	1.0
ˈɒː_d	ˈɒː_t	1.0
ˈɒː	ˈɑ	1.0
ˈœ_nʲ	ˈɑ_n	1.0
ˈœ_lʲ_#>	ˈu_d̥_#>	1.0
ˈœ	ˈuə̯	1.0
ˈyː_dʲ	ˈoː_d̥	1.0
ˈyː	ˈyː	1.0
ˈiː_nʲ_#>	ˈɛː_n_#>	1.0
ˈiː_#>	ˈiə̯_#>	1.0
ˈeː_l	w	1.0
ˈaː	ˈøː	1.0
ˈai̯_ŋ	ˈɪ_ŋ	1.0
ˈa_r	ɾ	1.0
ʃ_#>	s_#>	1.0
ʃ	ʃ_h	1.0
ə_r	ə_ɾ	1.0
ə_#>	n_#>	1.0
ŋ_ə	ŋ	1.0
ŋ_#>	ŋ_#>	1.0
ŋ	ŋ	1.0
z	-	1.0
x	h	1.0
w	ɦ	1.0
v	ʋ	1.0
tʲ	t	1.0
t_#>	t_#>	1.0
t	t	1.0
s_t	s_t	1.0
r_#>	ɾ_#>	1.0
p_#>	p_#>	1.0
p	p	1.0
n_ə	n_d	1.0
m_ə	m_ə	1.0
m_#>	m_#>	1.0
l_ə	w	1.0
l_i	ˈiə̯	1.0
l_#>	l_#>	1.0
k_#>	k_#>	1.0
k	k	1.0
j_#>	ɦ̥_#>	1.0
f_#>	v̥_#>	1.0
dʲ	-	1.0
d_#>	d̥_#>	1.0
d	d	1.0
<#_ɡ	<#_ɦ	1.0
<#_v	<#_ʋ	1.0
<#_r	<#_ɾ	1.0
<#_p	<#_p	1.0
<#_n	<#_n	1.0
<#_m	<#_m	1.0
<#_l	<#_l	1.0
<#_k	<#_k	1.0
<#_h	<#	1.0
<#_f	<#_v	1.0
<#_d	<#_d	1.0
<#_b	<#_b	1.0
r	ɾ	0.862
n	n	0.833
s_#>	s_#>	0.8
ˈɒ	ˈɑ	0.75
ə	-	0.75
n_#>	n_#>	0.75
ˈuː	ˈoː	0.727
l	l	0.722
<#_s	<#_z	0.71
ˈɔː	ˈɔ	0.667
ˈɔ_r	ˈoː_ɾ	0.667
ˈi	ˈi	0.643
#>	ə_#>	0.625
ˈøː	ˈyː	0.6
v_ə	v	0.6
v_#>	v̥_#>	0.6
<#_t	<#_t	0.556
ˈiː	ˈiə̯	0.55
j	ɦ	0.545
ˈeː	-	0.5
j	-	0.455
<#_t	<#_d	0.444
ˈʊ	ˈœ	0.4
ˈøː	ˈoː	0.4
v_ə	ˈeː_v	0.4
v_#>	v_ə_#>	0.4
ˈa	ˈɛ	0.375
ˈa	ˈæ	0.375
ˈɛi̯	ˈɒː	0.333
ˈɛi̯	ˈɑ	0.333
ˈɛi̯	ˈuə̯	0.333
ˈɔː	-	0.333
ˈɔu̯	ˈoː_v	0.333
ˈɔu̯	ʋ	0.333
ˈɔu̯	-	0.333
ˈɔ_r	ˈɔ_ɾ	0.333
<#_s	<#_s	0.29
l	w	0.278
ˈuː	ˈɑ	0.273
ˈɒ	-	0.25
ˈeː	ˈɪ	0.25
ˈeː	ˈɒː	0.25
ˈa	-	0.25
ə	ə	0.25
n_#>	n_ə_#>	0.25
ˈi	ˈɪ	0.214
<#	<#_ˈɛː	0.214
<#	<#_ˈɑ	0.214
ˈʊ	ˈɑ	0.2
ˈʊ	ˈæ	0.2
ˈʊ	-	0.2
s_#>	d̥_#>	0.2
#>	d̥_#>	0.2
#>	n_#>	0.175
n	-	0.167
ˈiː	ˈɛː	0.15
ˈiː	ˈoː	0.15
ˈiː	ˈeː	0.15
ˈi	ˈeː	0.143
<#	<#_ˈɔ	0.143
<#	<#_ʋ	0.143
<#	<#_j	0.143
<#	<#_d	0.143
r	ˈæ_ɾ	0.138
