Proto-Germanic	Gothic	probability
θ	θ	1.0
ˈɛː	ˈeː	1.0
ˈɔː	ˈoː	1.0
ˈɑi̯	ˈɛː	1.0
ˈɑ	ˈa	1.0
ˈuː	ˈuː	1.0
ˈiː	ˈiː	1.0
ˈiu̯	ˈiu̯	1.0
ˈeː	ˈeː	1.0
ˈeu̯	ˈiu̯	1.0
ɸ	f	1.0
ɣ_ɑ	x	1.0
ɡʷ	ɡʷ	1.0
ɡ_ɑ	ɡ	1.0
ɡ	ɡ	1.0
ɛː	a	1.0
ɔ̃ː	oː	1.0
ɔːː	oː	1.0
ɔːu̯	ɔː	1.0
ɔː	oː	1.0
ɑː	aː	1.0
ɑi̯	ˈɛː	1.0
ɑ_z	s	1.0
ŋ	ŋ	1.0
ð_ɑ	θ	1.0
z	s	1.0
xʷ	ʍ	1.0
x	h	1.0
wː	ɡʷː	1.0
t	t	1.0
s_t	s_t	1.0
s	s	1.0
r_n	r_n	1.0
r	r	1.0
pː	p	1.0
p	p	1.0
nː	nː	1.0
n_ɑ	n	1.0
n_x	h	1.0
n	n	1.0
m	m	1.0
lː	lː	1.0
l	l	1.0
kʷ	kʷ	1.0
k	k	1.0
jː	d_a	1.0
j_ɑ	a	1.0
iː	i	1.0
i_j	iː	1.0
e	a	1.0
b	b	1.0
d	d	0.949
w	w	0.897
ˈi	ˈi	0.894
ɑ	a	0.785
ˈɑu̯	ˈɔː	0.765
j	j	0.739
u	u	0.72
i	-	0.72
ˈu	ˈu	0.686
ð	ð	0.652
ɣ	ɡ	0.615
β	β	0.524
ˈe	ˈi	0.485
ˈe	ˈɛ	0.425
ɣ	ɣ	0.385
β	f	0.37
u	-	0.28
i	i	0.28
j	-	0.261
ˈɑu̯	ˈɔ	0.235
ˈu	ˈɔ	0.225
ð	θ	0.209
ɑ	-	0.165
ð	-	0.139
β	b	0.106
ˈi	ˈiː	0.106
w	-	0.103
ˈe	-	0.09
ˈu	ˈɔː	0.089
d	-	0.051
