Proto-Slavic	Polish	probability
<#	<#_j	1.0
<#_b	<#_b	1.0
<#_k	<#_k	1.0
<#_l	<#_l	1.0
<#_m	<#_m	1.0
<#_n	<#	1.0
<#_ô	<#	1.0
<#_ǒ	<#_ˈɔ	1.0
<#_p	<#_p	1.0
<#_r	<#_r	1.0
<#_v	<#_v	1.0
<#_x	<#_x	1.0
<#_ɡ	<#_ɡ	1.0
<#_ʒ	<#_ʐ	1.0
<#_ʧ	<#_ʈ͡ʂ	1.0
a_#>	a_#>	1.0
ǎ_#>	a_#>	1.0
d_ŭ	t_#>	1.0
ê	ˈɛ	1.0
ẽ	ˈɛ	1.0
ẽ_t	ɛ_ɲ	1.0
ẽ̂ː	ˈɛ_ɲ	1.0
ĭ_#>	#>	1.0
ĭˀ_l	w	1.0
ĭ̌ː	ˈa	1.0
m	m	1.0
o_#>	ɔ_#>	1.0
o_d	ˈɔ_d	1.0
ôː	n_ˈɔ	1.0
ôː_l	w_ˈɔ	1.0
p	p	1.0
r_ɛː	ʐ	1.0
s_t	s_t	1.0
s_ŭ	s_#>	1.0
t	t	1.0
t_i	ʨ_#>	1.0
t_ĭ	ʨ_#>	1.0
ûː_x	ˈu_x	1.0
x	x	1.0
ɛ	-	1.0
ɛˀ	j_ˈa	1.0
ɛː	j	1.0
ɛ̂ː_l	ˈa_w	1.0
ɛ̌	ˈa	1.0
ɛ̌ː	ˈa	1.0
ɡ	ɡ	1.0
ɡ_ŭ	k_#>	1.0
ɲ	ɲ	1.0
ʒ_ĭ	w̃_ʂ	1.0
ʦ	ʦ	1.0
ʧ	ʂ_ʈ͡ʂ	1.0
b	b	0.571
e	ɛ	0.231
e	-	0.231
k	-	0.111
d	d	0.692
k	k	0.722
s	s	0.222
ŭ_#>	#>	0.632
<#_d	<#_ʥ	0.273
<#_t	<#_t	0.333
aˀ	a	0.333
aˀ	-	0.333
aˀ	ˈa	0.333
ĭ	ˈɛ	0.333
l	w_ˈɔ	0.103
n	n	0.733
<#_z	<#_z	0.4
d	ʥ	0.154
d	ˈa	0.154
e	ˈɔ	0.154
e_#>	ɛ_#>	0.4
ô	ˈɔ	0.714
ŭ̂	ˈɛ	0.4
<#_s	<#	0.25
<#_s	<#_ɕ	0.25
<#_s	<#_s	0.5
e	ˈɛ	0.385
ě	ˈɔ	0.5
ě	ˈɛ	0.5
i	ˈi	0.5
i	ˈɨ	0.5
ĭ̌	ˈa	0.5
ĭ̌	ˈɛ	0.5
ǐ	ˈi	0.5
ǐ	-	0.5
o	-	0.25
o	ɔ	0.25
o	ˈɔ	0.5
ǒ	ˈɔ	0.5
ǒ	-	0.5
r	ʂ	0.065
ŭ	t	0.25
ŭ	z	0.25
ŭ	-	0.5
ŭ_j	i	0.385
ŭ_j	ɨ	0.615
v	f	0.35
v	v	0.65
z	ʑ_ˈɔ	0.5
z	z	0.5
ɛ̂ː	ˈa	0.5
ɛ̂ː	ˈɛ	0.5
<#_z	<#_ʑ	0.6
e_#>	#>	0.6
ô	ˈu	0.286
ŭ̂	-	0.6
<#_d	<#_d	0.727
<#_t	<#_ʨ	0.667
ĭ	-	0.667
k	k_i	0.167
n	ɲ	0.267
r	r	0.677
l	w	0.448
s	ɕ	0.778
ŭ_#>	ɨ_#>	0.368
b	p	0.429
l	w_ɔ	0.069
l	l	0.379
r	ʐ	0.129
r	r_ˈɔ	0.129
