Ukrainian	Ukrainian	probability
ˈ_ʋ	ˀ_l	1.0
ʧʲ	ʧ	1.0
ʧ	ʧ	1.0
ʦʲ	ʦ	1.0
ʦ	ĭ_ʦ	1.0
ʤ	ĭ_ʧ	1.0
ʒʲ	ʒ	1.0
ʒ	ʒ	1.0
ʍ	l	1.0
ʋʲ	v	1.0
ʋ	v	1.0
ʃʲ	ʃ_eː	1.0
ʃ	-	1.0
ɫ_e	l_ŭ	1.0
ɪ_ˈ	ŭ	1.0
ɦʲ	-	1.0
ɛ_ˈ	ĭ	1.0
ɔ_tʲ	ŭ_t	1.0
ɔ_r	o	1.0
ɔ_#>	o_#>	1.0
zʲ	z	1.0
z	z	1.0
x	x	1.0
w	v	1.0
t_#>	t_ŭ_#>	1.0
sʲ	s	1.0
rʲ	r	1.0
r_#>	r_ŭ_#>	1.0
pʲ	p	1.0
p	p	1.0
n	n	1.0
mʲ	m	1.0
m	m	1.0
lʲ_#>	l_ĭ_#>	1.0
kʲ	k	1.0
k_#>	k_ŭ_#>	1.0
k	k	1.0
j_ɑ	ẽː	1.0
i_m	m_ĭ	1.0
e_#>	i_#>	1.0
dʲ	d	1.0
b	b	1.0
a	a	1.0
<#_ʋ	<#_v	1.0
<#_z	<#	1.0
<#_x	<#_x	1.0
<#_w	<#	1.0
<#_t	<#_t	1.0
<#_rʲ	<#_r	1.0
<#_nʲ	<#_n	1.0
<#_lʲ	<#_l	1.0
<#_k	<#_k	1.0
<#_j	<#	1.0
<#_d	<#_d	1.0
r	r	0.96
j	j_ĭ	0.923
ɦ	ɡ	0.9
t	t	0.9
s	s	0.897
ɐ_#>	a_#>	0.846
d	d	0.833
ɑ	a	0.828
ˈ_#>	̌_#>	0.783
tʲ	t_ĭ	0.727
ɫ	l	0.72
e	ŭ	0.696
u	õː	0.636
#>	ŭ_#>	0.629
ɛ	e	0.609
ʊ	õː	0.6
ɔ_d	o_d	0.6
nʲ	n	0.6
lʲ	l	0.571
ɪ	i	0.545
i	ɛː	0.524
ɔ_ˈ	̌	0.5
ɔ_ˈ	ŭ_̌	0.5
ɔ	o	0.467
lʲ	ʎ	0.429
ˈ	̂	0.414
ʊ	uː_̂	0.4
ɔ_d	d	0.4
nʲ	ɲ	0.4
#>	ĭ_#>	0.371
ˈ	̌	0.319
ɪ	ɨ	0.273
ɐ	ẽː	0.273
ɐ	ẽ	0.273
ɐ	-	0.273
u	uː	0.273
tʲ	t	0.273
i	o	0.262
ˈ_#>	#>	0.217
ɛ	ĭ	0.217
ɫ	l_ŭ	0.2
ˈ	ˀ	0.19
ɐ	a	0.182
ɛ	-	0.174
d	d_ĭ	0.167
ɐ_#>	#>	0.154
ɔ	e	0.133
e	e	0.13
i	e	0.119
ɔ	oː	0.111
ɔ	ĭ	0.111
ɔ	-	0.111
ɑ	aː	0.103
s	s_ŭ	0.103
ɦ	-	0.1
t	̂_t	0.1
ɪ	ɨː	0.091
ɪ	iː	0.091
u	u	0.091
e	ĭ	0.087
e	-	0.087
ɫ	d_l	0.08
ˈ	-	0.078
j	j	0.077
ɑ	ẽ	0.069
ɔ	ŭ	0.067
