Québécois French	Québécois French	probability
ʦ	t	1.0
ʣ	d	1.0
ʏ	ˈu	1.0
ʊ	ˈo	1.0
ʁ_w	ɾ	1.0
ɲ	ɲ	1.0
ɛɪ̯	ˈe_s	1.0
ɛ_ʁ	w_ɾ	1.0
ɒ̃ʊ̯̃_#>	ˈo_#>	1.0
ɑ	-	1.0
œ_f	ˈɒ_w	1.0
æɛ̯_ʁ	ˈæ_r	1.0
æɛ̯_z	a	1.0
æɛ̯_j	ʎ	1.0
y_ʁ	ˈu_r	1.0
w_ẽɪ̯̃	ˈu_n	1.0
p	p	1.0
o	ˈɒ_s	1.0
l_#>	l_#>	1.0
j_ɛ	ˈæ	1.0
i_ʁ	ˈi_r	1.0
f	f	1.0
<#_ʁ	<#_r	1.0
<#_æɛ̯	<#_a_ʤ	1.0
<#_w	<#_o	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_e	<#_e	1.0
<#_ã	<#_ˈa_ɲ	1.0
m	m	0.963
k	k	0.875
s	s	0.86
ʒ	ʤ	0.842
ʃ	k	0.826
b	b	0.824
<#_l	<#_ʎ	0.824
l	l	0.806
ɪ	ˈi	0.8
ɡ	ɡ	0.786
v	v	0.774
t	t	0.762
ɑɔ̯	ˈɒ	0.727
ɥ	ˈu	0.7
w_ɛ	ˈæ	0.667
d	d	0.667
ɛ_#>	w_#>	0.6
aœ̯	ˈo	0.6
w	ˈæ	0.571
e	ˈa_r	0.56
a	a	0.56
j	ʎ	0.556
ẽɪ̯̃_#>	ˈa_#>	0.538
ʁ	ɾ	0.515
ɒ̃ʊ̯̃	ˈɒ_n	0.5
øʏ̯	ˈɒ_k	0.5
æɛ̯	ˈa	0.5
z	z_ɞ	0.5
z	-	0.5
y	ˈu	0.5
u	o	0.467
ɔ	o	0.462
oʊ̯	ˈe_ʎ	0.462
n	n	0.438
ʁ	r	0.424
ɛ_#>	j_#>	0.4
aœ̯	ˈɒ	0.4
ɔ	ˈɒ	0.385
oʊ̯	ˈa_l	0.385
n	n_ɐ	0.375
a	ˈa	0.36
œ	e	0.357
ɛ	ˈe	0.353
i	ˈi	0.35
w_ɛ	e	0.333
ẽɪ̯̃_#>	ˈi_#>	0.308
ɥ	-	0.3
ɛ	ˈæ	0.294
w	ˈe	0.286
ã	ˈe_n	0.286
ɑɔ̯	o	0.273
ẽɪ̯̃	ˈi	0.273
u	ˈo	0.267
#>	s_#>	0.267
ɒ̃ʊ̯̃	ˈɒ	0.25
ɒ̃ʊ̯̃	-	0.25
øʏ̯	ˈu	0.25
øʏ̯	ʎ	0.25
y	ˈu_t	0.25
y	ˈi_w	0.25
i	-	0.25
v	β	0.226
j	ˈe	0.222
j	-	0.222
ɡ	ɣ	0.214
œ	-	0.214
ɪ	-	0.2
i	ˈi_t	0.2
i	w	0.2
e	ˈa	0.2
d	-	0.2
l	ʎ	0.194
n	n_ɜ	0.188
ẽɪ̯̃	ˈa_ɲ	0.182
ẽɪ̯̃	ˈa	0.182
ẽɪ̯̃	ɲ	0.182
ẽɪ̯̃	ŋ	0.182
æɛ̯	ˈæ	0.179
æɛ̯	ˈe	0.179
#>	e_#>	0.178
ɛ	ˈa	0.176
b	β	0.176
<#_l	<#	0.176
ʃ	k_a	0.174
e	-	0.16
ʒ	v	0.158
ɔ	-	0.154
oʊ̯	ˈɒ	0.154
ẽɪ̯̃_#>	#>	0.154
œ	ˈɒ	0.143
œ	ˈu	0.143
œ	a	0.143
w	-	0.143
t	s_t	0.143
ã	ˈæ_n	0.143
ã	ˈa_ŋ	0.143
ã	ˈa_n	0.143
ã	ˈa	0.143
ã	n	0.143
u	ˈo_ʎ	0.133
u	ˈo_t	0.133
d	ð	0.133
#>	k_#>	0.133
k	s_k	0.125
ɛ	ɜ	0.118
t	ʃ_e	0.095
#>	w_#>	0.089
#>	n_#>	0.089
#>	m_#>	0.089
e	r	0.08
a	w_ˈa	0.08
æɛ̯	ˈa_w	0.071
æɛ̯	e	0.071
#>	l_#>	0.067
ɛ	ˈɛ	0.059
