Yiddish	Yiddish	probability
χ_t	ʰt	1.0
ˈaɪ̯_ʦ	aːu̯	1.0
ʧ	-	1.0
ʃ_t	s_t	1.0
ʀ_ʦ	r̥_t	1.0
ʀ_#>	#>	1.0
ɪ	ɑu̯	1.0
ɛ	m_ʏ	1.0
ə_ʀ	r_a	1.0
ə_n	a	1.0
ə_m	m_ʏ	1.0
z_#>	s_#>	1.0
s_ə	ʰt͡n̥	1.0
p	-	1.0
n_ə	nː	1.0
n_#>	#>	1.0
k_ə	ʰk	1.0
d_z	sː	1.0
b_n	v_a	1.0
b_#>	v_ʏ_r̥_#>	1.0
a	ʏ	1.0
<#_ʀ	<#_r	1.0
<#_ɫ	<#_l	1.0
<#_ɡ	<#_ɡ̊	1.0
<#_v	<#	1.0
<#_n	<#_n	1.0
<#_j	<#	1.0
h	h	0.895
b	b̥	0.889
<#_t	<#_d̥	0.867
z	s	0.8
m	m	0.792
ʦ	tʰ	0.778
s	t	0.778
ˈaɪ̯	ˈiː	0.722
f	f	0.714
ŋ	ŋ	0.7
v	v	0.667
#>	ʏ_r̥_#>	0.667
t	ð	0.633
ɫ	l	0.562
ʃ	s	0.529
ɡ	ɡ̊	0.52
ʀ	r̥	0.5
ʀ	r	0.5
χ	k	0.438
ˈa	ˈa	0.424
ˈɛɪ̯	ˈɛːi̯	0.417
d	θ	0.417
ə	ɪ	0.4
k	kʰ	0.385
ə	ʏ	0.36
ˈʊ	ˈoːu̯	0.346
n	a	0.344
ˈɛɪ̯	-	0.333
ˈɔɪ̯	ˈuː	0.333
ˈɔɪ̯	ˈœːy̯	0.296
ʃ	s_k	0.294
d	d̥	0.292
n	n	0.281
ˈɪ	ˈɪ	0.256
χ	-	0.25
ˈɛɪ̯	ˈɛi̯	0.25
ɫ	l̥	0.25
ˈɛ	ˈɛ	0.241
k	cʰ	0.231
k	-	0.231
ʦ	t	0.222
s	s	0.222
f	p	0.214
ˈa	-	0.212
ɡ	ɟ̊	0.2
ŋ	-	0.2
z	s_j	0.2
ˈʊ	ˈʏ	0.192
χ	r̥	0.188
ɫ	t͡l̥	0.188
#>	a_#>	0.182
ˈɔ	ˈɔ	0.179
ˈɔ	ˈaː	0.179
ˈɔ	-	0.179
ʃ	s_c	0.176
ˈɛ	j	0.172
ˈɛ	-	0.172
ˈaɪ̯	-	0.167
t	d̥	0.167
d	ð	0.167
ˈɪ	j	0.163
ˈɪ	-	0.163
ɡ	ɣ	0.16
ə	-	0.16
ˈʊ	-	0.154
ˈa	ˈɑu̯	0.152
ˈa	ˈaː	0.152
#>	r̥_#>	0.152
ˈɔɪ̯	-	0.148
v	kʰ_v	0.143
ˈɛ	ˈɛː	0.138
t	t	0.133
<#_t	<#	0.133
χ	x	0.125
m	-	0.125
d	-	0.125
ɡ	-	0.12
ˈʊ	ˈɔː	0.115
ˈʊ	ˈu	0.115
ˈɔɪ̯	ˈʏ	0.111
ˈaɪ̯	j	0.111
b	v	0.111
n	t͡n̥	0.109
ˈɔ	ˈɑːu̯	0.107
h	ç	0.105
ŋ	ɲ	0.1
v	v_ˈɪː	0.095
v	-	0.095
ˈɪ	ˈɪː	0.093
ˈɪ	ˈi	0.093
ˈɪ	j_ˈɛː	0.093
m	r̥	0.083
ə	a	0.08
n	n̥	0.078
n	-	0.078
ˈʊ	ˈɔ	0.077
k	ʰc	0.077
k	ɡ̊ː	0.077
ˈɔɪ̯	ˈɛːi̯	0.074
ˈɔ	ˈʏ	0.071
ˈɔ	ˈɪ	0.071
ˈɔ	ˈœ	0.071
ˈɔ	ˈa	0.071
ˈɔ	v	0.071
f	ʰp	0.071
ˈɛ	ˈɑːu̯	0.069
ˈɛ	ˈou̯	0.069
ˈɛ	ˈau̯	0.069
ˈɛ	j_ˈɛ	0.069
t	s	0.067
ˈa	ˈɛ	0.061
