Luxembourgish	Luxembourgish	probability
χ	k	1.0
ˈʊ	ˈuː	1.0
ˈɜɪ̯_#>	ˈøː_#>	1.0
ˈɛ	ˈɛ	1.0
ˈɔ	ˈʊ	1.0
ˈɑɪ̯_z̥	sː	1.0
ˈæːʊ̯	ˈʉː	1.0
ˈæ	ˈɛ	1.0
ˈuː_ʃ	ʂ	1.0
ˈuː	-	1.0
ˈu_m	mː	1.0
ʑ	j	1.0
ʀ_#>	ɳ_#>	1.0
ɡ̊	-	1.0
ɡ	j	1.0
ə_ɕ	ɪ_ɡ	1.0
ə_n	a	1.0
ə_f_#>	v_#>	1.0
ə	-	1.0
ɕ_t	tː	1.0
ɕ_#>	ɡ_#>	1.0
ɐ_d̥	ɖ	1.0
ɐ_#>	#>	1.0
ŋ_k	kː	1.0
z̥_#>	s_#>	1.0
w	v	1.0
v̥_#>	v_#>	1.0
v	v	1.0
pʰ	pʰ	1.0
p	pː	1.0
n_d̥	n	1.0
n_#>	#>	1.0
l_#>	l_#>	1.0
k_#>	ɡː_#>	1.0
k	kː	1.0
j	-	1.0
f_#>	#>	1.0
e	ɔ	1.0
d̥	d	1.0
d_ˈɜɪ̯	j_ˈʉː	1.0
b	b	1.0
<#_ˈeː	<#_ˈɛ	1.0
<#_ʀ	<#_r	1.0
<#_ɡ	<#_ɡ	1.0
<#_v	<#	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_d	<#_d	1.0
<#	<#_j	1.0
ʀ	r	0.9
h	h	0.9
ˈoː	ˈoː	0.889
kʰ	kʰ	0.8
m	m	0.792
l	l	0.767
s	t	0.765
f	f	0.76
ˈæːɪ̯	ˈiː	0.75
z	s	0.737
ˈɛː	ˈæː	0.667
ɕ	k	0.667
ŋ	ŋː	0.636
ʦ	tʰ	0.615
n	n	0.611
ˈɑʊ̯	ˈʉː	0.6
ʃ	s	0.56
d	tʰ	0.55
ˈɑ	ˈa	0.524
#>	r_#>	0.519
ˈuə̯	ˈa	0.5
ˈuə̯	-	0.5
ˈu	-	0.5
ˈiə̯	ˈɛː	0.5
ˈiə̯	-	0.5
ˈi	ˈøː	0.5
ˈi	ˈeː	0.5
ˈeː	ˈeː	0.5
t	t	0.474
ˈo	ˈɵ	0.467
ɐ	r	0.438
ˈɑɪ̯	ˈyː	0.429
ˈəʊ̯	ˈøː	0.4
ˈɑʊ̯	-	0.4
ˈe	ˈʏ	0.4
ˈiː	ˈɛ	0.375
ˈiː	-	0.375
ɐ	ɛ	0.375
ˈɛː	ˈæ	0.333
ˈɑ	ˈɪ	0.333
ˈə	ˈɛ	0.316
ˈaː	ˈɑː	0.308
ˈəʊ̯	ˈuː	0.3
ˈəʊ̯	-	0.3
ˈɑɪ̯	ˈiː	0.286
ˈɑɪ̯	-	0.286
ʃ	ɧ	0.28
z	ɧ	0.263
ˈæːɪ̯	-	0.25
ˈu	ˈuː	0.25
ˈu	ˈoː	0.25
ˈiː	ˈʉː	0.25
d	d	0.25
f	p	0.24
ˈɜɪ̯	ˈøː	0.235
s	tː	0.235
ʦ	tː	0.231
n	nː	0.222
#>	ɛ_#>	0.222
ˈeː	ˈɛ	0.214
ˈə	ˈɪ	0.211
t	d	0.211
m	mː	0.208
ˈo	ˈɔ	0.2
ˈo	-	0.2
ˈe	ˈɪ	0.2
ˈe	ˈiː	0.2
ˈe	-	0.2
kʰ	ɕ	0.2
ˈaː	ˈa	0.192
ŋ	ʊ	0.182
ŋ	n	0.182
ˈɜɪ̯	ˈʉː	0.176
ɕ	j	0.167
ɕ	-	0.167
ʃ	s_k	0.16
ˈə	ˈɵ	0.158
ˈə	ˈœ	0.158
ˈə	-	0.158
t	-	0.158
ˈaː	ˈøː	0.154
ʦ	ʈː	0.154
#>	n_#>	0.148
ˈɑ	-	0.143
ˈeː	ˈɛː	0.143
ˈeː	-	0.143
ˈo	ˈœ	0.133
l	lː	0.133
ˈɜɪ̯	ˈʉː_ɡ	0.118
ˈɜɪ̯	ˈɛː	0.118
ˈɜɪ̯	ˈyː	0.118
ˈɜɪ̯	ˈoː	0.118
ˈɜɪ̯	-	0.118
ˈaː	ˈa_r	0.115
ˈoː	jː	0.111
n	n_d	0.111
#>	ɡ_#>	0.111
t	s	0.105
ʀ	-	0.1
l	j	0.1
h	-	0.1
d	ɕ	0.1
d	-	0.1
ɐ	r_a	0.094
ɐ	a	0.094
ˈaː	ˈɛ	0.077
ˈaː	ˈœ	0.077
ˈaː	ˈuː	0.077
n	-	0.056
t	ʈ	0.053
