Yiddish	English	probability
χ_t	t	1.0
ˈɪ_χ	ˈaɪ̯	1.0
ˈɪ_ʀ	ˈiː	1.0
ˈɛ_ɡ	ˈeɪ̯	1.0
ˈɔ_ʀ	ˈɜː	1.0
ˈɔ_ɡ	ˈeɪ̯	1.0
ˈa_χ	ˈaɪ̯	1.0
ˈa_ɫ	ˈɑː	1.0
ʧ	ʃ	1.0
ʃ_v	s	1.0
ʃ_t	s_t	1.0
ʀ_ˈɪ	ɹ	1.0
ʀ_ɛ	ˈɔː	1.0
ɪ	ɪ	1.0
ɛ	-	1.0
ə_ʀ	ə	1.0
ə	-	1.0
ŋ_ɡ	ŋ	1.0
ŋ	ŋ	1.0
v_ˈa	w	1.0
v	w	1.0
t_ə	ð	1.0
p	p	1.0
n_ə	n	1.0
k_ə	k	1.0
k_s	k_s	1.0
j	j	1.0
h	h	1.0
f_n	p	1.0
d_z	s	1.0
b_n	v	1.0
a	-	1.0
m	m	0.906
z	s	0.872
s	t	0.863
ˈaɪ̯	ˈaɪ̯	0.841
f	f	0.783
t	d	0.752
ˈɛɪ̯	ˈəʊ̯	0.709
b	b	0.651
ʃ	ʃ	0.648
ˈʊ	ˈɐ	0.631
ɫ	l	0.567
ʦ	tʰ	0.531
ˈa	ˈæ	0.523
ˈa_ʀ	ˈɑː	0.515
n	-	0.501
ˈa_ʀ	ˈɔː	0.485
n	n	0.477
ʦ	t	0.469
ɡ	ɡ	0.461
d	θ	0.458
ʀ	ɹ	0.455
ˈɪ	ˈɪ	0.447
ɫ	ɫ	0.433
χ	k	0.424
ˈɔ	-	0.418
ɡ	-	0.418
k	kʰ	0.398
d	d	0.388
ˈɛ	ˈe	0.365
ʃ	s	0.352
b	v	0.349
ˈɔɪ̯	ˈaʊ̯	0.329
ˈɔɪ̯	ˈiː	0.301
χ	ˈaɪ̯	0.296
ʀ	ə	0.292
χ	ʧ	0.281
k	ʧ	0.28
ˈɔɪ̯	ˈe	0.246
ˈɛ	ˈɪ	0.224
ˈɪ	ˈaɪ̯	0.215
k	k	0.208
f	p	0.199
t	t	0.187
ˈɪ	ˈiː	0.185
ˈɛɪ̯	-	0.17
ˈɛ	-	0.167
d	ð	0.154
ˈɪ	-	0.153
ˈa	ˈeɪ̯	0.153
ˈʊ	-	0.141
s	s	0.137
ˈa	-	0.133
ʀ	ˈɔː	0.132
z	z	0.128
ˈɔ	ˈiː	0.127
ˈɔɪ̯	ˈɐ	0.124
ˈɛɪ̯	ˈe	0.121
ɡ	əʊ̯	0.121
ˈʊ	ˈʊ	0.119
ˈɔ	ˈɑː	0.115
k	-	0.115
ˈʊ	ˈuː	0.11
ˈaɪ̯	ˈɪ	0.109
ˈɛ	ˈiː	0.101
ˈɔ	ˈɛ	0.097
m	-	0.094
ˈɔ	ˈəʊ̯	0.093
ˈɔ	ˈɒ	0.093
ˈa	ˈɒ	0.084
ˈɛ	ˈæ	0.075
ˈɛ	ˈɛ	0.068
ʀ	-	0.062
t	θ	0.061
ʀ	ˈɜː	0.06
ˈɔ	ˈʊ	0.058
ˈa	ˈəʊ̯	0.054
ˈa	ˈɔː	0.054
ˈaɪ̯	ɜː	0.05
