West Flemish	West Flemish	probability
ˈɛ	ˈɛ	1.0
ˈœ_ɦ	ɟ̊ː	1.0
ˈi	ˈiː	1.0
ɾ_s	sː	1.0
ɪ	ˈou̯	1.0
ɦ_ˈɑ	ɟ̊	1.0
ɦ_ɾ	ɡ̊_r	1.0
ɦ_n	a	1.0
ç	ɡ̊	1.0
z̥_#>	s_#>	1.0
z_ˈɛ	s	1.0
z	s	1.0
t_ɾ	ʰt͡n̥	1.0
n_d	nː	1.0
n_#>	#>	1.0
m	m	1.0
j_ˈɪ	ˈeːi̯	1.0
iə̯	aːu̯	1.0
h_t	ʰt	1.0
d̥_#>	#>	1.0
b	b̥	1.0
<#_ˈɔ	<#_ˈʏ	1.0
<#_ˈɑ	<#	1.0
<#_ʋ	<#	1.0
<#_ɦ	<#	1.0
<#_t	<#_tʰ	1.0
<#_l	<#_l	1.0
<#_k	<#_kʰ	1.0
<#_j	<#	1.0
ŋ	ŋ	0.9
ə_#>	#>	0.895
t	t	0.857
s	s	0.833
ˈyː	ˈuː	0.8
l	l	0.75
ʋ	v	0.722
<#_ɾ	<#_r	0.714
<#	<#_h	0.688
v̥	v_ʏ	0.667
v	f	0.654
p	p	0.625
ˈœ	ˈɪ	0.6
ˈuə̯	ˈoːu̯	0.6
ʃ_h	s_c	0.6
ə	a	0.571
d̥	ð	0.571
#>	ʏ_r̥_#>	0.537
ɾ	r	0.51
ˈɔ	-	0.5
ˈøː	ˈɔː	0.5
ˈøː	-	0.5
d	d̥	0.464
ˈu	ˈʏ	0.444
ˈɪ	-	0.429
ˈæ	ˈɛ	0.429
ɦ	-	0.429
k	k	0.429
#>	r̥_#>	0.418
ˈeː	-	0.417
ˈœ	ˈʏ	0.4
ʃ_h	k	0.4
ɦ̥	ɣ	0.4
ɦ̥	-	0.4
ˈɑ	ˈa	0.368
ɾ	r̥	0.353
n	n	0.344
ˈɛː	ˈɛːi̯	0.333
ˈɛː	ˈɛi̯	0.333
ˈɛː	j_ˈoːu̯	0.333
ˈɒː	ˈaː	0.333
ˈu	ˈu	0.333
v̥	l_v	0.333
d	θ	0.321
ˈoː	ˈœːy̯	0.318
ˈoː	-	0.318
n	a	0.311
ˈɪ	ˈɪ	0.286
ˈɪ	ˈi	0.286
ɦ	ˈuː	0.286
ɦ	ɣ	0.286
<#_ɾ	<#_r̥	0.286
w	ˈau̯	0.273
w	l̥	0.273
w	l	0.273
ˈɑ	ˈaː	0.263
ˈɔ	ˈɔ	0.25
ˈɔ	ˈou̯	0.25
ˈɒː	ˈɑːu̯	0.25
ˈɒː	ˈa	0.25
ˈeː	ˈɛː	0.25
p	ʰp	0.25
l	t͡l̥	0.25
d̥	d̥_ʏ	0.238
ˈiə̯	j	0.235
ˈoː	ˈɔ	0.227
ˈu	-	0.222
ˈæ	j	0.214
ˈæ	-	0.214
ˈɑ	ˈɑu̯	0.211
ˈyː	-	0.2
ˈuə̯	ˈaːi̯	0.2
ˈuə̯	-	0.2
ɦ̥	x	0.2
v	v	0.192
k	ɡ̊_ʏ	0.19
d̥	d̥	0.19
<#	<#_kʰ	0.188
w	-	0.182
ə	ɪ	0.179
ˈiə̯	ˈiː	0.176
ˈiə̯	j_ˈuː	0.176
ˈiə̯	j_ˈoːu̯	0.176
ˈɒː	-	0.167
ˈeː	ˈɪː	0.167
ˈeː	ˈɛːi̯	0.167
ʋ	-	0.167
s	s_k	0.167
ˈɑ	ˈœ	0.158
ˈæ	ç	0.143
ə	ʏ	0.143
k	cʰ	0.143
ˈoː	ˈɛːi̯	0.136
p	pʰ	0.125
<#	<#_s	0.125
ˈiə̯	ˈiː_r̥	0.118
ˈiə̯	-	0.118
n	t͡n̥	0.115
ʋ	v_ˈɛː	0.111
ə	-	0.107
ə_#>	ʏ_#>	0.105
ŋ	ɲ	0.1
k	ʰk	0.095
k	c	0.095
v	f_ˈɪ	0.077
v	-	0.077
t	ʰt	0.071
t	-	0.071
d	θ_ˈʏ	0.071
d	ð_ɪ	0.071
d	ð	0.071
n	n̥	0.066
n	nː	0.066
n	-	0.066
ɾ	ɪ_r̥	0.059
