Brazilian Portuguese	Brazilian Portuguese	probability
ˈɛ_ʃ	ˈe	1.0
ˈɛ_w	ˈa_l	1.0
ˈɛ	ˈe	1.0
ˈɔ_j	ˈa_w	1.0
ˈɐ̃_#>	ˈa_n_ɔ_#>	1.0
ˈo_d	ˈu	1.0
ˈe_h	ʀ_ə	1.0
ʤ	-	1.0
ʒ	ʤ	1.0
ʎ	ʎ	1.0
ʃ_t	t	1.0
ʃ_#>	#>	1.0
ɦ_n	ʀ	1.0
ɡ_w	ɡ	1.0
ɡ_u	k	1.0
ɐ̃	ã	1.0
ɐ_t	ɥ	1.0
ɐ	ɔ	1.0
w̃_#>	#>	1.0
w̃	ŋ	1.0
v_ɐ	b_ɔ	1.0
v_u	w	1.0
v_i	w	1.0
ũ	ə_m	1.0
u_#>	#>	1.0
t_u	ŋ	1.0
s_w	lː	1.0
s_e	ʧ	1.0
õ	ũ	1.0
l_u_#>	l_#>	1.0
k_u	k	1.0
j_ʧ	j	1.0
j_ʃ	s	1.0
j_u	j	1.0
j_t	j	1.0
ĩ	ĩ	1.0
i_#>	#>	1.0
h_ʧ	ˈɔ	1.0
h_#>	#>	1.0
ẽ	-	1.0
e_ʃ	ɪ	1.0
e_s	ɪ	1.0
b_j	ʤ	1.0
b	b	1.0
a_ɾ	ˈa	1.0
<#_ˈo	<#_ˈa	1.0
<#_ˈa	<#_ˈa	1.0
<#_t	<#_t	1.0
<#_o	<#	1.0
<#_h	<#_ʀ	1.0
<#_d	<#_d	1.0
<#_a	<#_ɒ	1.0
s	s	0.925
p	p	0.903
ˈa	ˈa	0.875
ɾ	ʀ	0.86
f	f	0.842
n	n	0.81
m	m	0.806
l	l	0.8
t	t	0.75
#>	ə_#>	0.75
ɦ	ʀ	0.667
j̃_u	ɲ	0.667
i	ə	0.647
ˈu	ˈy	0.643
j	-	0.643
o	u	0.636
ˈi	ˈi	0.632
<#_l	<#_l	0.632
ˈũ	ˈỹ	0.6
ˈõ	w_ˈɔ̃	0.6
ʧ	ŋ	0.6
z	-	0.6
w	w	0.588
v	v	0.577
ˈɐ̃	ˈã	0.545
a	ɒ	0.529
k	ʧ	0.528
d	d	0.5
d	-	0.5
u	ə	0.483
k	k	0.472
e	-	0.471
ˈe	ˈɪ	0.462
ˈɔ	w	0.438
ˈĩ	ˈĩ	0.417
ˈĩ	ˈi	0.417
e	ə	0.412
ˈũ	w_ˈẽ	0.4
ʧ	-	0.4
ɡ	ɡ	0.4
z	z	0.4
j̃	ɲ	0.4
h	ʀ	0.375
<#_l	<#_ʎ	0.368
ˈẽ	ˈẽ	0.364
o	-	0.364
j	j	0.357
ˈo	ˈu	0.343
ˈe	ˈe	0.333
ɦ	ˈɔ_ʀ	0.333
j̃_u	ŋ	0.333
ˈɔ	w_ˈɔ	0.312
ˈẽ	ˈɪ̃	0.273
ʃ	s	0.267
ˈɔ	ˈu	0.25
h	ʀ_ə	0.25
#>	ɔ_#>	0.25
a	-	0.235
ˈo	ˈœ	0.229
ˈɐ̃	ˈa	0.227
ˈu	ˈu	0.214
ˈi	-	0.211
ˈõ	w	0.2
ˈõ	-	0.2
ˈo	w_ˈɔ	0.2
ʃ	p_l	0.2
l	-	0.2
j̃	ŋ	0.2
j̃	n	0.2
j̃	j_n	0.2
v	vʲ	0.192
n	-	0.19
ˈẽ	ˈɔ	0.182
ˈẽ	ˈẽ_ŋ	0.182
w	l	0.176
u	ɔ	0.172
ˈĩ	ŋ	0.167
ˈi	ˈɪ	0.158
f	fʲ	0.158
v	w	0.154
ɡ	ʤ	0.15
ɡ	-	0.15
t	ʧ	0.15
ˈu	-	0.143
ɾ	-	0.14
ˈɐ̃	-	0.136
ʃ	t_ə	0.133
ʃ	k_l	0.133
ʃ	f_l	0.133
ʃ	-	0.133
h	ˈɔ_ʀ	0.125
h	ˈi	0.125
h	-	0.125
w	ˈã	0.118
w	-	0.118
i	ʀ	0.118
i	ŋ	0.118
i	w	0.118
e	ɪ	0.118
a	ˈa	0.118
a	a	0.118
u	ŋ	0.103
u	-	0.103
ɡ	ʧ	0.1
ɡ	ŋ_k	0.1
ɡ	k	0.1
t	-	0.1
m	mʲ	0.097
m	-	0.097
ˈɐ̃	ˈũ	0.091
ˈo	ˈɔ	0.086
ˈo	w	0.086
v	b	0.077
ˈa	l_ˈa	0.075
s	ʃ	0.075
u	ʎ	0.069
u	l	0.069
p	-	0.065
ˈo	ˈa	0.057
ˈe	ˈa	0.051
ˈe	l	0.051
ˈe	e	0.051
ˈe	-	0.051
