Brazilian Portuguese	Brazilian Portuguese	probability
ˈu	ˈu	1.0
ˈo_ɡ	ˈo_ɣ	1.0
ˈo_j	ˈɔ	1.0
ˈo_h	ˈo_ɾ	1.0
ˈĩ	ˈi	1.0
ˈe_j	ˈe	1.0
ˈa	ˈa	1.0
ʧ	t	1.0
ɦ_v	ɾ_b	1.0
ɦ_n	r	1.0
ɦ	ɾ	1.0
ɐ̃	-	1.0
ɐ_#>	#>	1.0
v_u	u	1.0
v_i	ɛ	1.0
ũ	i_m	1.0
t_ˈa	t_ˈa	1.0
t_ɐ	t_a	1.0
t	t	1.0
s_ɐ	ʦ_a	1.0
s_u	u	1.0
p	p	1.0
õ	ɔ	1.0
m	m	1.0
k_u	k_u	1.0
k	k	1.0
j_ʃ	ɣ_ɛ	1.0
j_ɐ	n_a	1.0
ĩ	-	1.0
i_#>	i_#>	1.0
h_ʧ	ɾ_t	1.0
f	f	1.0
ẽ	-	1.0
d_ˈo	d_ˈu	1.0
a_d	a_ð	1.0
<#_ˈo	<#_ˈo	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʃ	<#_p	1.0
<#_t	<#_t	1.0
<#_s	<#_s	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_k	<#	1.0
<#_e	<#_i	1.0
u	u	0.91
ɐ	a	0.828
ˈi	ˈi	0.826
<#_h	<#_ɾ	0.778
ɾ_u	ɾ_u	0.714
v	b	0.704
ɾ	ɾ	0.7
a	a	0.692
ˈũ	ˈu	0.667
i	ɛ	0.655
ˈɐ̃	ˈa	0.65
ˈɔ	ˈɔ	0.619
ʤ	ð	0.6
z	ɣ	0.6
n	n	0.6
<#_a	<#_a	0.6
ˈɛ	ˈɛ	0.591
ʒ	ʣ	0.571
e	-	0.562
b	b	0.56
h	ɾ_ɛ	0.558
s	s	0.542
l	ɖː	0.529
<#	<#_i	0.5
<#	<#_a	0.5
ʃ	s	0.467
j	-	0.467
d	d	0.464
ˈo	ˈɔ	0.458
ʎ	ʣ	0.455
e	i	0.438
ʒ	b	0.429
d	ð	0.429
ʤ	d	0.4
z	-	0.4
n	nː	0.4
j̃	n	0.4
j	j	0.4
<#_a	<#_ˈa	0.4
#>	u_#>	0.389
ɡ	ɣ	0.375
w̃	ɛ	0.375
w̃	n_u	0.375
s	k	0.375
ʎ	j	0.364
#>	ɛ_#>	0.361
ˈũ	ˈu_n	0.333
ˈo	ˈu	0.333
w	-	0.333
ˈɛ	ˈe	0.318
ˈe	ˈɛ	0.316
a	ˈa	0.308
ˈe	ˈi	0.289
ɾ_u	u	0.286
b	-	0.28
w	l	0.278
ˈe	ɛ_ɾ	0.263
h	ɛ	0.256
ˈẽ	ˈi	0.25
ˈẽ	ˈe	0.25
w̃	n_ɛ	0.25
ˈɔ	ˈo	0.238
l	l	0.235
l	-	0.235
o	ˈɔ	0.231
o	u	0.231
o	o	0.231
w	ˈa	0.222
v	-	0.222
<#_h	<#	0.222
ˈo	ˈo	0.208
ɡ	ɡ	0.208
ˈɐ̃	ˈa_n	0.2
ˈõ	ˈɔ_n	0.2
ˈõ	ˈɔ	0.2
ˈõ	ˈu_n	0.2
ˈõ	ˈo_n	0.2
ˈõ	ˈo	0.2
ʃ	z	0.2
j̃	n_ʣ	0.2
j̃	-	0.2
ʎ	-	0.182
ˈẽ	ˈɛ_n	0.167
ˈẽ	ˈe_n	0.167
ˈẽ	n	0.167
w	l_ɛ	0.167
b	β	0.16
o	ɔ	0.154
o	-	0.154
ˈɐ̃	n	0.15
ˈɔ	-	0.143
i	u	0.138
ʃ	z_ɔ̆	0.133
ɾ	ɛ_ɾ	0.133
j	ɣ_ɛ	0.133
ˈe	ˈe	0.132
ɡ	b	0.125
ɡ	-	0.125
h	ɾ	0.116
#>	a_#>	0.111
d	t	0.107
i	ɛ_n	0.103
i	i	0.103
ɾ	-	0.1
j̃	ɲ	0.1
j̃	ɛ	0.1
ˈɛ	ˈi	0.091
ˈi	ˈi_t	0.087
ˈi	-	0.087
ɡ	m_b	0.083
ɡ	k	0.083
s	ʦ	0.083
#>	ɔ̆_#>	0.083
ɐ	-	0.078
v	ɛ	0.074
h	r	0.07
ʃ	ɔ_z	0.067
ʃ	k_ɾ	0.067
ʃ	f_ɾ	0.067
ɾ	ɾ_a	0.067
ɐ	n_a	0.062
u	ɔ	0.06
#>	ă_#>	0.056
