Yiddish	Yiddish	probability
χ_t	ç	1.0
ˈʊ_n	n	1.0
ˈɪ_ʀ	ˈiː	1.0
ˈɪ_s	ˈae̯_t	1.0
ˈɛ_n	ˈae̯_n	1.0
ˈaɪ̯_ə	ˈyː	1.0
ˈa_ʀ	ˈaː	1.0
ʧ	-	1.0
ʃ	ʃ	1.0
ɫ	l	1.0
ɪ	ɪ	1.0
ɡ_n	ŋ	1.0
ɛ	-	1.0
ə_ʀ	æ	1.0
ŋ_ɡ	ŋ	1.0
ŋ	ŋ	1.0
t_ə	ɾ	1.0
p	p	1.0
n_ə	n	1.0
n_d	n	1.0
k_ə	k	1.0
k_s	s	1.0
j	j	1.0
h	h	1.0
f_n	p_n	1.0
f_#>	#>	1.0
d_ə	ɾ	1.0
b_#>	v̥_#>	1.0
a	-	1.0
<#_ˈɪ	<#	1.0
<#_ɡ	<#_j	1.0
m	m	0.92
v	v	0.889
n	n	0.829
s	t	0.824
ə	-	0.818
f	f	0.812
b	b	0.81
ˈɛɪ̯	ˈae̯	0.8
ɡ	ɡ	0.8
ˈa	ˈa	0.71
z	z	0.692
χ	k	0.647
k	kʰ	0.591
d	d	0.579
ɡ_#>	#>	0.556
ˈɪ	ˈɪ	0.538
ʦ	tʰ	0.533
ˈaɪ̯	ˈiː	0.526
ˈɔɪ̯	ˈuː	0.5
ʀ	r	0.49
ʦ	t	0.467
ɡ_#>	ç_#>	0.444
d	d̥	0.421
ˈɔɪ̯	ˈaʊ̯	0.417
ʀ	æ	0.408
ˈɛ	ˈɛ	0.375
ˈʊ	ˈʊ	0.357
χ	x	0.353
t	d̥	0.347
t	t	0.327
ˈʊ	ˈaʊ̯	0.321
z	z̥	0.308
ˈɛ	-	0.292
t	d	0.286
ˈɔ	ˈɒː	0.25
k	ç	0.227
ˈɛɪ̯	-	0.2
b	-	0.19
ˈɔ	ˈɔ	0.188
f	p	0.188
ə	æ	0.182
k	k	0.182
s	s	0.176
ˈɛ	ˈɛː	0.167
ˈaɪ̯	ˈae̯	0.158
ɡ	ɣ̊	0.133
ˈa	ˈɒː	0.129
ˈɔ	-	0.125
v	w	0.111
ˈʊ	ˈɔ	0.107
ˈaɪ̯	ˈʏ	0.105
ˈaɪ̯	ˈɪ	0.105
ˈaɪ̯	ˈyː	0.105
ˈɪ	ˈʏ	0.103
ˈɪ	ˈɔʏ̯	0.103
ˈɪ	ˈae̯	0.103
ˈa	-	0.097
ˈɔ	ˈɛː	0.094
ˈɔ	ˈuː	0.094
ˈɔ	ˈoː	0.094
ˈɔ	ˈa	0.094
n	-	0.092
ˈɛ	ˈœ	0.083
ˈɔɪ̯	-	0.083
m	-	0.08
n	m	0.079
ˈʊ	ˈɔʏ̯	0.071
ˈʊ	ˈuː	0.071
ˈʊ	-	0.071
ɡ	ɡ̊	0.067
ˈa	ˈɔ	0.065
ˈɔ	ˈʊ	0.062
ʀ	-	0.061
ˈɪ	ˈɛ	0.051
ˈɪ	ˈiː	0.051
ˈɪ	-	0.051
