Proto-Balto-Slavic	Proto-Balto-Slavic	probability
́ˀ_#>	ˈ_#>	1.0
́ˀ	ˈ	1.0
́_s_#>	#>	1.0
ˀ_w	ʋ	1.0
ˀ_#>	ˈ_#>	1.0
ɡ_a	ɦ	1.0
ɛ	ɛ	1.0
ŋ_ɡ	ʒ	1.0
z	z	1.0
uː	ɪ	1.0
t_i	tʲ	1.0
s_#>	#>	1.0
oː	ɑ	1.0
o	-	1.0
m_oː	mʲ	1.0
l_ˀ	ʋ	1.0
l_i	lʲ	1.0
k_t	ʧ	1.0
j	-	1.0
i_t	ʤ	1.0
eː	-	1.0
ei̯_#>	e_#>	1.0
ei̯	ɪ	1.0
e_s	ɪ	1.0
aː_ˀ	ɐ	1.0
ai̯	i	1.0
a_ŋ	u	1.0
a_s	ɔ_ˈ	1.0
a_r	ɔ_r	1.0
<#_w	<#_ʋʲ	1.0
<#_s	<#_s	1.0
<#_k	<#_k	1.0
<#_d	<#_d	1.0
r	r	0.909
aː	ɑ	0.875
d	d	0.818
́	ˈ	0.809
zʲ	z	0.8
m	m	0.8
b	b	0.8
ˀ	ˈ	0.778
t	t	0.737
l	ɫ	0.722
p	p	0.714
#>	ˈ_#>	0.7
sʲ	s	0.667
a_#>	ɔ_#>	0.667
u	-	0.636
ʃ	x	0.625
ɡ	ɦ	0.625
i	-	0.611
au̯	ʊ	0.6
<#	<#_j	0.6
e	ɛ	0.571
s	j	0.536
w	ʋ	0.533
e_́	ˈ	0.5
e_́	ɛ	0.5
au̯	u	0.4
<#	<#_w	0.4
k	k	0.375
n	n	0.35
n	-	0.35
sʲ	-	0.333
a_#>	#>	0.333
#>	ɔ_#>	0.3
p	-	0.286
e	i	0.286
w	ʋʲ	0.267
ʃ	s	0.25
k	ʧ	0.25
k	ʦʲ	0.25
ˀ	-	0.222
l	lʲ	0.222
a	ɔ	0.222
zʲ	zʲ	0.2
w	w	0.2
n	nʲ	0.2
m	-	0.2
b	-	0.2
a	-	0.2
́	-	0.191
u	ɔ	0.182
u	e	0.182
d	-	0.182
s	-	0.179
a	i	0.178
i	ɛ	0.167
t	-	0.158
a	e	0.156
s	s	0.143
e	ɐ	0.143
ʃ	ʃʲ	0.125
ɡ	ʒ	0.125
ɡ	z	0.125
k	ʧʲ	0.125
aː	a	0.125
i	ɔ	0.111
i	tʲ	0.111
t	tʲ	0.105
n	u_ˈ	0.1
r	-	0.091
a	ɪ	0.089
s	sʲ	0.071
s	d	0.071
a	u	0.067
ɡ	ʒʲ	0.062
ɡ	ɦʲ	0.062
l	ʍ	0.056
