Luxembourgish	Luxembourgish	probability
ˈʊ	ˈu	1.0
ˈɜɪ̯_ə	ˈi_χ	1.0
ˈɛ	-	1.0
ˈə_n	n	1.0
ˈɔ	ˈɔ	1.0
ˈæːʊ̯	ˈœɪ̯	1.0
ˈæ	ˈa	1.0
ˈuː	-	1.0
ˈu_m	m	1.0
ˈiː_ɐ	r	1.0
ˈiə̯_d	ˈɪə̯	1.0
ˈiə̯	ˈɪə̯	1.0
ˈi	-	1.0
ˈaː_l	ˈœu̯_d̥	1.0
ʦ	t	1.0
ʑ	χ	1.0
ʃ_t	s	1.0
ɡ̊	-	1.0
ɡ_ʀ	χ_r	1.0
ɡ	χ	1.0
ɕ_t	χ	1.0
z̥	s	1.0
z	s	1.0
w	v	1.0
v̥	v̥	1.0
v	v	1.0
tʰ	t	1.0
pʰ	p	1.0
p	p	1.0
n_ʃ	n_s	1.0
n_ə	n	1.0
m	m	1.0
kʰ	k	1.0
k_ə	k	1.0
j	j	1.0
h	ɦ	1.0
f_ə	p	1.0
f_#>	p_#>	1.0
b	b	1.0
<#_ˈaː	<#_ˈa	1.0
<#_ʀ	<#_r	1.0
<#_n	<#_n	1.0
<#	<#_ˈɔ	1.0
#>	ŋ_#>	1.0
l	ɫ	0.962
f	v̥	0.929
s	t	0.875
d̥	d̥	0.875
d	d	0.818
ʃ	s	0.815
ˈoː	ˈɑː	0.8
ə	-	0.795
t	t	0.769
ŋ	ŋ	0.733
ˈo	ˈɔ	0.706
ˈeː	ˈɪə̯	0.692
ˈæːɪ̯	ˈəɪ̯	0.667
ʀ	r	0.667
k	χ	0.667
ˈɑʊ̯	ˈœɪ̯	0.6
ˈuə̯	-	0.6
ˈiː	ˈə	0.6
ɐ	r	0.576
χ	k	0.571
ˈɛː	ˈɑː	0.5
ˈɛː	-	0.5
ˈəʊ̯	ˈʊə̯	0.5
ˈu	ˈu	0.5
ˈu	-	0.5
ɕ	χ	0.5
ɕ	k	0.5
n	-	0.472
ˈɜɪ̯	ˈi	0.444
ˈe	ˈœ	0.444
n	n	0.431
χ	χ	0.429
ˈaː	ˈa	0.423
ˈɑ	ˈə	0.417
ˈɑ	ˈa	0.417
ˈɑʊ̯	-	0.4
ˈuə̯	ˈa	0.4
ˈiː	ˈɪə̯	0.4
ɐ	ə_r	0.364
ˈə	-	0.333
ˈɑɪ̯	-	0.333
ˈæːɪ̯	-	0.333
ˈe	ˈə	0.333
k	k	0.333
ˈeː	ˈəɪ̯	0.308
ˈaː	ˈʊə̯	0.308
ˈəʊ̯	ˈu	0.3
ˈo	-	0.294
ˈɜɪ̯	ˈʊə̯	0.278
ŋ	n	0.267
t	d̥	0.231
ˈɑɪ̯	ˈœɪ̯	0.222
ˈɑɪ̯	ˈyː	0.222
ˈɑɪ̯	ˈi	0.222
ˈe	-	0.222
ˈəʊ̯	ˈɑː	0.2
ˈə	ˈə	0.2
ˈə	ˈæ	0.2
ˈoː	-	0.2
ˈaː	ˈɑː	0.192
ʃ	s_k	0.185
ˈɜɪ̯	ˈɑː	0.167
ˈɑ	-	0.167
ʀ	r_ə	0.167
ə	ə	0.159
ˈə	ˈɛ	0.133
ˈə	k_ˈə	0.133
s	ˈɪə̯_t	0.125
d̥	-	0.125
ˈɜɪ̯	ˈu	0.111
d	d_ˈɔ	0.091
d	-	0.091
ʀ	r_ˈʊə̯	0.083
ʀ	r_ˈi	0.083
ˈaː	ˈa_r	0.077
f	p	0.071
ɐ	ə	0.061
n	n_d	0.056
