Walloon	Walloon	probability
ˈɛ̃ː	a	1.0
ˈɛː_ʀ	h	1.0
ˈɛ_s	ʃ_t	1.0
ˈɛ_#>	u_#>	1.0
ˈɑ̃	ˈɐ̃	1.0
ˈœ̃	ˈũ_j̃	1.0
ˈøː_ʀ	h	1.0
ˈyː	-	1.0
ˈy	ˈu	1.0
ˈeː	ˈe	1.0
ˈa_ʀ	h_ʧ	1.0
ˈa_#>	u_#>	1.0
ʤ	ʒ	1.0
ʒ	-	1.0
ɲː	ʒ_u	1.0
ɲ	j̃	1.0
ɡ	ɡ	1.0
ɛː	a_ʒ	1.0
ɔ̃	õ	1.0
ɔː	a	1.0
ɔ_z	ˈɔ	1.0
ɑ̃	ɐ̃	1.0
v	v	1.0
u	-	1.0
p_l	ʃ	1.0
n_#>	#>	1.0
m_w	m	1.0
m	m	1.0
k_w	k_ˈo	1.0
k_l	ʃ	1.0
j_ˈɛ	ˈɛ	1.0
j_#>	#>	1.0
f_l	ʃ	1.0
ẽ	ĩ	1.0
b	b	1.0
<#_ˈɑ̃	<#_ˈɐ̃	1.0
<#_ʀ	<#_h	1.0
<#_ɡ	<#_ɡ	1.0
<#_t	<#_t	1.0
<#_l	<#_l	1.0
<#_a	<#	1.0
p	p	0.929
d	d	0.846
l	-	0.833
t	t	0.81
k	k	0.8
ɛ	e	0.727
s	s	0.725
f	f	0.724
ˈẽ	ˈĩ	0.714
ɔ	o	0.643
ˈi	ˈi	0.636
ʀ	ɾ	0.617
a	a	0.615
n	n	0.609
ˈu	ˈo	0.6
i	-	0.6
ʧ	k	0.55
ˈɔː	ˈa	0.538
ˈɛː	ˈa_d	0.5
ˈɛː	-	0.5
ʃ	s	0.5
ˈe	ˈa_h	0.444
ˈɔ̃	ˈõ	0.438
ˈɔ	ˈo	0.438
ˈɛ̃	ˈẽ	0.429
ˈuː	ˈo	0.429
ˈu	ˈũ	0.4
i	i	0.4
ˈiː	ˈa	0.389
ˈoː	ˈɔ	0.375
ˈoː	ˈo_w	0.375
ˈi	ˈe	0.364
ˈɛ̃	ˈɐ̃	0.357
ˈa	ˈa	0.35
w	ˈe	0.345
ˈøː	ˈo	0.333
ʃ	ʃ	0.333
#>	ɐ_#>	0.293
ˈẽ	ˈẽ_j̃	0.286
#>	u_#>	0.28
ˈɛ	ˈi	0.276
ɛ	a	0.273
j	ʎ	0.265
ˈɔ̃	ˈɐ̃	0.25
ˈøː	ˈɔ	0.25
ˈøː	ˈu	0.25
ˈoː	j	0.25
ˈɔː	ˈa_w	0.231
ˈɔː	-	0.231
a	e	0.231
ˈiː	ˈɛ	0.222
ˈiː	ˈe	0.222
ˈɛ̃	ˈĩ	0.214
ˈuː	ˈɔ	0.214
ˈuː	ˈu	0.214
ɔ	ˈo	0.214
ˈɛ	ˈe	0.207
j	ˈɛ	0.206
ˈa	ˈɐ̃	0.2
k	ɡ	0.2
ˈɔ̃	ˈũ	0.188
ˈɔ	-	0.188
j	l	0.176
n	ɐ	0.174
w	ˈɔ	0.172
w	-	0.172
ʀ	h	0.17
ˈøː	-	0.167
ˈiː	ˈi	0.167
ˈe	ˈi	0.167
ˈe	ˈa	0.167
ʃ	ʃ_ɐ	0.167
l	l	0.167
d	ʤ	0.154
a	-	0.154
ˈa	l_u	0.15
ʧ	k_ɐ	0.15
ˈuː	ˈo_v	0.143
ɔ	ˈɔ	0.143
ˈɛ	j	0.138
f	b_ɾ	0.138
n	j̃	0.13
ʀ	ɦ	0.128
ˈɔ̃	-	0.125
ˈɔ	ˈɔ	0.125
ˈɔ	ˈõ	0.125
ˈɔ	ˈo_d	0.125
s	ʃ	0.125
#>	i_#>	0.122
ˈe	h	0.111
ˈe	-	0.111
ˈɛ	ˈĩ	0.103
ˈɛ	j_ʃ	0.103
ˈɛ	-	0.103
w	ɡ_w	0.103
ˈa	l	0.1
ˈa	h	0.1
ˈa	-	0.1
ʧ	k_ˈa	0.1
ʧ	k_a	0.1
ʧ	-	0.1
s	e_ʃ	0.1
t	ʧ	0.095
t	ʃ	0.095
j	ɐ	0.088
j	-	0.088
n	-	0.087
p	-	0.071
ˈɛ	ˈẽ	0.069
w	ˈo	0.069
w	ɐ	0.069
w	w	0.069
f	v_ɐ	0.069
f	v	0.069
#>	h_#>	0.061
j	ɡ_ɐ	0.059
j	w	0.059
j	d_ɐ	0.059
